A. RESULTS FRAMEWORK PDO Indicators	11924,4512,1526
Qualité-Fiabilité-succès RESULTATS ATTENDUS	17873
R. Results	10940
RA1- Result Area	18370
RAP Autonomous Region of Príncipe RF Results	18809
RAP Resettlement Action Plan RF Results	17862
RBF Results Based Financing RE Renewable	12399
RBF Results Based Financing RESPITE Regional	18537
RBF Results-based Financing SBCC Social and Behavior	16922
RCZ's MidYear Strategic Review and Results-Based Management	1554
REALISATION OBSERVATION S ET SOURCES RESULTATS	10975
RELATÓRIO DOS RESULTADOS	11421
RELATÓRIO SÍNTESE DOS RESULTADOS DEFINITIVOS	4044
RESUC	10971,14,6,4791,40
RESUC Posted	15822
RESULT	17537
RESULT Causes Solution	17537
RESULT FRAM E TBL IO Indicator Name PBC Baseline	15518
RESULT FRAM E TBL PD O Indicator Name PBC	15518
RESULT FRAME T BL IO DLI Baseline Intermediate	11855
RESULT FRAME T BL PD O Indicator Name	11855
RESULT FRAME TBL IO	16896
RESULT FRAME TBL IO Indicator Name PBC Baseline	1284,9545,2503,2221,1343,26
RESULT FRAME TBL IO Indicator Name PBC Baseline Intermediate	1228
RESULT FRAME TBL IO PBC Baseline End Target	13331
RESULT FRAME TBL IO PBC Baseline Intermediate Targets	10964
RESULT FRAME TBL PD O Indicator Name PBC	10829,135,4589,1343,26
RESULT NEXT VISIT	582
RESULT NO PDO Second	16922
RESULT OF THIS DATA	2709
RESULTADOS	11556,4410
RESULTADOS DA ATUALIZAÇÃO DO RECENSEAMENTO ELEITORAL	11561
RESULTADOS DA COOPERAÇÃO TÉCNICA OMS EM	15966
RESULTADOS DAS CONSULTAS NOS PAÍSES	18796
RESULTADOS DE PROGRAMAS E PROJETOS	17093
RESULTADOS DEFINITIVOS RECENSEAMENTO GERAL DA POPULAÇÃO	11421
RESULTADOS DO PILAR	15966
RESULTADOS Posicionamento Estratégico	15966
RESULTAM EM PENALIZAÇÕES O Gabinete de Inspecção	10751
RESULTAT A AFFECTER	18032
RESULTAT AVANT IMPOT	17841
RESULTAT AVANT IMPOT IMPOTS SUR	17841
RESULTAT BRUT D’EXPLOITATION	17841
RESULTAT DE L’EXERCICE	17841
RESULTAT D’EXPLOITATION	17841
RESULTAT NET	17841
RESULTATS	15673,263,1908,233
RESULTATS ATTENDUS	10712,7492
RESULTATS ATTENDUS Amélioration	10712
RESULTATS ATTENDUS Construction	10712
RESULTATS ATTENDUS Elaboration	10712
RESULTATS ATTENDUS INDICATEURS DE RESULTAT Disponibilité	10712
RESULTATS ATTENDUS Renforcement	10712
RESULTATS AU CERTIFICAT D'ETUDE PRIMAIRE SESSION	10847
RESULTATS DEFINITIFS DU RGE	10875
RESULTATS INDICATEURS	17978
RESULTATS INDICATEURS EMOP	17978
RESULTATS INDICATEURS Mali	17978
RESULTATS Institut	737
RESULTATS Page	15936
RESULTS	1212,1500,1976,1891,349,949,2908,52,33,42,483,576,17,102,73,65,39,74,99,587,31,801,51,7,3,1060,37,14,128,85,491,2,276,19,47,626,216,73,6,79,17,374,35,399,54,48,127,217,4,1,179,258,25,165,101,159,7
RESULTS AND HIGHLIGHTS Real GDP	19038
RESULTS AND POST-ELECTION ENVIRONMENT	12201
RESULTS Average Scores for Rapid MSDI Variables	18476
RESULTS BY STRATEGIC PRIORITY	13163
RESULTS Baseline Closing Period Dec	18851
RESULTS CHAIN OF THE CAR EDUCATION	16436
RESULTS COUNTRY	4653,10485,831,63,155
RESULTS EHR Coverage	12508
RESULTS FRAMEWORK	2889,8974,3880,401,240,1814,1047
RESULTS FRAMEWORK AND KEY OUTPUTS	11924,3500,87,90,62,68,705,516,897,13,100,803,60
RESULTS FRAMEWORK AND KEY OUTPUTS A	15424,177,62
RESULTS FRAMEWORK AND KEY OUTPUTS Actual	15511
RESULTS FRAMEWORK AND MONITORING	11417,6876
RESULTS FRAMEWORK ANNEX	13856
RESULTS FRAMEWORK FOR NATIONAL STRATEGY	12939
RESULTS FRAMEWORK MATRIX	11905,5553
RESULTS FRAMEWORK Project Development Objective	11965
RESULTS FRAMEWORK RESULTS FRAMEWORK A PROJECT	11863
RESULTS FROM INNOVATION SURVEY RESPONDENTS	18910
RESULTS INDICATORS A.1 PDO Indicators Objective	15424,177,62
RESULTS Karakteristike	10780
RESULTS MONITORING PLAN	13938
RESULTS MONITORING PLAN A. Alignment	13938
RESULTS OF ASSOCIATES	10793
RESULTS OF EX POST EVALUATIONS	18985
RESULTS OF EX-POST EVALUATIONS	17019
RESULTS PROFILE	10759,76,3,130,902,16,1,267,198,1,135
RESULTS PROGRAM	11905
RESULTS REPORT IDA	11924
RESULTS REPORT ON AN IDA	17962
RESULTS REPORT Public Disclosure Authorized	15424
RESULTS Table	11889,263,188
RESULTS-BASED LOGICAL FRAMEWORK	13938
RESULTS-BASED LOGICAL FRAMEWORK RESULTS FRAMEWORK	13938
RESUME	737,12715,4392
RESUME A. CONTEXTE	17842
RESUME ANALYTIQUE	18105
RESUME ANALYTIQUE Le Ministère	18105
RESUME Au	13452
RESUME BUDGET DE L’ETAT RESSOURCES BUDGETAIRES	16047
RESUME Ce	18291
RESUME DE NOS PERFORMANCES	15670
RESUME DES ACTIVITES ANTERIEURES DE MOBILISATION	14425
RESUME DES EVOLUTIONS En	16708
RESUME DU PSNSN	17882
RESUME DU PSNSN L’application	17882
RESUME DU RAPPORT	12065
RESUME EXECUTIF	13341,49,1089,1014,87,12,603,1650,1371,34
RESUME EXECUTIF Au	15722
RESUME EXECUTIF Ce	14479
RESUME EXECUTIF Depuis	18169
RESUME EXECUTIF Il	15592
RESUME EXECUTIF L'Autorité de Régulation	15739
RESUME EXECUTIF L'enquête	13390
RESUME EXECUTIF Les Ministères	17845
RESUME EXECUTIF L’Autorité de Régulation	15670
RESUME EXECUTIF Objectif	14490
RESUME EXECUTIF Pour le Cameroun	10965
RESUME EXECUTIF Un	15542
RESUME La Stratégie Nationale Décennale	17844
RESUME Le Burkina Faso	15720
RESUME L’ Enquête	18204
RESUME NON TECHNIQUE	18118
RESUME POUR LES DECIDEURS Il	16621
RESUME Tableau	15475
RESUMEN DE LAS ESCUELAS DE EDUCACIÓN	16920
RESUMEN DE LAS ESCUELAS PRIMARIAS DESDE	16920
RESUMEN DE LAS OPERACIONES FINANCIERAS	4209
RESUMEN DE LOS CENTROS DEL NIVEL	16920
RESUMEN Este	16875
RESUMO Conclusões	11376
RESUMO DO ENVOLVIMENTO DA PARTES INTERESSADAS	11406
RESUMO DO RELATÓRIO FINAL	11526
RESUMO EXECUTIVO	10766,4769
RESUMO EXECUTIVO ESTRATÉGIA NACIONAL PARA	17186
RESUMO EXECUTIVO Infraestrutura	10766
RESUMO EXECUTIVO Neste	11396
RESUMO INSTITUCIONAL	11531
RESUMO INSTITUCIONAL A Lei	11531
RESUMO Sistemas de Informação	10780
REVIEW OF THE RESULTS	16189
RF Results Framework RPF Resettlement Policy	13331
RF Results Framework SDG Sustainable Development	18477
RF Results Framework SE Supervising Entity	18765
RF Results Framework SEA	16949
RF Results Framework SGBV Sexual Gender-Based	16943
RF Results Framework SSN Social Safety	11924
RGE. RESULTATS DEFINITIFS DU RGE	10875
RNE REsut	14479
Railways Key Result Area	14781
Rapid Results Initiative	8568
Real Results That Matter	12458
Refugees Intermediate Results Indicators	11924
Regional Cooperation Delivers Results Regional	7876
Related Corporate Results Indicators	16032
Relatório de Resultados	10775
Relevance of Results Indicators Rationale Table	10779
Rent Survey Results	16833
Responsibility PDO Level Results Indicators	15372
Responsibility for Data Collection PCU Results Area	19284
Resubmission	12041
Resubmission The National AI Center	5773
Resubmit	14670
Resuc	16286
Result	789,181,1018,2125,2480,5429,1977,1018,147,208,321,339,599,270,95,131,38,1293,54,58,11,46,127,133,98
Result Actions Outcomes A Strong Foundation	13295
Result Analytical	16631
Result Area	13005,4465,900
Result Areas	16032,2338
Result Based Management	18478
Result Between	16631
Result Bids	3321
Result Chain E. Rationale for World Bank	18293
Result Combined	16631
Result Cross-countries	771
Result Date	4653
Result Date Actual	4653
Result Date Adding	16032
Result Date DLR	16032
Result Date Result Date Result Month	4653
Result Delivery Units	11857
Result Formula Amount of Verification Linked Indicator	15663
Result Framework	13897
Result Framework And Budget.......66	13999
Result Home ALL NEWS TALKING POINT	4619
Result ICT Services Protection of Consumers of Markets	6946
Result Indicators Associated PAs RI Relevance	10779
Result Month	4653,11316,63,404
Result Net	17235
Result No Date	16032
Result Result Result	18125
Result Syrian	16631
Result Thanks	16631
Result The SMP	16631
Result The Timor-Leste	16631
Result View All Result	2885,1650,350,49,187,653,25,474,547,1,222
Result View All Result AITN	3526,841
Result View All Result Home Business	5774,1047,222
Result View All Result Home News	4885,49,187,1152,547
Result View All Result Home Opinion	4535,1264
Result View All Result Home Science	2885
Result of Hunger	12448
Result-based	10841
Result-record	11801
Result. Líquidos	18793
Resultado	10760,17,591,83,691,3393,1363,1859
Resultado Líquido	18793
Resultado Líquido Negativo	18793
Resultado Nulo	10757
Resultado Prazo Critérios de Aceitação	11456
Resultado VRGPH	18802
Resultado Y Actividades	16898
Resultados	414,1287,737,346,7974,2,17,6,596,42,20,1,4,5,77,27,14,8,565,3334,490,359,573,160,89,136,321,1171,18,1,7,1,143
Resultados Definitivos	4044,2551,4162,664,1,155
Resultados Definitivos Empresa Pública	10757
Resultados Definitivos Formalidade	10757
Resultados Definitivos Gráfico	10757
Resultados Definitivos Situação	10757
Resultados Eleitorais	11561
Resultados Esperados	10772,5194,2835
Resultados Esperados A Estratégia de Dados	18801
Resultados Esperdos	11456
Resultados Indicadores Produtos	15966
Resultados Já Aparecem Na Agricultura	9558
Resultados Operacionais da EMAE	18793
Resultados Precisam De Ser Acompanhados	8827
Resultados Transitados	18793
Resultados Técnicos	17147
Resultados da Atualização Recenseamento Eleitoral	11561
Resultados da Avaliação da Maturidade da Gestão	18801
Resultados da Cooperação	17337
Resultados da Gravidez	10777
Resultados de Guiné-Bissau	11569
Resultantly	5175,825,6308,4797
Resultat	14442
Resultats	14479,95
Resultats definitifs RGPH 2006.pdf The State	10812
Resulting	12360,966,1571
Results	43,375,353,441,7,9,15,18,563,43,188,38,723,132,656,47,22,118,70,217,38,85,231,464,348,289,167,551,582,445,481,262,1,108,246,60,170,522,1,108,112,539,435,440,16,14,36,17,6,2,3,13,11,38,21,37,3,154,2,6,154,14,107,52,72,37,7,270,5,28,17,13,6,41,21,8,1,8,3,19,126,2,48,19,11,2,9,4,9,23,101,4,1,19,42,20,43,170,46,224,15,15,64,55,216,19,86,2,5,199,62,175,77,51,1,161,140,312,135,159,1,61,60,20,51,74,80,3,90,74,13,87,63,84,3,2,49,133,166,133,185,80,452,66,20,2,1,13,33,47,97,45,184,34,38,64,143,95,30,189,142,21,38,138,4,224,288,8,138,99,183,39
Results Acceleration Program For Inclusive Digitalization	3604
Results Acceleration Program for Inclusive Development	3604
Results Acceleration Program for Inclusive Digitalization	1649,1955,176
Results Achieved	17196
Results Achieved Key	12224
Results Adequacy	10784
Results Area	11905,4127
Results Area Description	11905
Results Area Monitoring	19284
Results Area RevisedEstablished	19284
Results Areas	12176,3856,1426,1524
Results Areas Baseline Period	11905
Results Areas Developing	17505
Results Areas Improving	11905
Results Areas Increased	10870
Results Areas RA1	17470
Results Areas Strengthened	16032
Results Areas The World Bank Implementation	19242
Results Areas Transformed	13058
Results Based	766
Results Based Financing	14871,1,1,87,3577
Results Based Financing REOI Request for Expressions	15411
Results Based Financing RMNCAH	16951
Results Based Financing. IV	11863
Results Based Logical Framework	13005
Results Based Management Framework	18948
Results Based Monitoring	13310
Results Between	12245,1180
Results Briefs. World Bank	11133
Results Chain	11924,3500,87,90,62,68,705,516,897,13,100,331,472,60
Results Chain Component	15411
Results Chain Note	18104
Results Chain RESULTS CHAIN	15138
Results Confirmation	13477
Results DRA	12214
Results Descriptive	7886
Results Document	7278
Results Figure	8022,414
Results Financing	18370
Results Focus	8376
Results Following	13608
Results Fourteen	766
Results Framework	1284,1007,598,715,7225,134,1,453,438,8,42,19,41,43,348,558,66,351,1,46,14,439,107,950,250,273,190,57,1,4,41,265,63,112,43,249,239,221,26,21,6,3,8,3,999,142,94,279,57,91,140,44,16,459
Results Framework Adjustments	4653
Results Framework COUNTRY	10829
Results Framework Change	15601,2248,13
Results Framework Intended Outcome	13095
Results Framework Matrix	12176
Results Framework Medium Capacity	16943
Results Framework Original	2889
Results Framework Project Development Objective	15372
Results Framework Reallocation	15601
Results Framework The Results Framework	12356
Results Framework and M&E Capacity	11905
Results Framework and Monitoring	10832,4540,39,3476
Results Framework and Monitoring AFRICA	15372,3515
Results Framework and Monitoring COUNTRY	15411
Results Framework and Monitoring Section	1284
Results Framework and Performance Measurement	17116
Results Framework and Performance Measurement Each NSDS	17116
Results Framework for DMAP Indicators Baseline	1704
Results Framework for DZAP B. Project Components	2291
Results Framework for Strategy	12939
Results Framework- Digital Skills Monitoring and Evaluation	16963
Results Framework. At the PDO	4653
Results Framework. Component	16144
Results Framework. Country	15782
Results Framework. Data	6539
Results Framework. First Restructuring	15702
Results Framework. Intermediate Indicator Component	11965
Results Framework. Official Use Only Page	16436
Results Framework. Revised	11965
Results Framework. Specifically	13332
Results Framework. The PCU	3604
Results Framework. The PDO and PDO-level	16896
Results From Expert Interviews	5349
Results Good	1261
Results Groups	17289
Results Indicator	12560
Results Indicator Baseline Original Revised	15663
Results Indicator DA Designated Account DANIDA	15621
Results Indicator DA Designated Account DCMEF	16384
Results Indicator ITAS Integrated Tax Management	13861
Results Indicator SSR	12560
Results Indicator Unit	15901
Results Indicators	17962
Results Indicators ISR Implementation Status and Results	1284
Results Indicators Quality of ICR ICR Moderately	10779
Results KEY FINDINGS OVERVIEW	18476
Results Legal Covenants Clients	11924
Results M&E	11905
Results Matrix	14935
Results Modern	14123
Results Monitoring	15905
Results Monitoring Framework	11525
Results Monitoring and Evaluation	16858
Results Overview Inductive	14666
Results PIU Project Implementation Unit PIM	19245
Results Participants	12231
Results Project	16896
Results Project Development Objective Indicators Fully	13970
Results Project MICS Multiple Indicator Cluster	16896
Results Report	996,294,41,439,4,281,726,59,289,1250,2454,4037,505,491,122,3171,321,1,138,44,72,278,66,559,67,186,109,37,42,17,753,55,102,127,401,258,190,260,7
Results Report Angola Digital Acceleration Project	2712,3867
Results Report Benin Economic Governance for Service	10870
Results Report Building Resilient Digital Infrastructure	4688,3189
Results Report CAR- Public Sector Digital	15619
Results Report Congo Digital Acceleration Project	11971
Results Report Digital Transformation for Africa	16705
Results Report Eastern Africa Regional Digital	6928
Results Report Ethiopia	13970
Results Report Ethiopia Digital ID for Inclusion	12228,39
Results Report Ethiopia First Sustainable and Inclusive	14056
Results Report Guinea Project for Results	16638
Results Report Guinea Support	16994
Results Report KP Kimberley Process MMG	2889
Results Report LMIS Logistics Management	19284
Results Report Lesotho Integrated Transport	12724
Results Report M&E Monitoring and Evaluation	15663
Results Report MAED Ministry of Economic Affairs	17849
Results Report MIGA Multilateral Investment	18887
Results Report Mali Improving Education Quality	17958
Results Report Mauritania Fiscal Management and Resilience	18006
Results Report Monitoring and Evaluation Ministry	16436
Results Report National Institute of Statistics	15601
Results Report National Social Safety Net	11988
Results Report Niger	18133
Results Report Public Disclosure Authorized	16994
Results Report Recovery of Economic Activity for Liberian	17000
Results Report Sao Tome and Principe	18792
Results Report Senegal Energy Access Scale	18355
Results Report Seq	1216,14265
Results Report Sierra Leone Land Administration	18534
Results Report Social Protection Transformation Project	12440
Results Report Social Protection and Youth Productive	16013
Results Report Social Safety Net System	17904
Results Report Strengthening the National Social Protection	11395
Results Report Supporting Egypt’s Universal Health	16079
Results Report The Gambia Resilience	17096
Results Report Togo	19249
Results Report Togo Social Assistance Transformation	19242
Results Report URL	18355
Results Report West Africa Unique Identification	15735
Results Reports	2253,13410
Results Repository Data Warehouse Provider Registry	21
Results SO1	16943
Results Select Business Category	12882
Results Select Stablecoin Backing Type Choose	12882
Results Select Your Perspective Choose	12882
Results The AI-enabled CDSS	11578
Results The First Ordinary Session	8015
Results The HEWs	1219
Results Thirteen	3791
Results Transmission System	11115
Results United Nations Support Mission	17403
Results Yaounde	15574
Results Yes Reallocations Yes Legal Covenants	19284
Results and Achievement of Objectives	13957
Results and Announces Capital Raise	9735
Results and Discussion	1248,10994
Results and Discussion. INSTITUTIONAL MEMORY AND RESEARCH	12090
Results and Early Impact	13070
Results and Highlights	19038
Results and Impact	12064,1156,803,632
Results and Impact Gender	12457
Results and Impact Key Success Stories	12761
Results and Innovation	5538
Results and Intellectual Property Rights	15901
Results and Outcomes Between	13592
Results for All Project	17958
Results for Children	14058
Results for Development	8042,7514
Results for Development Institute	15411
Results for Key Indicators	10785
Results of CBA Base-case	16922
Results of CBA Base-case Scenario and Sensitivity Analyses	16896,26
Results of Enforcement Actions	18914
Results of Extraordinary General Shareholder Meeting	8939
Results of UNESCO AI Readiness for Kenya Core	12210
Results-	11572
Results-Based	17105
Results-Based Financing	1409,3244,8027,3357,2500,83,664
Results-Based Grants Facility for SMEs	17370
Results-Based Hospital Information System	10865
Results-Oriented Annual Report CPD	17101
Results-Report AR	9022
Results-and-data. Hazard	18578
Results-based	6444,1104,10981
Results-based Financing	16896,26
Results-based Logframe	14132
Results-oriented	17139
Results. Mena Regional Program Policy Note	15663
Resume	3583,9171,1688,30
Resume CLOUD Act	10088
Resume Cette	14472
Resume and Declaration	18543
Resume-des-resultats-Cameroun-Afrobarometer-R10-	10985
Resumen	16864
Resumen Este	11028
Resumes	17534
Resumidos	16898
Resumo	11405,1,10,115,26,464,775,2680,3284,8,11,4
Resumo Estatístico	18762
Resumo Estatístico URL	18762
Resumo Executivo	15535,3244
Resumo Fig	18783
Resumo I9A	15445
Resumo I9A Interbank	15453
Resumo da Evolução da Execução Orça	18853
Resumo da Evolução da Execução Orçamental	18798
Resumo da Revisão Ambiental	11390
Resumo de Indicadores Demográficos	18768
Resumption	15184
Resumption of EU Budget Support	14109
Resuscitate	11986
Resuscitating	8681
Resuscitation	11986,1136
Revised PDOs and Results Framework	17862
Revised Result DLI	16032
Revised Results Chain Inputs Outputs Outcomes	19284
Revising the Results Framework	18359
Revision of Intermediate Results Indicators	16922
RuralChildNutritionSurvey Results	16833
Rwanda Energy Results-Based Financing Program	15010
Rwanda's Integrated Results-	12214
SAFARICOM PLC RESULTS BOOKLET AUDITED RESULTS	6100
SAFARICOM PLC RESULTS BOOKLET UNAUDITED RESULTS	3898
SDGs. RESULTS AND RESOURCES FRAMEWORK	15039
SEN Resultado	16898
SEN. Resultado	16898
SIGDAJ. Results Results	11541
SIGLES ET ACRONYMES PREFACE AVANT-PROPOS RESUME	15848
SOCIETE AFFECTATION DE RESULTATS GROUP ENGINEERING	15786
SOFF Results Framework	18869
SOMMAIRE RESUME	15720
SOUS OBJECTIFS RESULTATS ESCOMPTES INDICATEUR LIGNE	15500
SPECIFIQUES RESULTATS ATTENDUS	10712
STATE LEVEL MULTIDIMENSIONAL POVERTY RESULTS NORTHERN	15244
SUP. ID NUMBER RESULT	582
SURVEY RESULTS	1940
Scalable DPI Key Result Area	13005
Search Results	13333,1314
Secondary Cities Program for Results	789
Section IV. D. VII. RESULTS FRAMEWORK	1264
Secção Resultado da Reunião	10750
Senegal. Results	18430
Service Delivery Program for Results	10870
Services Program for Results	3604
Sewage Results	11251
Silva RESUMO EXECUTIVO ESTRATÉGIA DE DESENVOLVIMENTO	15433
Social Registry Imbeleko Study Results	12480
Somalia. Results	15200
South Africa Results	10793
Special Education Census Results	16436
Staff F. Results Framework Analysis G	16614
Statement of Poll and Declaration of Results	16574
Statistics for Results Facility	18291
Statistics for Results Facility SGDD	18291
Strategic Initiatives and Key Target Results	16858
Strategic Outcome and Output Results	14945
Strategic Plan’s Key Result Areas	13005
Strategies Strategic Initiatives Key Target Results	16858
Sub- Saharan Africa. Result	789
Sub-Saharan Africa. Result	789
Substantial Substantial Results PDO Indicators	15619
Substantial. VII. RESULTS FRAMEWORK AND MONITORING	15518
Sudan Annual Results Report	14959
Sudatel Group Delivers Record FY2025 Results	15284
Summary Results	14777
Summary Results Institutions Dimensions	14777
Survey ICR Implementation Completion and Results Report	18765
Survey Results	17043
Survey Results Number	15713
Sustainable Development National Strategy RI Results	18851
Systems Approach for Better Education Results	11557
Systèmes RESULTATS ATTENDUS Acquisition	10712
SÍNTESE DOS PRINCIPAIS RESULTADOS Os	10757
TABLE DES MATIERES RESUME POUR	16621
TABLE OF CONTENTS FINAL RESULTS	16921
TMIS. Results and Impact Early	12726
Tabela de Resumo	11537
Tabulation of Results	12201
Tangible Results	16784,264
Tareas Resultado Inmediato	16898
Target Cumulative Results Achieved	18825
Target RESULT FRAME TBL PD O Indicator	13331
Target Results Area	16032
Target Revised End Target Cumulative Results	18825
Testing Results	12400
Theory of Change and Results Chain KEY CHALLENGES	13331
Things the Same Way and Expect Different Results	18442
Thirteen Implementation Status and Results Reports	16960
Training A C C I Results-Based	17116
Transparent Results Management and Digital Reforms	16574
Tunisia 2023-2025 Results-Report EN	9022
Tunisia Results Report	9022
TÂCHES RESULTATS REALISATION OBSERVATIONS ET ATTENDUS	10975
UN Annual Results Report UN Eritrea	13989
UNCTAD Result Jordan	16631
UNDER THE MULTI-PHASE PROGRAMMATIC APPROACH RESULTS	3604
UNESCO Results Framework	14924
UVRE DES RESULTATS MAJEURS DES PROGRAMMES	3396
Under Results Area	11905
Universal and Inclusive Civil Registration Key Result	13005
Unofficial Results and Premature Outcome Claims Voting	10725
Urban Rural FINAL RESULTS	16921
User Feedback Results The AI	18557
V. RESULTAT DU FORUM NATIONAL SUR	14442
V. RESULTS FRAMEWORK AND MONITORING	11855
V. RESULTS FRAMEWORK AND MONITORING Results	11855
VALIDATION OF RESULTS	12201
VERIFICATION RESULT	17537
VERIFICATION RESULT Causes Solution	17537
VERIFY MY RESULTS ONLINE	13477
VI RESUMO EXECUTIVO	15535
VI. RESULTS FRAMEWORK	10829
VI. RESULTS FRAMEWORK AND MONITORING	18104
VII. RESULTS FRAMEWORK AND MONITORING	969,295,603,1737,2935,4841,145,24,11,1771,1,1578,27,554,24,38,68,37,1,2,1288,1352,476,462
VII. RESULTS FRAMEWORK AND MONITORING MONITORING	15518
VII. RESULTS FRAMEWORK AND MONITORING Results	10964,561,1806,1,2221
VII. Results Framework and Monitoring	13743
VII. SUR L’ANNULATION DES RESULTATS	16247
VIII. RESULTS	15782,201,3301
VIII. RESULTS FRAMEWORK AND MONITORING	1284,15612,26
VIII. RESULTS FRAMEWORK AND MONITORING Results	1284,15638
VIII. SUR LES RESULTATS DEFINITIFS	16247
VISITS RESULT CODES	582
Very High E. Results ArcGIS	17157
View All Result	4535
Vêr Resultados Loading	16028
WBG Results Framework	11965
WHO’s Support and Key Results	10776
Water Results	11251
Well-designed Results Framework	15601
World Bank CAR Accelerating Results	15661
World Bank Implementation Completion and Results Report	978,14408
World Bank Implementation and Status Results Reports	10964
World Bank Results Acceleration Program	3604
World Bank's Implementation Completion and Results Report	15377
World Bank's Implementation Status and Results Report	14956
World Bank. Implementation Status and Results Reports	15601
World Bank. Result	789
World Bank. Results Brief	15663
XVII. RESULTS AND POST-ELECTION ENVIRONMENT	12201
XXIII. Resultado Fiscal Considerando	18798
XXIV. Resultado Primário Convencional O Saldo	18798
Year Result Date Result Date Result	4653,11316,63,155,2172
Year Result Month	11924,6038
YoY. Results	10793
ZEEP Results Framework	13392
ZRHCP Results Chain	1867
Zimbabwe Publication of Offer Results	4896
Zone Sanitaire SNIGS-MS RESUME Annuaire	15475
Zones de Dénombrement III RESUME EXECUTIF	17945
