A. Project Development Objective	969,295,603,1737,2935
PROJET ET DES INSTANCES DE PILOTAGE	10711
PROJET REGIONAL D’INTEGRATION NUMERIQUE EN AFRIQUE	7977
PROJETS COFINANCES	1301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PROJETS D'ORDONNANCES	3045
PROJETS DE DECRETS	2808,237
PROJETS DE LOI ET D'ORDONNANCE	2808
PSC Project Steering Committee PwD Person	3604
Pandemic Fund Project	10477
Parlons Projet	9715
Pathogen Economy Labs Project	5413
Paul Ndungutse DATASHEET BASIC INFORMATION Project	3562
Payment Switch Project. The Fast Payments	2276
Performance Management Development System PMO Project	5533
PforR Program-for-Results PIM Project Implementation Manual	3604
Pierre Ngolo. S’agissant du Projet	3836
Pilot Project Busia	6946
Planning and Execution of Projects	10157
Population Projections	7548
Portal Project	3907
Power Learn Project	7568
Preparation of Project Documents	1778
Presidential Project	3200
Priority Projects	2256
Private Capital Mobilization PDO Project Development	6539
Private Partnership PPSD Project Procurement Strategy	1264
Private Sector Competitiveness Project	2674
Program Development Objective PSC Project Steering	6539
Proj Crosswalk	360
Proj-	4848
Projec	1228,3425
Project	22,33,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,2,17,5,5,1,12,1,1,1,1,1,1,1,1,1,1,1,6,9,1,3,2,3,1,3,5,3,5,3,3,1,8,4,1,1,1,3,1,1,1,2,9,1,1,1,3,3,7,1,6,1,1,1,1,8,5,6,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,4,1,5,5,1,4,3,2,2,1,1,1,2,2,17,1,5,21,1,1,2,1,1,2,2,4,16,1,6,1,6,3,4,8,1,1,11,12,1,1,1,2,6,1,1,11,1,3,11,2,3,1,2,3,1,2,3,2,1,7,15,2,4,5,2,8,1,14,9,2,6,1,16,4,3,5,9,1,1,1,16,2,6,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,7,2,1,1,1,2,1,2,1,1,8,5,1,11,1,4,2,7,20,1,3,2,1,4,2,1,8,1,11,3,1,1,1,11,5,1,13,1,8,1,1,1,4,19,4,4,1,1,3,1,1,1,3,1,1,3,1,2,2,2,4,4,4,9,2,5,1,1,1,1,1,1,1,1,1,4,6,4,1,1,6,7,1,6,10,1,1,3,5,2,6,5,1,3,1,6,20,1,31,2,3,1,1,22,1,7,4,2,1,1,3,3,1,1,1,1,1,3,3,1,1,7,3,2,4,26,29,4,3,2,2,15,12,1,14,17,4,13,3,4,6,90,1,25,2,11,1,15,1,1,32,1,3,11,1,2,1,2,1,2,5,1,1,2,1,1,5,4,4,1,5,1,4,1,9,1,2,1,1,10,18,7,6,11,59,50,66,1,3,4,4,36,49,32,7,8,74,3,1,55,8,38,3,16,14,25,21,1,1,1,1,3,1,3,4,4,1,2,3,1,2,1,1,1,11,2,2,4,3,1,23,4,3,35,91,91,1,200,38,153,24,100,65,58,344,6,11,24,65,24,8,10,5,69,43,39,69,39,179,167,43,171,23,15,5,6,23,28,34,91,35,15,7,54,4,66,55,74,41,122,118,32,17,13,56,8,70,35,245,144,92,140,443,48,5,73,59,24,6,149,43,91,214,108,67,163,106,256,34,37,279,99,34,60,28,52,34,61,57,22,17,2,1,49,79,51,36,2,77,61,1,113,38,78,80,1,421,21,281,23,130,73,337,9
Project APPROVED	2473,2180
Project Accountant	1867
Project Activities	1988
Project Activities Budget Funding US	395
Project Administration	1787,1417,3881
Project Administration-Lead	8436
Project Africa Just AI Suggested	8836
Project African Development Bank	601
Project After Access	9759
Project Agreement	5793
Project Appraisal Document	541,2,16,183,254,869,123,901,659,2072,919,215
Project Appraisal Document PAD3340	424
Project Appraisal Document PAD3556	554
Project BRIDGE	4191,275,769,283,385,2107,197,776,64,70,369,86,302,283,416
Project BRIDGE Investment Tour	9047
Project BRIDGE Provide	5903
Project BRIDGE SPV	5903,3080,503
Project BRIDGE SPV. Private Sector	5903
Project Background Coordinates	1988
Project Background Name	1988
Project Beneficiaries	1867
Project Bridge	2359,512,1581,73,1279,1046
Project Brief Description Links	3604
Project Cancelled	2474
Project Catalyst	6705
Project Clearance	5665,2774
Project Clearance. Recognising	8424
Project Cloning and Institutional Outreach	1554
Project Closure Report	1988
Project Company	2253,1203,1378,4149
Project Company. Once the Project Company	3456
Project Company. The PIU	3456
Project Components	1988,4551
Project Components Activities	1988
Project Components and Costs Components US	2889
Project Components and Funds Allocation	1704
Project Connect	403
Project Contract	7951
Project Control System	10626
Project Coordination Unit	3604,2673
Project Coordinator	309,1469,89,1737,1975
Project Coordinator for FSRP	2872
Project Coordinator of WARDIP	4359
Project Coordinator-Zambia Refugee and Host Communities	1778
Project Coordinator. After the Project Coordinator	1778
Project Cost	1284,704
Project Cost and Financing	1264
Project Cost and Private Sector Requirement	5903
Project Costs and Financing	1264
Project Cyber Management Licensing Empowerment Development	6946
Project Cycle and E&S Management Procedures	1988
Project Declarations	6872
Project Deliverables	3058
Project Description	1914,74
Project Description The Zambia Refugees and Host	1778
Project Design	969,295,603
Project Deutsche Gesellschaft	672
Project Development Objective	427,801,639,1022,100,615,1049,967,919
Project Development Objective Improved	1988
Project Development Objective Indicators	1228,56
Project Development Objective PIM Project Implementation	2889
Project Director	4640
Project Dr Melody Ndemera Development	1154
Project E&S Brief	6539
Project ECHO	10188
Project ESF	1988
Project ESMF	1988
Project ESMF Bank Environmental Local	1988
Project ESMF Type Responsible Party Development	1988
Project Eagle	1245,394,82,5419
Project East	4069
Project East2West	1048
Project East2West. Bayobab	2814
Project Economic Development Cooperation Fund	1082
Project Ecosystem Steering Committee	2381
Project Eligibility	1988
Project Eligibility Zambia Refugee and Host Community	1988
Project Eva	4150
Project Export-Import Bank of China	127,134,97,1801,1
Project FASTT	4357,6357
Project Financing Allocation Components IDA Financing	3604
Project Financing M&E Monitoring and Evaluation MoA	1867
Project Geographical Identifier Mozambique Current Closing	4653
Project Giga	10742
Project Guardian	9103
Project Hannibal	1818,1
Project Hope	1824
Project ID	51,3,1,1,1,1,1,1,18,1,27,16,4,39,16,1,1,6,1,4,34,1,9,6,1,1,1,10,3,40,3,13,1,21,1,4,17,1,1,58,1,38,24,68,2,622,2,1,1,1,1,1,3738,1001,523,2225
Project Implementating Team Name and Surname Desmond	520
Project Implementation	1778,2910
Project Implementation Committee	10603
Project Implementation Manual	1264,20,583,1022,715,2935
Project Implementation Manual. Table	1704
Project Implementation Report	3604
Project Implementation Services For Establishing Data	4576
Project Implementation Team	5620,173
Project Implementation Unit	1228,36,20,494,1111,1764,181,517,552,1550,424,1106,37,919,283
Project Implementation Unit PPP Public-Private Partnership	6539
Project Implementation Unit The Zambia Refugee	1988
Project Implementation Unit of Project BRIDGE	5903
Project Implementation Unit. The County CRMS	9939
Project Implementation and External Engagement	1988
Project Implementation and External Reporting Reporting ZEMA	1988
Project Implementing Entity	1228
Project Implementing Unit	1778
Project Inception Report Project Title	3058
Project Information Document	761,11,224,197,26,485,549,38,831
Project Information Documents	5620
Project Intilaqa	1868
Project Isizwe	8161
Project Khokha	6672
Project Kobong	6490,61,82
Project Korea International Cooperation Agency	1534
Project Kuiper	4623,9,358,776,35,868,64,570,79,749
Project LMP	1988
Project Lead	8983
Project Lead and Primary Programme Contact Person	10541
Project Link	3470,312,2798
Project Location Component	1778
Project Location and Size	1988
Project Location and Size Meheba Settlement Camp	1988
Project Locations	1554,434
Project Loon	3782
Project Management	888,340,56,494,89,121,724,277,615,1049,1779,107,40,254,113
Project Management Baseline Actual	2712
Project Management Company	3456
Project Management Consultant. Previously	718
Project Management Coordination	1284
Project Management Department	6946
Project Management Grievances	1284,2320
Project Management Page	1867
Project Management USD10M. AIIB	607
Project Management Unit	1117,750,121,1468,6604
Project Management Unit ProGres UNHCR’s Registration	1867
Project Management Unit TA Technical Assistance	1867
Project Management Units	1867
Project Management and Capacity Building US	6539
Project Management and Citizen Engagement. Budget	4653
Project Management and Implementation Support	1264,2192,1232,2240,949
Project Management and Implementation Support Baseline Month	6928
Project Manager	962,418,1,2440,1592,1126,2122,134,655,111,1101
Project Manager Beatriz Lanza. Establishes ENTD.GW	1381
Project Manager Mr. Brain Chibale	34
Project Manager Public Private Partnership	3678
Project Manager and Police Integration Specialist	8286
Project Manager for CJID’s Tech Justice and Digital	10571
Project Monitoring and Implementation Unit	9219
Project Mufungi	3561
Project Nexus	9431
Project Objective	2712,1976,1891,349,949
Project Officer	5276
Project Open Data	1218
Project Operation	1988
Project Operation Manual	1988
Project Operations Manual	427,6112
Project Oversight and Development World Bank South	6832
Project Page	3760
Project Panama	8494
Project Pangolin	4528,2265
Project Paper	1284,1605,3621
Project Paper PAD5527	1578
Project Perception	8405
Project Phase	2889
Project Planning And Management	899
Project Planning and Implementation of Public Procurement	6946
Project Preparation Advance	1770,942,1976
Project Preparation Advances	1264
Project Preparation Stakeholder Identification and Analysis	1988
Project Private	1284
Project Processing No	9265
Project Procurement	1284
Project Procurement Strategy for Development	1264,1625,100,615,2935
Project Product	2473
Project Project Closure	1778
Project Project Project Project Operational Operational	1867
Project Prometheus	4972
Project Proponents and Administrators	520
Project Ratings Progress	2989
Project Rationale Mozambique	3058
Project Registration	1988
Project Reporting	1284
Project Reports	789,181
Project SEP	1778
Project SESA Strategic Environmental and Social Assessment	2889
Project Solara	6498
Project Sprint	8264
Project Sprint Country Director	8264
Project Stage E&S E&S Management Procedures	1988
Project Steering Committee	1228,56,583,1695,42,1747,1188,1796,1887,307
Project Steering Committee PTC Project Technical	1264
Project Steering Committee PwDs People	1988
Project Steering Committee and Technical Committee	1284,2320
Project Summary	3430
Project Support	4522,770
Project Support and Knowledge Management Department	26,1,1
Project Syndicate	4429,2092
Project Syndicate Advisory Board	10201
Project TA Activities	1988
Project Taara	3782
Project Technical Committee	3604
Project The African Development Bank	6594
Project The Government-Wide Area Network	2256
Project Update	899
Project VOTE	10315
Project Waterworth	1766,5007
Project World Bank Group	314
Project Zero	6593,2509,1
Project and US	8399
Project for Accelerating Digital Transformation	853,2227,690,1725
Project for Building Foundations Towards Digital Governance	506
Project for Community Media	8947
Project for Enhancement of Electronic Billing Machine	286
Project for Enhancing Digital Literacy	906
Project for Establishing	698
Project for ICT-Based Business Creation and SME Support	505
Project for Introduction of Intelligent Transport System	1130
Project for Modernisation of Means of Communication	699
Project for Resilience and Integrity	8860,352
Project for Strengthening Governance	600
Project for Supporting the Establishment	1529
Project the RPA	9237
Project's Appraisal Environmental and Social Review Summary	3562
Project's Development Objectives	1228,56
Project- Phase	3604
Project-Based Guarantee	1284,583,1695,42
Project-Based Learning	8839
Project-Specific Funds	1246
Project-affected	1988
Project. A GCL	189
Project. AU ESCP	1264
Project. Any	1284
Project. ECOWAS. Section I.A.1 of Schedule	1264
Project. ECOWAS. Section I.A.3	1264
Project. ESCP	3604
Project. Guinea-Bissau. Section I.A.1	1264
Project. I	3562
Project. Land Acquisition	1988
Project. Mauritania. Section I.A.1	1264
Project. Presenting the Bills	8434
Project. Published	1229
Project. Specifically	1778
Project. Supports	971
Project. The African Centre for Parliamentary Affairs	9203
Project. The Chinese Crosswalk	261
Project. The Gambia. Section I.A.1	1264
Project. The Gambia. Section I.B.1 of Schedule	1264
Project. The Joint Committee	6748
Project. The PBC	358
ProjectNo	502,627
Projectado	5974,6
Projectando	2816
Projectathons	1009
Projectathons Interoperability	1009
Projected	236,760,1335,1206,2876,1175
Projected National Mobile Data Traffic	5245
Projected Spectrum	5245
Projecting	236
Projection	236,3347,7129
Projection Details Reasons	2473,2180
Projection Lens Extended Graphics Array Resolutions	34
Projection du Mali	6959
Projection of Broadband Penetration Year	3862
Projections	718,2057,808,1000,1845,211,3100,686,293
Projections and Business Targets	3487
Projecto	1176,16,1624,1767,1138,874,1350
Projecto ANGEO-1	5405
Projecto CONNECT	10276
Projecto China-FAO	6571
Projecto Cidade Segura	8638,1356
Projecto EDGE	2816
Projecto EDGE. Desenvolvimento	2816
Projecto IDEA	7945,214
Projecto Ilumina Angola	6595
Projecto Monitoramos	9432
Projecto MozSkills	9694
Projecto Município Digital	2434
Projecto Nacional de Banda Larga	1215
Projecto Nant Power	3093
Projecto SKA	2816
Projecto da Vila Olímpica	2816
Projecto de Aceleração Digital	8594
Projecto de Aceleração Digital de Angola	2581,4113,2185,1030
Projecto de Aceleração Digital de Moçambique	7736
Projecto de Desenvolvimento Urbano	574
Projecto de Educação Digital de Angola	10490
Projecto de Infra-Estruturas Digitais Públicas	8879
Projecto de Infra-estruturas Digitais Públicas	6694,8
Projecto de Integração Digital	2298,373
Projecto de Lei	2816,2975
Projecto de Lei de Alteração	5791
Projecto de Lei de Alteração da Lei	5791
Projecto de Lei de Alteração da Lei da Protecção de Dados	6847
Projecto de Lei de Autorização Legislativa	8308
Projecto de Resolução	5791
Projector	899
Projector Specifications	34
Projectors	34
Projectors Standards and Guidelines	34
Projectors Standards and Guidelines The ICT Unit	34
Projectos	2816,6616
Projects	11,274,504,365,130,182,60,303,38,121,714,275,479,148,522,402,238,745,22,442,86,100,127,241,417,1,192,12,2248,233,504
Projects ABOUT	10068
Projects Coordinator	5036
Projects Covering	9944
Projects Duration Size	8604
Projects Financed	1264,1625,715,2299,636
Projects and Quality Management	5315
Projects and Sandboxes	6432
Projects and Technical Services	4528
Project’s Appraisal Environmental and Social Review Summary	1284,583,1737,2935
Project’s Effective Date	1264
Project’s Effective Date. Guinea ESCP	1264
Projekte	384
Projektet	77
Projet	246,65,27,19,124,84,63,212,129,36,233,32,11,3,17,7,104,47,125,65,29,47,19,27,142,5,55,20,3,6,30,28,16,194,137,157,30,2,59,220,85,6,53,138,139,6,94,47,29,132,35,29,7,2,38,41,24,5,7,32,12,110,43,50,270,32,1,31,12,1,10,1,1,4,4,183,482,20,130,82,209,19,9,256,18,85,158,10,173,159,40,26,140,222,279,77,14,66,176,150,79,7,5,157,48,108,459,2,14,33,6,49,278,57,396,55,140,37,149,376,160,4,265,46,5,187
Projet Amecc I Vers	5530
Projet Bonne Gouvernance Financière	6260
Projet Brazzaville	7661
Projet CAB5	1285
Projet Contingent de Réponse	9339
Projet DTS	3967,22
Projet Digitalise Youth	10089
Projet Djibouti Fondement du Numérique	3795
Projet Filets	7202
Projet Filets Sociaux	9744
Projet Finance	7822
Projet HISWACA-SOP2	9277
Projet IRAPOL	1292,765,2313
Projet PADCI	1649
Projet PLAN D'ORIENTATION STRATÉGIQUE DE L'ADMINISTRATION	10712
Projet Pour	7263
Projet ReFORME. Le POSAF	10712
Projet Régional	5983,1993,1
Projet SNC2630.pdf Listed	7439
Projet Smart Burkina Faso. The Chinese	475
Projet Smart Senegal. The Chinese	260
Projet Stat-Cap	10285
Projet TRANSFORME	10204
Projet TRANSFORME. D’un	10204
Projet Transforme	5835,3462
Projet WURI	5221,4447,879
Projet WURI-Benin Donatienne	3852
Projet WURI-Niger	10547
Projet WURI. Selon	9668
Projet de Centre	4402
Projet de Données Nécessaires	9276
Projet de Décret	6902
Projet de Développement Economique	12
Projet de Gouvernance Numérique du Secteur Public	5139
Projet de Large Crosswalk	58
Projet de Loi	4402,2500,361,417
Projet de Loi de Finances	4249,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,4528
Projet de Loi de Finances Rectificative	6599
Projet de Loi de Finances Rectificative. Porté	6740
Projet de Mobilité Urbaine	2342
Projet de Modernisation	5370
Projet de Préparation	5718
Projet de Stratégie Nationale de Cybersécurité	7439
Projet de Sécurisation Visas	2057,2313
Projet de Transformation Numérique	7976,1
Projet-de-Loi-de-Finances-2026.pdf	4304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Projet. Conclusion	1005
Projet. Pour	9668
Projeto	1265,8169
Projeto Cidade Segura	342
Projeto Digital Cabo Verde	3558
Projeto Infra-estrutura Tecnológica da Rede Electrónica	181,9
Projeto Mobilidade Transfronteiriça de Mulheres Importadoras	5402
Projeto Reforma	4938
Projeto WARDIP Guiné-Bissau	9846
Projeto de Apoio	8536
Projeto de Decreto	3246,6180
Projeto de Inovação Morabeza	1409,2672
Projeto de Reforma	3530,1181
Projetos	1431,715,828,1489,2918
Projetos Financiados	1431,1,714,1,2316,1
Projetos Regionais de Harmonização	8051
Projets	2342,703,791,1534,108,3159,843,1228
Projets Compte-rendu du Conseil des Ministres	3675
Projets IITA Pour	10708
Projets Informatiques	1293,765,2313
Projets PRÉSENTATION DU DATA CENTER NATIONAL	3675
Projets de Loi	4402
Projeção	4436
Proposed Project	1988
Proposed Project Activities	1988
Proposed Project Coordinates	1988
Proposed Project Implementation Date	1988
Proposed Project Location Name	1988
Province Area District Municipality Description of Project	6832
Public Accountability Project	10109
Public Digital Infrastructures Project	6694
Public Disclosure Authorized Project Information Document	3456
Public Expenditure and Investment Management Project	969
Public Sector Digital Governance Project	1678,1211
Public Sector Reform for Results Project	8367,2
Public Security Network Project	121
Public Security Network Project. The Chinese	121
Public Security Project	646
Public Security Project Export-Import Bank of China	646
Public Security Project Phase	645
Public-Interest Projects	10405
Publicação de WARDIP Guiné-Bissau O Projeto WARDIP	9846
RAPID-CI Project FM	3604
RCZ Goat Project. The RCZ	1554
RCZ Office Construction Project. The Project	1554
RCZ and ZERA Research Collaboration Projects	1154
RESPITE Project	6523
RESTRUCTURING A. Project	1228,3425
RESTRUCTURING OF MOZAMBIQUE DIGITAL ACCELERATION PROJECT	1228
RESTRUCTURING PAPER ON A PROPOSED PROJECT	1228
Rail and Port Freight Logistics Projects	2626
Rapport Général du Projet de Loi de Finances	4249
Refinery Project	5765
Refugee and Host Communities Project TABLE	1867
Regional Digital Integration Project	1216,6751
Regional Economic Community RPCC Regional Project	1264
Regional Emergency Solar Power Intervention Project	6523
Regional Integration and Inclusion Project	5956
Regional Project	648
Regional Project Coordination Committee	1177,87
Regional Social Cohesion Project	7426
Regional Unique Identification Project	6251
Regulation and Standards Strategic Project Budget Funding	395
Regulations Project	6594
Regulatory and Institutional Reforms Project	10053
Rehabilitation and Expansion Project	2305
Research and Project Finance and Accounts	6946
Response and Resilience Project	1867
Response of Project Implementation Team	1778
Results Framework for DZAP B. Project Components	2291
Results Report Angola Digital Acceleration Project	2712,3867
Roads and Access Project	5247
Rural Agent Project	8539
Rural Areas Under Digital Transformation Project	3770
Rural Connectivity Project	3489,294
Rural Mozambique Project World Bank Group	788
Rural Telephony Project	5359
Rural Telephony Project. Mr Rashid-Computer	5359
Rural Telephony and Digital Inclusion Project. Kept	478
Rural Transformation Centres Digital Platform Project	584
Rural and Small Towns Water Security Project	1228
Rwanda Digital Acceleration Project	607,111,2680,206,463,899,1580
Rwanda Digital and Innovation Promotion Project JICA	898
Rwanda Public Finance Management Reform Project	321
Rwanda Social Protection Transformation Project	1003
République. Le Projet WURI Niger	7993
SADC Corporate and Identity Manual. Project	962
SADC Regional Statistics Project	3476
SCOPE OF THE WORK General Project	962
SECRÉTAIRE D'ETAT CHARGÉ DES SPORTS Projet	4402
SEP Summary Table Project	1778
SERIES OF PROJECTS	1264
SHARING OF RESOURCES PROJECTORS	34
SIGFP-generated Projet	1326,1,2,1,686,1,2,1,2136,1,2,1
SKYE II Project	8985
SMART Burkina Project Export-Import Bank of China	474
SMART Education Project	3511
SMART Sierra Leone Project	2285
SOCIALE Projet	4402
Safari New Project	8571
Safe City Project	121,138,83,2935
Safe City Project China Development Bank	121
Safe City Project Export-Import Bank of China	259
Safe City Project. Previously	342
Safe City Project. The PBC	259
Safe Country Project	259
Safe Zanzibar Project	104
Safe Zanzibar Project ZTE	104
Saneamento de Santo Antão. Projeto de Desenvolvimento	1265
Sango Project	4127
Sango Project SANGO	4127
Satellite Project Management Unit	1867
Saving Voices Project	5682
School Internet Connectivity Project	10465
Science and Technology Development Project	6174,707
Scope of Project Work	3058
Secrétariat Général Projet	3715
Senegal Digital Economy Acceleration Project World	1190
Series of Projects	1175,2,1,1,1,1,1,95,7,583,1022,673,42,1758,1566
Series of Projects SSA Sub-Saharan Africa SPV	1264
Servers Zambia Refugee and Host Community Project	1988
Service Project	35,9531
Services Strengthening Project	1654
Serviços Ecológicos. O Projecto	1192
Sexual Exploitation and Abuse The Project	1988
Shepherd Manhokwe Project Location	1554
Sichuan Huakai Project Management Co. Ltd	181,9
Sierra Leone Digital Transformation Project	7814
Sierra Leone Digital Transformation Project World	997
SierraSeat Implementation Project	9680
SierraSeat Project Team	9680
Signature du Projet	3381
Sistema de Administração de Monitoria de Projectos	414
Skills Project ERR. Compact	210
Skills for Employability and Productivity Project. MCC	210
Smart Agriculture Strategic Interventions Project Activities	395
Smart Burkina Faso Project Export-Import Bank	475
Smart Burkina Faso Project. The GCL	475
Smart Cities Strategic Interventions Project Activities	395
Smart City Project	359
Smart City Project Export-Import Bank of China	359
Smart City Project. The GCL	359
Smart Co for Technology Projects and Artificial Intelligence	3826
Smart Education Project	791,69
Smart Education Project Export-Import Bank of China	860
Smart Education Project Home China-Rwanda Economy	791
Smart Education Project The ICT Lab	2256
Smart Government Strategic Interventions Project Activities	395
Smart Senegal Project	260,40
Smart Senegal Project. The GCL	260,40
Smart Surveillance Infrastructure Project	8520
Smart Zambia National ICT Development Project	59,134,1
Social Business and Digital Africa Call for Projects	331
Socio-Economic Rights and Accountability Project	7458
Société Civile PAARIB Projet	10712
Solar PV and BESS Project	3688
South Sudan Education Comprehensive Development Project	122
Southeastern Corridor Road Asset Management Project	6523
Southern Africa Trade and Connectivity Project	9945
Special Initiative Projektbezeichnung	2143
Special Projects	6422
Special Projects Management Unit	2095
Startup Hub Project	3054
State Connectivity Infrastructure Modernization Project	4548
State Sector Projects	1818
Statistics Development Support Project for Somalia African	809
Strategic Integrated Projects	6832
Strategic Project Valued	6581
Strategic Projects Coordinator	5036
Strengthening Project World Bank Group	112
Strengthening Tax Administration Capacity Project	5351,4871,350,72
Strengthening the National Social Protection System Project	424,549
Structural Safety of Project Infrastructure	1988
Sub- Projects	1867
Submissão de Propostas de Projectos de Investigação	414
Subproject Zambia Refugee and Host Community Project	1988
Substantial Technical Design of Project	1284,1428,1976,1891,1298
Superhighway Project	6946
Support Comoros Digital Connectivity Project	9988
Support Project	792,620
Supporting Police Accountability and Transformation Project	8471
Survey Project	191
T Project Managers	6832
TABLE OF CONTENTS I. PROJECT	2473,2180
TUNISIA PROJECT HANNIBAL	1818
Tanzania Land Information Infrastructure Development Project	637
Tanzania Project	6807
Tanzania Resident Registration System Expansion Project	638
Tazama Project Bill	1105
TechPark CV Project	2865
Technical Design of Project	969,898,1737,2935
Technical Project Portfolio Management	4528
Technical and Vocational Training Centers Upgrading Project	258
Tecnologia Projecto	6595
TelOne Broadband Expansion Project	60
TelOne Broadband Expansion Project Export-Import Bank	60
Telecommunications Modernization Project. Kept	480
Telecommunications Network Modernization Project	257,224
Telecommunications Network Modernization Project. The GCL	257
Thembekile Dr Angela Project Location	1554
Theme Project Management and Coordination Component	2989
Thevar Projects	3862
Third Project Steering Committee Meeting	8294
Thrive Project	8434
Through Project Zero	9102
Through the Digital Governance and Economy Project	1800
Through the Farmer Visibility Project	8374
Throughout the Project	1988
Timeline Project Objective	1778
Title Affiliation No Project Director Jhpiego	9855
Titre du Projet	5370
Today’s Project Management Tasks Will	2816
Togo Digital Acceleration Project World Bank	2047
Towers Project	3524
Trans-Saharan Corridor Project	4548
Transform Project	4126
Transforming High-Potential Resilient Value Chains Project	8399
Transmission Backbone Project	1539
Transmission Backbone Project. Budget	1539
Transmission Lines Project	3760
Transmission Lines Project Cabinet	3760
Transmission Lines Project. Page	3760
Transmission Network Project	257
Transmission Project. The Project	3760
Transport Network Upgrades Project	2884
Transversal IT Projects	5533
Twitter Le Projet	5545
UGP du Projet WARDIP-Mauritanie	5983
UNHCR Chad Project Lead Mohamed Doumbia	2823
UNIDADE DE GESTÃO DE PROJECTOS ESPECIAIS	8166
USAID Health Care Improvement Project. Community	1219
Uganda Climate Smart Agricultural Transformation Project	1024,259
Uganda Digital Acceleration Project	756,527,6097,494,158,1751
Uganda's Digital Acceleration Project	3275
Uganda-Japan ICT Industry Promotion Project	7652
Unfinished N288m Lagos School Project. Guess	7176
Unidade de Gestão de Projectos Especiais	8166
Unified Economic Number Project Foreign	3826,1438
United Nations Office for Project Services	6806
Unité de Coordination du Projet	5370
Unité de Gestion de Projet	3715
Unité de Gestion du Projet	4342,898
Unité de Gestion du Projet Moroni	3715
Unité de Gestion du Projet PAEBC	8507
Universal Connectivity Project	5514,4653
University Research Partnership Project	8456
Updating the Project Operations Manual	2989
Upgrade Project	7036
Urban Infrastructure City Management Project	718
Urban Security Monitoring System Project	183
Urban Security Monitoring System Project. China	183
Urban Security and Monitoring System Project	619
Urban Security and Monitoring System Project China	619
Urban and Regional Host Communities Project	1988
VAT Modernisation Project	7746
Via Africa Project	6169
Video Surveillance Platform Project	420,1,132
Video Surveillance Project	341
Video Surveillance Project China Development Bank	341
Vidéos Projets	3675
Village Connectivity Project	6110
Vuyiswa Khutlang SA Mine Project Leader	7751
WARDIP Project	4359
WATAF Strengthening Tax Administration Capacity Project	10222
WB P180495 DRC Digital Transformation Project	2126
WB Project Appraisal Document PAD3340	424
WB Project Paper	583,2197
WTES Projects Limited	7110
Water Projects	6422
WaterWorX Project	9561
Wesley Oghera Project Lead Jhpiego	9855
West Africa Regional Communications Infrastructure Project	221,86,957
West Africa. Project	5351
Will the Project	1988
Within the Digital Malawi Acceleration Project. Local-govt	5312
Within the Project	1778
World Bank DRC Digital Transformation Project	3515
World Bank Digital Cabo Verde Project	4835
World Bank Mozambique Digital Acceleration Project	4653
World Bank Policy and Directive for Investment Project	2889
World Bank Policy for Investment Project Financing	1264
World Bank Project	5244
World Bank Project Appraisal Document	541,34,1679
World Bank Project Paper	2780
World Bank Project Preparation Grant	6665,788
World Bank's Projet	3639
World Bank's Projet de Gouvernance Numérique du Secteur	1684
World Bank-financed Agricultural Commercialisation Project	8957
World Bank-financed Digital Tanzania Project	9149
World Bank-funded Digital Eswatini Project	7605
World Bank-funded Digital Malawi Acceleration Project	7070
World Bank-funded Eswatini Digitization Project	6821
World Bank-funded Project	4523,170
World Bank-funded Project Implementation Units	1228
World Bank-funded SADC Regional Statistics Project	3476
World Bank-supported Digital Eswatini Project	7687
World Bank’s Digital Zambia Acceleration Project	1867
World Justice Project Rule of Law Index	4528,793
Youth Digital Transformation Project	5244
Youth Employment Project	5488
ZICTA Assesses UASF ICT Projects	6713
ZICTA Board Committee Reviews UASF Projects	3524
ZINGSA Project	520
ZINGSA Projects' Co-leader	520
ZINGSA Projects' Leader	520
ZRCP Zambia Refugee and Host Community Project	1988
Zambia Agribusiness and Trade Project	1867
Zambia Displaced Persons and Borderlands Communities Project	1778
Zambia Refugee and Host Communities Project	1901,87,1707
Zambia Refugee and Host Communities Project Intention	1988
Zambia Refugee and Host Communities Project. Site	1988
Zambia Refugee and Host Community Project	1988
Zambia Refugee and Host Community Project ESMF	1988
Zambia Refugees and Host Communities Project	1988
Zambia Refugees and Host Communities Project Coordinator	1778
Zambia Zambia Refugee and Host Communities Project	1867
Zero Access Project	6748
Zero-Rated Data Access Project	6748
Zimbabwe ICT Projects	2256
Zimbabwe Peace Project	5733
