indicator_id,url,title,publisher,published,brief,why_not,slice
dpi.exchange--interoperability-of-social-protection-systems,https://natlex.ilo.org/dyn/natlex2/natlex2/files/download/96353/BDI-96353.pdf,Document de Politique Nationale de Protection Sociale au Burundi,Direction générale de la protection sociale / NATLEX,2011-04-01,baseline,"not fetched; founding policy instrument, superseded as a statement of the systems' current interoperability by the 2025 CORE-MIS note",dpi-a
dpi.id--registration-of-entire-population,https://databank.worldbank.org/ID4D/id/99075b0c,Identification for Development (ID4D) Data - DataBank,"World Bank, ID4D",2022-01-01,baseline,"not fetched; 87,4 per cent ID possession among those aged 15 and over in 2021 is the most recent figure, but a DataBank query view is not a citable document and it excludes the under-15s",dpi-a
dpi.id--registration-of-entire-population,https://www.unicef.org/burundi/press-releases/birth-registration-prerequisite-lifelong-protection,Birth registration: a prerequisite for lifelong protection,UNICEF Burundi,2024-08-10,baseline,"not fetched; restates the EDSB-III figure with the useful 73 per cent under-ones and 66 per cent certificate breakdown, but the primary statistical publication wins the one baseline slot",dpi-a
dpi.id--national-maintenance-of-id-and-credentials-systems,https://setic.gov.bi/recrutement-dun-bureau-detudes-pourrealiser-une-etude-complete-sur-la-gestion-et-lhebergement-des-donnees-inventaire-strategie-analyse-politique-plan-operationnelbusiness-plan-et-modele-de/,Recrutement d'un bureau d'études pour réaliser une étude complète sur la gestion et l'hébergement des données,SETIC,,progress,"not fetched; directly on hosting architecture but the page displays no date, so it cannot be placed inside or outside the window",dpi-a
dpi.id--national-maintenance-of-id-and-credentials-systems,https://mininterinfos.gov.bi/recrutement-dun-consultant-charge-du-diagnostic-du-systeme-didentification-evaluation-detaillee-du-systeme-pilote-de-digitalisation-de-letat-civil-developpement-des-exigen/,Recrutement d'un consultant chargé du diagnostic du système d'identification,"Ministère de l'Intérieur, du Développement Communautaire et de la Sécurité Publique",2023-08-29,baseline,not fetched; procurement notice showing the architecture was still being diagnosed - weaker than the travel-documents statement on who actually operates the systems,dpi-a
dpi.id--authentication,https://obr.bi/images/Guide-utilisateur-adhesion-et-connexion.pdf,Portail Umutangakori - guide utilisateur adhésion et connexion,Office Burundais des Recettes,2023-07-01,baseline,"not fetched; documents a real but sectoral OBR login keyed to tax identifiers, superseded for the window by the e-KORI biometric step",dpi-a
dpi.id--authentication,https://www.biometricupdate.com/202606/burundi-looks-to-india-stack-for-digital-id-and-payments-infrastructure,Burundi looks to India Stack for digital ID and payments infrastructure,Biometric Update,2026-06-30,progress,"not fetched; exploratory cooperation reporting rather than a service going live, and the two progress slots went to deployments",dpi-a
dpi.id--interoperability-of-birth-registration-and-digital-id,https://africalabel.com/conducting-a-cost-benefit-analysis-of-investments-in-implementing-interoperability-between-healthcare-facilities-and-civil-registration-services-for-birth-registration-in-burundi/,Conducting a cost-benefit analysis of investments in implementing interoperability between healthcare facilities and civil registration services for birth registration in Burundi,Africa Label Group,2026-03-13,progress,"not fetched; a consultancy's own project listing reporting its own engagement, not a publisher - same ground on which funiber.org.br was left unselected in the GNB batch",dpi-a
dpi.id--interoperability-of-birth-registration-and-digital-id,https://idtechwire.com/burundi-extends-biometric-civil-registration-toward-national-digital-id/,Burundi Extends Biometric Civil Registration Toward National Digital ID,ID Tech Wire,2026-08-12,progress,"not fetched; trade-press report of the same thirteen-communes fact carried by the staged RTNB piece - one event, one item",dpi-a
dpi.id--interoperability-of-birth-registration-and-digital-id,https://www.unicef.org/burundi/stories/interoperability-between-civil-registry-and-health-services-birth-registration-kirundo,Interoperability between civil registry and health services for birth registration in Kirundo,UNICEF Burundi,2025-01-28,progress,"not fetched; the clearest account of the Kirundo civil registry to health interoperability, but published before the window opens",dpi-a
dpi.id--use-by-other-systems,https://www.obr.bi/index.php/communiques/392-lobr-poursuit-la-formation-de-ses-partenaires,Les questions fréquemment posées,Office Burundais des Recettes,,baseline,"not fetched; best point-of-service evidence that the NIF application takes a CNI or passport copy, but the page carries no date",dpi-a
dpi.id--use-by-other-systems,https://www.brb.bi/sites/default/files/2026-02/Reglement%20no2_0.pdf,Règlement n°02/2026 relatif à la LBC/FT,Banque de la République du Burundi,2026-01-30,progress,"not fetched; the regulation itself, but the same regulatory event as the staged BRB announcement - one event, one item",dpi-a
dpi.pay--g2p-functionality,https://www.brb.bi/node/3237,BurundiPay lancé : une avancée majeure pour la modernisation des paiements au Burundi,Banque de la République du Burundi,2026-04-23,progress,"duplicate-in-run: same BurundiPay launch as brb.bi/node/3293, already staged by a sibling slice; not fetched",dpi-b
dpi.pay--g2p-functionality,https://migrantmoney.uncdf.org/wp-content/uploads/2025/05/Payment-Infrastructure-Assessment-Burundi-April2025.pdf,Payment Infrastructure Assessment Burundi,UNCDF,2025-04-01,baseline,over cap; also already staged by a sibling at baseline/2025-04-01-uncdf-payment-infrastructure-assessment-burundi.md,dpi-b
dpi.pay--g2p-functionality,https://archive.brb.bi/fr/content/loi-n%C2%B0-0107-du-11-mai-2018-portant-syst%C3%A8me-national-de-paiment,Loi N° 01/07 du 11 Mai 2018 Portant système national de paiment,Banque de la République du Burundi,2018-05-11,baseline,over cap; the enacting act of the national payment system is generic to dpi.pay and already staged by a sibling at baseline/2018-05-11-loi-1-07-systeme-national-paiement.md,dpi-b
dpi.pay--b2b-and-b2g-functionality,https://www.brb.bi/sites/default/files/2026-04/NOTE%20TRIMESTRIELLE%20T4-2025.pdf,NOTE TRIMESTRIELLE SUR LA PERFORMANCE DES SYSTEMES ET MOYENS DE PAIEMENT,Banque de la République du Burundi,2026-04-01,progress,"not selected: quarterly activity figures for existing infrastructure, not a distinct movement; over cap",dpi-b
dpi.pay--b2b-and-b2g-functionality,https://obr.bi/index.php/systeme-de-facturation-electronique-ebms,"Système de facturation électronique, EBMS",Office Burundais des Recettes,,baseline,"over cap; baseline slot taken by the BRB annual payment-systems report, which carries dated volumes",dpi-b
dpi.registry--population-register,https://abpinfo.bi/2026/08/13/le-burundi-veut-construire-un-etat-plus-proche-des-citoyens-plus-efficace-et-inclusif/,"Le Burundi veut construire un Etat plus proche des citoyens, plus efficace et inclusif",Agence Burundaise de Presse,2026-08-13,progress,already-seen: DUP-EXACT against raw/2026/2026-08-13-burundi-decentralization-civil-registry-digitization-abp.md,dpi-b
dpi.registry--population-register,https://data.unicef.org/wp-content/uploads/2017/12/9.3-OM-530_102-du-29-avril-1980-creation-des-bureaux-detat-civil.pdf,Ordonnance ministérielle n° 530/102 du 29 avril 1980 portant création des bureaux d’état civil,République du Burundi,1980-04-29,baseline,"headline-only-stub: 403 to python-requests and 200 to curl, but the PDF has a broken custom font encoding and its text layer extracts as mojibake; no verbatim body recoverable without OCR",dpi-b
dpi.registry--population-register,https://www.wearetech.africa/fr/fils/actualites/tech/burundi-vers-un-systeme-d-etat-civil-entierement-numerise,Burundi : vers un système d’état civil entièrement numérisé,We Are Tech Africa,2026-05-08,progress,"duplicate-in-run: syndicated account of the same 6 May 2026 presentation as the Le Renouveau primary, which is selected",dpi-b
dpi.registry--population-register,https://data.unicef.org/crvs/burundi/,"CRVS - Birth, Marriage and Death Registration in Burundi",UNICEF DATA,2017-12-05,baseline,"over cap; 2017 figures, superseded as a statement of current position",dpi-b
dpi.registry--address-register,https://documents1.worldbank.org/curated/en/099062024123038572/txt/BOSIB1bd6e8d4907e19b5e1aa1e313e74cc.txt,Project Appraisal Document - Urban Resilience Emergency Project (P177146),World Bank Group,2024-06-14,baseline,over cap; the UPU addressing country file is the more direct primary evidence of the national address format,dpi-b
dpi.registry--address-register,https://presidence.gov.bi/2022/09/28/decret-no-100-135-du-27-septembre-2022-portant-revision-du-decret-no-100-115-du-21-avril-2021-portant-creation-dun-bureau-de-centralisation-geomatique/,Décret No 100/135 du 27 septembre 2022 portant Révision du Décret No 100/115 du 21 avril 2021 portant Création d’un Bureau de Centralisation Géomatique,Présidence de la République du Burundi,2022-09-27,baseline,"over cap; the BCG creates a geomatics institution, not an address register",dpi-b
dpi.registry--business-register,https://investburundi.bi/decision-n-refadb-2023-du-10-fevrier-2026-portant-mesure-de-transparence-et-de-vigilance-dans-lenregistrement-des-entreprises-pour-le-prevention-du-blanchissement-de-capitaux-et-du-financement-du-t/,Décision N/Réf:ADB/2023 DU 10 Février 2026 portant mesure de transparence et de vigilance dans l’enregistrement des entreprises pour le prévention du Blanchissement de Capitaux et du Financement du Terrorisme au BURUNDI,Agence de Développement du Burundi,2026-02-26,progress,"headline-only-stub: HTTP 500 to a browser UA and 200 to curl, but the page carries only the title and download links; the FR and EN decision PDFs fetch 200 and are scans with no text layer",dpi-b
dpi.registry--business-register,https://presidence.gov.bi/2021/11/19/decret-no-100-255-du-15-novembre-2021-portant-creation-mission-organisation-et-fonctionnement-de-lagence-de-developpement-du-burundi/,"Décret No 100/255 du 15 novembre 2021 portant Création, Mission, Organisation et Fonctionnement de l’Agence de Développement du Burundi",Présidence de la République du Burundi,2021-11-15,baseline,"over cap; creates the agency that now holds the register, but the Code de commerce creates the register itself",dpi-b
dpi.registry--business-register,https://investburundi.bi/procedures-de-creation/,Procédures de Création,Agence de Développement du Burundi,2022-12-08,baseline,"over cap; administrative procedure page, not the founding instrument",dpi-b
dpi.registry--social-protection-register,https://faolex.fao.org/docs/pdf/Bur190910.pdf,STRATEGIE DE LA PROTECTION SOCIALE AU BURUNDI,Gouvernement de la République du Burundi,2015-01-01,baseline,over cap; the 2015 strategy requires a registre commun des bénéficiaires but does not establish that one exists,dpi-b
dpi.registry--social-protection-register,https://documents1.worldbank.org/curated/en/099061423200531086/pdf/P1753270f794c605708f730ae693e443df6.pdf,World Bank Document (P175327: Cash for Jobs Project),World Bank Group,2023-06-08,baseline,"over cap; useful for the decree indicator still reading No in June 2023, but superseded by the 2026 statement of position",dpi-b
dpi.registry--social-protection-register,https://cnps.gov.bi/,Commission Nationale de Protection Sociale,CNPS Burundi,,baseline,"not selected: institutional home page, no dated statement of the registry",dpi-b
dpi.registry--tax-register,https://obr.bi/images/PDF/Loi_du_5_11_2021_portant_R%C3%A9vision_de_la_loi_du_14_juillet_2009_portant_Cr%C3%A9ation_Orga_et_Fxt__de_lOBR.pdf,"Loi n° 1/22 du 05 novembre 2021 portant révision de la loi n° 1/11 du 14 juillet 2009 portant création, organisation et fonctionnement de l’Office Burundais des Recettes",Office Burundais des Recettes,2021-11-05,baseline,headline-only-stub: HTTP 200 at 1.19 MB but the PDF is an image-only scan with no text layer; no verbatim body recoverable without OCR,dpi-b
dpi.registry--tax-register,https://finances.gov.bi/wp-content/uploads/2025/02/LOI-RELATIVE-AUX-PROCEDURES-FISCALES-ET-NON-FISCALES.pdf,LOI N°1/12 DU 25 NOVEMBRE 2020 RELATIVE AUX PROCEDURES FISCALES ET NON FISCALES,"Ministère des Finances, du Budget et de la Planification Économique",2020-11-25,baseline,"headline-only-stub: HTTP 200 at 2.07 MB but the PDF is an image-only scan with no text layer, and the ministry post linking it carries only the title",dpi-b
dpi.registry--tax-register,https://abpinfo.bi/2026/08/06/e-kori-toutes-les-nouvelles-demandes-dimmatriculation-desormais-en-ligne-a-partir-du-4-aout/,e-KORI : toutes les nouvelles demandes d’immatriculation désormais en ligne à partir du 4 août,Agence Burundaise de Presse,2026-08-06,progress,already-seen: DUP-EXACT against raw/2026/2026-08-06-burundi-e-kori-online-taxpayer-registration-mandatory.md,dpi-b
dpi.registry--tax-register,https://obr.bi/index.php/immatriculation-des-contribuables-et-des-automobiles,Immatriculation des contribuables et des automobiles,Office Burundais des Recettes,,baseline,"over cap; the register’s own procedure page but undated, so the IMF Country Report takes the baseline slot",dpi-b
dpi.mis--justice,https://www.gtai.de/resource/blob/1993224/689c5312b57432b03153509eea1041b0/PRO202604241993214%20-%20Annex%204.PDF,Consolidation des acquis du Programme d’appui au secteur de la justice au Burundi,Commission européenne,2026-04-24,baseline,"fetch-blocked: the GTAI blob URL returns a German HTML wrapper page (61 KB, text/html) to every client tried, not the PDF",dpi-b
dpi.mis--justice,https://open.enabel.be/en/BDI/2543/p/programme-d-appui-au-secteur-de-la-justice-au-burundi.html,Programme d’Appui au Secteur de la Justice au Burundi (JUSTIBUR),Enabel,2022-12-01,baseline,"fetch-blocked: HTTP 200 but open.enabel.be renders only from JavaScript; the capture yields Loading ... and site chrome, no body",dpi-b
dpi.mis--justice,https://www.iwacu-burundi.org/bientot-la-digitalisation-des-services-judiciaires/,Bientôt la digitalisation des services judiciaires,Iwacu,2022-05-07,baseline,"over cap; the best dated statement of the pre-digital state but a news account, and 2022",dpi-b
dpi.mis--justice,https://paris21.org/sites/default/files/Burundi-NSDS-Evaluation_0.pdf,Évaluation finale de la Stratégie nationale de développement de la statistique du Burundi 2010-2014,PARIS21,2015-03-01,baseline,"over cap; sectoral statistical capacity, not a court case-management system, and 2015",dpi-b
dpi.mis--tax,https://finances.gov.bi/wp-content/uploads/2023/11/ORDONONANCE-MINISTERIELLE_UMUTANGAKORI.pdf,Ordonnance Ministérielle N°540/1377 du 31/10/2023 portant mise en place d’un système des téléprocédures via le portail “UMUTANGAKORI”,"Ministère des Finances, du Budget et de la Planification Économique",2023-10-31,baseline,"headline-only-stub: HTTP 200 at 1.54 MB but the PDF is an image-only scan with no text layer, and the ministry post linking it carries only the title",dpi-b
dpi.mis--tax,https://obr.bi/images/DAO/Plan_strategique_2018-2022_complet_pour_le_site.pdf,Plan stratégique 2018-2022,Office Burundais des Recettes,2018-01-01,baseline,"over cap; a plan for work then still to be done, superseded by the IMF statement of current position",dpi-b
dpi.mis--tax,https://obr.bi/images/Rapport_trimestriel_juillet_-_septembre_2016.pdf,RAPPORT TRIMESTRIEL (Juillet-Septembre 2016),Office Burundais des Recettes,2016-10-01,baseline,"over cap; historic evidence of the SIGTAS-ASYCUDA interconnection, 2016",dpi-b
dpi.mis--tax,https://obr.bi/images/RAPPORT_ANNUEL_2013.pdf,RAPPORT ANNUEL 2013,Office Burundais des Recettes,2014-03-01,baseline,"over cap; historic reference point, 2013",dpi-b
dpi.mis--land,https://d1n0nj0ml605fq.cloudfront.net/media/documents/20250511_Manuel_de_gestion_et_de_Fonctionnement_du_SFC-Bon_%C3%A0_Tirer_1_1.pdf,MANUEL TECHNIQUE DE GESTION ET DE FONCTIONNEMENT DES SERVICES FONCIERS COMMUNAUX AU BURUNDI,Secrétariat Permanent de la Commission Foncière Nationale,2024-11-01,baseline,"over cap; the best recent institutional state of play (114 SFC, the Système National d’Information Foncière still to be put in place) and already staged by a sibling at baseline/2024-11-01-manuel-technique-gestion-fonctionnement-services-fonciers-communaux-burundi.md",dpi-b
dpi.mis--land,https://abpinfo.bi/2026/06/18/le-budget-de-letat-exercice-2026-2027-fixe-a-7-0206-milliards-de-bif/,"Le budget de l’Etat exercice 2026/2027 fixé à 7 020,6 milliards de BIF",Agence Burundaise de Presse,2026-06-18,progress,"not selected: names digitalisation des titres fonciers inside a budget envelope; a funding line, not a movement of the land information system",dpi-b
dpi.mis--land,https://bi.chm-cbd.net/sites/bi/files/2019-12/decret-mod-applica-%20dispo-droit-fonci-certi.pdf,Décret n°100/129 du 23 juin 2016 portant modalités d’application des dispositions du chapitre 3: Des droits fonciers certifiés,République du Burundi,2016-06-23,baseline,"over cap; the application decree for the SFC and the certificat foncier, subordinate to the Code foncier which takes the baseline slot",dpi-b
dpi.mis--land,https://faolex.fao.org/docs/pdf/bur112087.pdf,DECRET N° 100/103 DU 04 AVRIL 2011 ... COMMISSION NATIONALE DES TERRES ET AUTRES BIENS,République du Burundi,2011-04-04,baseline,"off-topic: the CNTB is a land-dispute and restitution body, not the land registry or its information system",dpi-b
dpi.mis--land,https://faolex.fao.org/docs/pdf/bur111284.pdf,Loi n°1/13 du 9 août 2011 portant révision du code foncier du Burundi,République du Burundi,2011-08-09,baseline,"over cap: the founding act, but the only fetchable copy is a badly degraded FAOLEX OCR (droits forc ers for droits fonciers, renserroie for l'ensemble); the baseline slot went to the Manuel technique SFC, which is clean text and states the current position - 114 SFC created and the Système National d'Information Foncière still to be put in place",dpi-b
gov.policy--digital-transformation-strategy,https://vision-burundi.gov.bi/uploads/documents_download/new/PND%20Re%CC%81vise%CC%81%20Version%20Officielle%20(1).pdf,PLAN NATIONAL DE DEVELOPPEMENT DU BURUNDI 2018-2027 REVISE ET SON PLAN D'ACTIONS PRIORITAIRES 2023-2027,"Republique du Burundi, Ministere des Finances",2024-05-01,1,over cap - general national development plan whose Axe 1 is digital; the PDDSP 2023-2033 is the specific digital transformation instrument and was taken as the baseline,gov-a
gov.policy--digital-transformation-strategy,https://primature.gov.bi/wp-content/uploads/2026/04/Decret-comite-national-DIGITALISATION.pdf,"Decret N100/012 du 27 Janvier 2025 portant creation, composition, missions, organisation et fonctionnement du Comite National de Pilotage de la Digitalisation des Services Publics (CNPDSP)",Primature du Burundi,2025-01-27,2,out of window - decree of 27 January 2025 predates the 2025-08-01 window start; PDF text layer is badly OCRd,gov-a
gov.policy--digital-transformation-strategy,https://www.obr.bi/index.php/actualites/2425-sous-le-patronage-de-s-e-le-ministre-des-finances-du-budget-et-de-l-economie-numerique-lancement-officiel-d-un-projet-de-mise-en-place-du-systeme-de-digitalisation-des-processus-de-collecte-des-taxes-internes-et-recettes-non-fiscales-e-kori,Lancement officiel du systeme e-KORI,Office Burundais des Recettes (OBR),2026-01-19,2,over cap and off-indicator - tax collection digitalisation is a revenue-administration item rather than a movement on the national digital transformation strategy,gov-a
gov.policy--digital-transformation-strategy,https://primature.gov.bi/plan-directeur-de-digitalisation-des-services-publics-du-burundi-pddsp-2023-2033/,Plan Directeur de Digitalisation des Services Publics du Burundi (PDDSP 2023-2033),Primature du Burundi,2026-06-29,1,headline-only stub - the Primature landing page carries a title and a sidebar of other documents; the linked PDF was staged instead,gov-a
gov.policy--ict-strategy,https://thedocs.worldbank.org/en/doc/094ae7e492b4b741f58747465021caf0-0200022021/original/DE4A-Burundi-EN.pdf,Burundi Digital Economy Assessment,World Bank Group,2021-01-01,1,over cap - official assessment of the PNDTIC's standing rather than the instrument; the PNDTIC itself was taken as the baseline,gov-a
gov.policy--ict-strategy,https://idate.fr/mission-pour-le-gouvernement-de-la-republique-du-burundi/,Mission Consulting pour le Gouvernement de la Republique du Burundi,IDATE / PRISMA International,2024-03-22,1,"consultancy announcing its own commissioned mandate to update the PNDTIC and draft a 2025-2034 successor - evidence of a successor in preparation only, and self-promotional; origin adjudicated watch",gov-a
gov.policy--ict-strategy,https://mesrs.gov.bi/atelier-de-restitution-et-de-validation-de-la-strategie-nationale-sur-les-ressources-educatives-libres-au-burundi/,Atelier de restitution et de validation de la strategie nationale sur les ressources educatives libres au Burundi,MENRS,2026-04-22,2,"off-indicator - an education sector open educational resources strategy, not a movement on the national ICT strategy",gov-a
gov.policy--ict-strategy,https://abpinfo.bi/2021/06/04/toutes-les-parties-prenantes-dans-la-mise-en-oeuvre-de-la-politique-nationale-des-tlc-appelees-a-redoubler-dardeur-dans-la-digitalisation-des-services-publics/,Toutes les parties prenantes dans la mise en oeuvre de la Politique nationale des TIC appelees a redoubler d'ardeur,Agence Burundaise de Presse (ABP),2021-06-04,1,over cap - 2021 implementation review reported by the news agency; the PNDTIC instrument itself was taken as the baseline,gov-a
gov.policy--broadband-strategy,http://www.itu.int/md/meetingdoc.asp?lang=en&parent=D18-SG01.RGQ-C-0167,"The Burundi broadband strategy, a vision for 2025 in the ICT sector","Republic of Burundi, submitted to ITU-D",2019-07-26,1,over cap - ITU meeting-document landing page behind a document-management interface; the ARCT annual report carries the adoption-status statement and was taken as the baseline,gov-a
gov.policy--broadband-strategy,https://arct.gov.bi/wp-content/uploads/2022/12/RAPPORT-ANNUEL-2021-2022.pdf,rapport annuel des activites realisees au cours de l'exercice 2021-2022,Agence de Regulation et de Controle des Telecommunications (ARCT),2022-12-01,1,over cap - later ARCT annual report confirming BBS backbone reach but not reproducing the broadband strategy adoption status,gov-a
gov.policy--broadband-strategy,https://setic.gov.bi/connectivite-numerique-haut-debit-4g-en-milieu-rural/,Connectivite numerique haut debit 4G en milieu rural,Secretariat Executif des Technologies de l'Information et de la Communication (SETIC),,2,"undated - the PAFEN-Lumitel USD 10m rural 4G contract page carries no publication or signature date in its body or metadata, so the in-window claim could not be established from the fetched page",gov-a
gov.policy--broadband-strategy,https://s47139.pcdn.co/wp-content/uploads/2025/12/Bdi-Rapport_Evenement-National-Africa-BB-Maps_28-30-Octobre-2025.pdf,AFRICA-BB-MAPS Rapport de l'evenement national,Ministere des Finances / UIT / ARCT,2025-12-04,2,duplicate in run - CDN alias of the same PDF; the canonical africabbmaps.itu.int URL was staged instead,gov-a
gov.policy--data-interoperability-framework-roadmap,https://pafen.gov.bi/facilitateurs-de-la-prestation-de-services-publics/,Facilitateurs de la prestation de services publics,"PAFEN, Gouvernement du Burundi / Banque mondiale",2023-04-24,1,over cap - project page naming data infrastructure and interoperability as a workstream; the World Bank appraisal document is the more specific primary source and was taken as the baseline,gov-a
gov.policy--data-interoperability-framework-roadmap,https://www.uneca.org/eca-events/burundi-validates-its-first-national-data-governance-strategy,Burundi validates its first National Data Governance strategy,United Nations Economic Commission for Africa,2025-11-07,2,"already held - the National Data Governance Strategy validation is context for this run per the briefing, not a target",gov-a
gov.policy--data-interoperability-framework-roadmap,https://documents1.worldbank.org/curated/en/605991608528899689/pdf/Burundi-Digital-Economy-Assessment.pdf,Burundi Digital Economy Assessment,World Bank Group,2020-12-21,1,over cap - establishes the starting position that no whole-of-government e-government roadmap or interoperability regulation existed; superseded as baseline by the 2022 appraisal document,gov-a
gov.policy--data-localisation-policies,https://arct.gov.bi/2024/09/12/loi-n1-22-du-22-aout-portant-code-des-communications-electroniques-et-postales/,Loi n1/22 du 22 aout 2024 portant code des communications electroniques et postales,Agence de Regulation et de Controle des Telecommunications (ARCT),2024-09-12,1,"over cap - the sector code carries no located localisation, local hosting or cross-border transfer rule; the UNECA digital trade profile states the position directly and was taken as the baseline",gov-a
gov.policy--data-localisation-policies,https://www.brb.bi/textes_legaux_relatifs_aux_systemes_de_paiement,Textes Legaux Relatifs aux Systemes de Paiement,Banque de la Republique du Burundi (BRB),,1,index page with no substantive body and no located instruction requiring financial or payment data to be stored in Burundi,gov-a
gov.policy--data-localisation-policies,https://setic.gov.bi/recrutement-dun-bureau-detudes-pourrealiser-une-etude-complete-sur-la-gestion-et-lhebergement-des-donnees-inventaire-strategie-analyse-politique-plan-operationnelbusiness-plan-et-modele-de-gouvernance/,Recrutement d'un bureau d'etudes pour realiser une etude complete sur la gestion et l'hebergement des donnees,SETIC,,2,"procurement notice for a study on data management and hosting - evidence that a hosting policy was still to be written, not a localisation rule and not a dated event",gov-a
gov.policy--open-data-policy,http://www.presidence.gov.bi/wp-content/uploads/2018/07/decret-085-2018.pdf,"Decret N100/085 du 25 juillet 2018 portant Cadre National de Collecte, de Diffusion, d'Acces, d'Archivage et de Securisation des Donnees et des Micro-Donnees",Presidence de la Republique du Burundi,2018-07-25,1,"over cap after review - the standing legal framework, but its official PDF is a 12-page image-only scan with no text layer; the INSBU Accord de Licence Ouverte is the operative open data licence, is fully capturable, and was taken as the baseline in its place. A sibling slice has staged this document independently",gov-a
gov.policy--open-data-policy,https://documents1.worldbank.org/curated/en/099061724095529644/pdf/BOSIB-180c9300-57f0-462d-8ed9-8b42bf7aafc2.pdf,"Project Paper for the Eastern Africa Regional Statistics Program for Results, Burundi additional grant",World Bank Group,2024-06-13,1,"over cap - the clearest statement of operational standing, that over half of INSBU survey microdata is not online and a dissemination policy was still to be adopted; kept for a later widening",gov-a
gov.policy--open-data-policy,https://www.insbu.bi/communiquesPresse,Strategie de Communication et de Diffusion des Statistiques du Systeme Statistique National (SSN) 2026-2030,Institut National de la Statistique du Burundi (INSBU),2026-06-30,2,"not a permalink - the cited URL is the INSBU press release listing, not the strategy document, and insbu.bi serves no body to a plain fetch",gov-a
gov.policy--open-data-policy,https://dsbb.imf.org/egdds/country/BDI/category,Burundi - Dissemination Standards Bulletin Board,International Monetary Fund,,1,over cap and non-descriptive - the IMF page carries no current participation statement to capture,gov-a
gov.protect--national-data-protection-readiness,https://arct.gov.bi/2026/03/18/loi-n1-03-du-10-mars-2026-portant-protection-des-donnees-a-caractere-personnel/,LOI N1/03 DU 10 MARS 2026 PORTANT PROTECTION DES DONNEES A CARACTERE PERSONNEL,Agence de Regulation et de Controle des Telecommunications (ARCT),2026-03-18,2,"same event as the baseline - the ARCT announcement page is the publication of the law already staged as the baseline, and carries a 114-character notice only",gov-a
gov.protect--national-data-protection-readiness,https://senat.bi/atelier-de-renforcement-de-capacites-des-senateurs-des-cadres-du-senat-et-du-personnel-des-unites-senatoriales-provinciales-sur-la-digitalisation-de-le-senat/,Atelier de renforcement de capacites des Senateurs sur la digitalisation de l'E-SENAT,Senat du Burundi,2026-06-25,2,off-indicator - an e-Senate digitalisation capacity workshop at which data protection training was requested; taking it would have been padding to the cap,gov-a
gov.protect--national-data-protection-readiness,https://au.int/sites/default/files/treaties/29560-sl-AFRICAN_UNION_CONVENTION_ON_CYBER_SECURITY_AND_PERSONAL_DATA_PROTECTION.pdf,AFRICAN UNION CONVENTION ON CYBER SECURITY AND PERSONAL DATA PROTECTION,African Union,2014-06-27,1,over cap - the AU treaty status table records Burundi as neither signatory nor party; a useful negative finding kept for a later widening,gov-a
gov.regional--shared-regional-infrastructure,https://arct.gov.bi/2023/10/06/decret-0-100-202-du-02-octobre-2023-portant-adhesion-du-burundi-au-reseau-unique-de-communication-au-sein-de-la-communaute-est-africaine/,DECRET 100/202 DU 02 OCTOBRE 2023 PORTANT ADHESION DU BURUNDI AU RESEAU UNIQUE DE COMMUNICATION AU SEIN DE LA COMMUNAUTE EST AFRICAINE,Gouvernement du Burundi,2023-10-02,1,"over cap - the constitutive act of Burundi's EAC One Network Area accession, a roaming arrangement rather than shared infrastructure; kept for a later widening",gov-a
gov.regional--shared-regional-infrastructure,https://documents1.worldbank.org/curated/en/528771468002165855/pdf/RCIP0Project0I1ocument0II0150Feb007.pdf,Regional Communications Infrastructure Program (RCIP),World Bank Group,2007-02-12,1,over cap - the 2007 founding regional project document; superseded as a statement of standing by the ARCT indicators report,gov-a
gov.regional--shared-regional-infrastructure,https://au-pida.org/prospectus/project.php?id=17,Development of Data Centre Infrastructures Underpinning the Digital Economy - PIDA Investment Prospectus,AUDA-NEPAD,2023-09-11,1,"over cap - a proposed regional data centre programme at definition stage, not an operational arrangement",gov-a
gov.regional--shared-regional-infrastructure,https://developingtelecoms.com/telecom-events-overview/mwc-barcelona-2026/20409-seacom-launches-new-terrestrial-route-in-east-africa.html,Seacom launches new terrestrial route in East Africa,Developing Telecoms,2026-06-18,2,"off-indicator - a Nairobi-Kampala route commissioned by a private operator, with Burundi named only as onward relevance; no Burundian party or commitment",gov-a
gov.standards--national-interoperability-standards,https://extranet.who.int/countryplanningcycles/sites/default/files/public_file_rep/BDI_Burundi_National-plan-development-digital-health_2020-2024.pdf,Plan National de Developpement de l'Informatique de Sante 2020-2024,Ministere de la Sante Publique et de la Lutte contre le SIDA (MSPLS),2020-01-01,1,"over cap - the strongest sector-specific technical framework, specifying a national patient identifier, REST APIs, XML, HL7, DICOM and DHIS2 integration; kept for a later widening",gov-a
gov.standards--national-interoperability-standards,https://www.uneca.org/eca-events/sites/default/files/resources/documents/TICID/burundi-national-data-governance-strategy/summary_of_stakeholder_engagement_workshop_mbaye_coulibaly.pdf,Atelier d'engagement des parties prenantes - Restitution et Focus groups,"UNECA, Burundi National Data Governance Strategy",2025-04-18,1,"over cap - the clearest recent statement of the absence of interoperability standards, data-sharing protocols, an open data portal and a centralised metadata system; kept for a later widening",gov-a
