unit,row_id,section,subject,name,status,published,position_start,position_end,sources
XCA,XCA-dpi.pay-cemac-payment-services-regulation,Shared systems and infrastructure,dpi.pay,CEMAC Regulation 04/18 on payment services,Under review,2026-06-17,Not held,"Regulation 04/18 remains in force and a draft 2026 replacement is under consideration, envisaged to enter into force on 1 January 2027: mandatory strong authentication, a reversed burden of proof on fraud disputes, a protected fund-safeguarding account for payment institutions, market opening to fintechs and aggregators, and a twelve-month regulatory sandbox",2026-06-17-cemac-reforme-reglement-services-paiement-2026|2018-12-21-reglement-cemac-04-18-services-de-paiement|2018-12-21-cemac-reglement-04-18-services-paiement
XCA,XCA-infra.connect-car-south-sudan-link,Shared systems and infrastructure,infra.connect,Central African Republic interconnection through South Sudan,Planned,2026-05-25,Not held,Announced to reduce dependence on fragile regional networks and improve access to international capacity (2026-05),2026-05-25-south-sudan-internet-interconnection-mtn-africabusinessinsight
XCA,XCA-dpi.pay-gimacpay,Shared systems and infrastructure,dpi.pay,GIMACPAY interoperability platform,Implemented,2020-07-10,Not held,"The community's converged card, mobile and money-transfer interoperability platform, operated across the six member states by the regional interbank grouping and carrying 79 participants on the operator's own description",2020-07-10-beac-gimacpay-systeme-monetique-interbancaire
XCA,XCA-data.statistics-itu-ict-benchmarking,Shared systems and infrastructure,data.statistics,ICT benchmarking across Central Africa,Implemented,2021-01-01,Not held,Funded to benchmark ICTs across the zone's telecommunications regulators and national statistics offices (2021),2021-01-01-itu-reg-ict-benchmarking-cafrica-2021-benchmarking-of-icts-in-central-africa
XCA,XCA-infra.connect-nigeria-equatorial-guinea-cable,Shared systems and infrastructure,infra.connect,Nigeria-Equatorial Guinea subsea cable,Planned,2026-02-24,Not held,Signed to expand broadband capacity and regional cybersecurity between West and Central Africa (2026-02),"2026-02-24 Nigeria, Equatorial Guinea subsea cable strengthens connectivity"
XCA,XCA-dpi.registry-birth-registration-support,Shared systems and infrastructure,dpi.registry,Regional support for birth registration,Implemented,2025-08-12,Not held,The Francophonie organisation restated continuing support for advancing birth registration across Central Africa (2025-08),"2025-08-12 La Francophonie supports birth registration efforts across Central Africa, Madagascar"
XEA,XEA-include.divides-regional-access-gap,Capacity and inclusion,include.divides,Regional digital access gap,Implemented,2026-05-07,Not held,"Both regional bodies state that gaps in internet access, digital awareness and technological inclusion continue to threaten a connected regional market (2026-05)",2026-05-07-digital-divide-persists-east-africa-tech-integration
XEA,XEA-finance.new-data-centre-connectivity-financing,Finance,finance.new,"East Africa data-centre and connectivity financing (EIB/AXIAN, RMB/Wingu Africa)",Implemented,2025-01-01,Baseline not held,"Rand Merchant Bank backed a Wingu Africa data-centre expansion across Ethiopia, Djibouti and Tanzania; the European Investment Bank granted AXIAN Telecom financing for 4G/5G rollout reaching Tanzania (and Madagascar); AXIAN separately pledged 4G expansion investment under the Partner2Connect initiative reaching Tanzania (and Comoros and Madagascar). Deal values and completion dates for the XEA-relevant legs specifically are not broken out in the reports held",2025-01-01-rand-merchant-bank-wingu-africa-2025-data-centres-east-africa-bw03|2025-01-01-eib-axian-telecom-2025-4g-5g-madagascar-tanzania-bw03|2025-01-01-axian-telecom-xea-2025-partner2connect-4g-pledge-bw03
XEA,XEA-gov.regional-eac-rdi-protocol,Institutions and mandates,gov.regional,EAC Protocol on Regional Digital Integration,In development,2025-01-21,Not held,Before partner-state legislatures: Burundi's communications minister told senators in January 2025 that adopting the protocol is crucial to the country's ICT infrastructure (2025-01),2025-01-21-burundi-embraces-eac-digital-integration-ict-growth
XEA,XEA-gov.regional-igad-cyber-harmonisation,Institutions and mandates,gov.regional,Harmonisation of cybersecurity legal frameworks,In development,2024-05-01,No account held,"A commissioned comparative study and recommendations to harmonise cybersecurity, cybercrime, data protection, digital identity, e-commerce and digital-authentication law across member states",2024-05-01-igad-cybersecurity-legal-harmonisation-tor
XEA,XEA-tech.ai-cipit-ai-policy-outlook,Instruments and harmonisation,tech.ai,East African AI Policy Outlook Report (CIPIT),,2026-07-30,Baseline not held,"CIPIT's four-country baseline, deliberately without a ranking, splits its sample two ways: Kenya and Rwanda have adopted national AI instruments and are building coordination around them, while Tanzania and Uganda are still developing strategies off existing digital and data-protection frameworks",2026-07-30-cipit-east-african-ai-policy-outlook-report
XEA,XEA-tech.ai-higher-education-quality-under-ai,Instruments and harmonisation,tech.ai,Regional higher-education quality assurance under AI,Planned,2026-09-07,Not previously held by this base,"The 15th annual East African higher education quality assurance forum met in Kigali on 7 September 2026, bringing together higher education regulators and institutions from across the region to consider whether today's degrees prepare graduates for tomorrow's labour market; the host country's education minister told it the region must rethink how it defines and assures quality as artificial intelligence changes how knowledge is produced, taught and applied.",2026-09-07-ktpress-east-africa-universities-ai-degree-quality-assurance
XEA,XEA-gov.protect-surveillance-spyware-pattern,Instruments and harmonisation,gov.protect,Surveillance and spyware use against civil society (East and Southern Africa),,2025-06-13,Baseline not held,Civil-society organisation Unwanted Witness documented a pattern of surveillance threats — including spyware — used against civil society across East and Southern Africa; no government response or independently verified incident count is held,2025-06-13-unwanted-witness-surveillance-spyware-report-launch
XEA,XEA-data.statistics-eaco-communications-statistics-report,Shared systems and infrastructure,data.statistics,EACO Regional Communications Sector Statistics Report,,2026-08-03,Baseline not held,"EACO's first regulator-submitted dataset covering all seven member states records 334.69 million active mobile subscriptions in 2025 and mobile money value up 19.6% across the five reporting countries; DRC and South Sudan reported no transaction values at all, and every mobile-money figure is presented in US dollars though EACO's own stated methodology is local currency, with no exchange rate, conversion date or basis given",2026-08-03-eaco-regional-communications-sector-statistics-report-2025
XEA,XEA-infra.store-regional-data-centre-market,Shared systems and infrastructure,infra.store,East African data-centre market,,2025-05-01,Not held in the base,Assessed in a regional market brief prepared for donor and investment-facility partners (2025-05),2025-05-01-east-africa-data-center-markets-brief-xalam
XEA,XEA-dpi.govtech-gtmi-benchmarking,Shared systems and infrastructure,dpi.govtech,GovTech Maturity Index 2025 — East African benchmarking (World Bank),,2026-01-26,Baseline not held,"The World Bank's 2025 GovTech Maturity Index placed Tanzania in Group A ('Extensive') alongside Kenya, Rwanda, Uganda and Egypt, the index now weighting interoperability and adoption over launched portals — working as peer pressure across East Africa's digital states",2026-01-26 Tanzania's GovTech success raises bar for East Africa's digital states
XEA,XEA-infra.cybersec-igad-cyber-exercise,Shared systems and infrastructure,infra.cybersec,IGAD regional cybersecurity exercise,Implemented,2026-07-09,Not held,"Run across the bloc, with one national computer emergency response team singled out for its performance (2026-07)",2026-07-09-anc-dj-cert-igad-cyber-exercise-lanation
XEA,XEA-dpi.mis-impulse-newborn-data-study,Shared systems and infrastructure,dpi.mis,IMPULSE study — newborn-data electronic health information systems,,2025-12-01,Baseline not held,"The IMPULSE study examined the functionalities of electronic routine health information systems related to newborn data across Uganda, Ethiopia, Tanzania and the Central African Republic; findings are the study's own and no follow-up policy response is on file",2025-12-01-impulse-erhis-newborn-data-functionalities
XEA,XEA-dpi.id-mutual-recognition-of-national-ids,Shared systems and infrastructure,dpi.id,Mutual recognition of national identity documents,Planned,2018-08-01,Not held,"A 2018 study for the regional bloc set out a four-milestone architecture for regional identity interoperability, recording that South Sudan had issued more than a million identity cards by then (2018-08)",2018-08-01-study-of-options-mutual-recognition-national-ids-eac
XNA,XNA-gov.regional-ai-forward-summit-2026,Institutions and mandates,gov.regional,AI Forward Summit 2026,Implemented,2026-09-09,Not previously held by this base,"A regional artificial-intelligence summit opened at Yasmine Hammamet, Tunisia, on 9 September 2026, organised by the Arab information and communication technologies organisation with Tunisia's communication technologies ministry under the theme 'Shaping the future of AI: from vision to value'. A secretary of state told the opening that the summit has become an important forum for dialogue on the future of AI in Arab countries and on making the technological revolution a lever for development, cooperation and peace; the Arab League secretary-general's participation was presented as a commitment to joint Arab action.",2026-09-09-radionationale-ai-forward-summit-tunis-ouverture
XNA,XNA-infra.connect-algeria-5g,Shared systems and infrastructure,infra.connect,Algerian 5G rollout,Implemented,2025-12-08,Not held,Launched on USD 492 million of licences awarded to the three mobile operators (2025-12),2025-12-08-mobilis-djezzy-ooredoo-492m-5g-rollout--itweb|2025-12-05-algeria-launches-5g-rollout--connectingafrica
XSA,XSA-capacity.research-research-and-development-spending,Capacity and inclusion,capacity.research,Research and development spending against the regional target,,2026-08-12,,"No member state has reached the regional target of 1% of GDP, or the continental target of 1.5% (2026-08)",2026-08-12-sadc-executive-secretary-remarks-council-of-ministers-durban
XSA,XSA-finance.new-uk-science-and-technology-accelerator,Finance,finance.new,UK science and technology accelerator programme,Planned,2026-08-11,,"A three-year programme of up to GBP2.5m out to expressions of interest, covering artificial intelligence and emerging technologies and digital access and inclusion alongside climate, energy, health and space, with a primary focus on South Africa and a first-year focus on Zimbabwe and Zambia",2026-08-11-uk-fcdo-xsa-2026-sta-s|2026-08-11-fcdo-sta-s-southern-africa-programme
XSA,XSA-gov.regional-crasa,Institutions and mandates,gov.regional,CRASA (Communications Regulators Association of Southern Africa),Implemented,2026-09-02,Not held,"The association opened its 2026/27 financial year with the first meeting of its Finance, Risk and Audit Committee, a two-day hybrid session in Maseru on 20 and 21 August 2026 hosted by the Lesotho Communications Authority, at which the committee and the secretariat reviewed financial and audit matters and assessed institutional risk across the association's regional programmes. No budget, audit opinion, risk register or programme list reaches the base from it. Its consumer and stakeholder policy committee held the financial year's first ordinary in-person meeting at Gaborone from 2 to 4 September 2026 to advance the 2026/27 workplan (2026-09)",2026-09-02-crasa-cspc-committee-meeting-gaborone|2026-08-23-crasa-finance-risk-audit-committee-lesotho
XSA,XSA-gov.regional-capital-market-integration-promotion,Institutions and mandates,gov.regional,Promotion of regional capital-market integration,Implemented,2026-09-09,Not previously held by this base,"The regional secretariat and the committee of member-state stock exchanges took part in an investment congress in Dubai from 7 to 9 September 2026, promoting the region as an integrated investment destination and regional capital-market integration as a catalyst for investment and industrialisation; the congress brings together governments, businesses, institutional investors, sovereign wealth funds and development finance institutions.",2026-09-09-sadc-exchange-gateway-aim-congress-2026
XSA,XSA-gov.regional-sadc,Institutions and mandates,gov.regional,Southern African Development Community (SADC),Implemented,2026-08-18,Baseline not held,"Chaired by South Africa from the 46th Ordinary Summit at Durban on 17 August 2026, taking over from Zimbabwe, with digital security named among the incoming chair's strategic priorities alongside energy, water, industrialisation and regional infrastructure, and accelerated implementation of SADC Vision 2050 and the Regional Indicative Strategic Development Plan stated as the frame",2026-08-18-sadc-ramaphosa-assumes-chairpersonship
XSA,XSA-tech.ai-sadc-ai-position,Instruments and harmonisation,tech.ai,SADC Regional Artificial Intelligence Strategy and Regulatory Framework,"In development, reported by a member state rather than by the Secretariat",2026-08-13,,"Under development according to Malawi's ICT ministry (2026-06); no draft, adoption date or Secretariat document held; a regional workshop at Harare on data governance in the artificial-intelligence age, convened with the World Bank, a continental alliance and a United Nations agency, set out to harmonise member states' data policy for readiness",2026-08-13-sadc-puts-spotlight-on-ai-data-governance|2026-06-26-itweb-sadc-regional-ai-strategy-regulatory-framework
XSA,XSA-dpi.exchange-one-stop-border-posts,Shared systems and infrastructure,dpi.exchange,One-stop border posts and digitised border systems,In development,2026-08-18,,"A chairship priority tying one-stop border posts to the corridor trip monitoring system that integrates transport, immigration and customs data, to online permitting and operator accreditation, to one member's electronic visa and travel authorisation, and to a proposed regional tourism visa, with progress to be measured in border-crossing times reduced rather than agreements signed",2026-08-18-sanews-sadc-borders-gateways-digital-systems
XSA,XSA-infra.connect-regional-connectivity-indicators,Shared systems and infrastructure,infra.connect,Regional connectivity indicators,,2026-08-12,,"Internet penetration 57.2%, 4G population coverage 79.2% and mobile penetration 95.2%, the last already past the regional target set for 2030 (2026-08)",2026-08-12-sadc-executive-secretary-remarks-council-of-ministers-durban
XSA,XSA-dpi.exchange-sadc-aims,Shared systems and infrastructure,dpi.exchange,SADC Agricultural Information Management System,In development,2026-06-15,,"Member-state readiness under assessment with the FAO and the EU; no platform, membership or timetable held",2026-06-15-botswana-agricultural-data-integration-sadc-aims
XSA,XSA-infra.connect-sadc-satellite,Shared systems and infrastructure,infra.connect,SADC shared satellite,In development,2026-08-06,,"A technical submission on orbital positions filed with the ITU and the radiocommunication sector met to secure the slot, with a working group created to assess financing mechanisms and payment model; the project is stated to be at an early stage and no cost, launch date or operator is held (2026-08)",2026-08-06-sadc-harmoniza-posicao-conferencia-mundial-radiocomunicacoes
XWA,XWA-capacity.training-agrhymet-enabel-land-degradation-monitoring,Capacity and inclusion,capacity.training,AGRHYMET-ENABEL land-degradation monitoring capacity programme,Implemented,2025-11-23,,"A regional project run by the AGRHYMET regional centre with Belgian development funding across Burkina Faso, Mali, Niger and Senegal has trained 236 specialists in satellite-image interpretation and land-cover mapping, the Trends.Earth tool for assessing land degradation, the EX-ACT tool for soil and vegetation carbon estimation, and mobile data collection on KoboToolbox; the countries report better harmonisation of monitoring tools and methods, and the carbon accounting it enabled found the land-use sector substantially under-estimated in earlier nationally determined contributions",2025-11-23-agrhymet-cilss-cop30-degradation-terres-sequestration-carbone-enabel
XWA,XWA-capacity.training-regional-skills-programme,Capacity and inclusion,capacity.training,BCEAO/COFEB certifying programme in digital finance,Implemented,2026-08-18,Baseline not held,"In its fourth edition, run by the monetary union's central bank training centre with Luxembourg's House of Training-ATTF: four modules over about nine months and 84 hours, aimed at senior staff of credit institutions, e-money issuers and microfinance institutions, one candidate per institution, participation fees of FCFA 1.2m, an 80% pass mark per module and a final project defended before a jury at Dakar",2026-08-18-bceao-cofeb-parcours-certifiant-finance-digitale
XWA,XWA-capacity.training-epsg-factcheck,Capacity and inclusion,capacity.training,EU-ECOWAS EPSG support for fact-checking platforms,Implemented,2026-07-31,,"Two Nigerian organisations selected for in-kind technical support covering digital infrastructure, cybersecurity and verification systems, with training in AI, digital investigations and deepfake detection, and admission to a regional cross-border verification network; no amount, duration or start date is stated",2026-07-31-dnn-factcheck-bonews-eu-ecowas-epsg-support-guardian
XWA,XWA-geopol.china-external-partners,Coordination and collaboration,geopol.china,China-aid ECOWAS Headquarters Building,Implemented,2026-04-29,,"Handed over to the Commission, the second international-organisation office complex China has built in Africa; China describes cooperation extending into the digital economy and names no digital programme, figure or instrument, and the Commission's own release names no digital component",2026-04-29-china-aid-ecowas-headquarters-building-handover|2026-04-29-yu-dunhai-deepening-cooperation-china-ecowas-relations
XWA,XWA-tech.innovate-ecowas-startup-awards,Coordination and collaboration,tech.innovate,ECOWAS Startup Awards,Implemented,2026-08-18,Baseline not held,"A second edition launched by the Commission's private sector and industry directorate, offering scaling technology-led businesses managerial training, venture funding and cross-border expansion support within the continental free trade area; no prize fund, entry deadline, cohort size or outcome from the first edition is published",2026-08-18-ecowas-second-regional-startup-awards
XWA,XWA-finance.new-janngo-startup-fund,Finance,finance.new,Pooled equity investment in a pan-African start-up fund,Implemented,2026-08-09,Baseline not held,"EUR10.5m approved toward first close - EUR7m from the continental development bank and EUR3.5m from the European Union with the African, Caribbean and Pacific states - into a fund investing in agribusiness, financial services, energy, education and health, mainly in Francophone West Africa",2026-08-09-afdb-eu-oacps-janngo-startup-fund|2026-08-09-afdb-janngo-xwa-2026
XWA,XWA-gov.regional-roa-bn-backbone-managers-network,Institutions and mandates,gov.regional,West African Backbone Managers Network (ROA-BN),Implemented,2025-11-11,,"Operating, with its headquarters inaugurated at Kagbelen in Conakry on 10 November 2025 and the backbone managers of eight countries as members - Guinea, Burkina Faso, Cote d'Ivoire, Mali, Niger, Sierra Leone, Senegal and Ghana. Its stated mission is interconnection, the pooling of infrastructure and the harmonisation of digital policy between members; its president says the member countries are already interconnected and that the work now is redundancy, naming Mali's links to Cote d'Ivoire, Guinea and Senegal, alongside training for member operators' staff and the sale of transit capacity between them",2025-11-11-roa-bn-siege-conakry-backbones-ouest-africains
XWA,XWA-gov.legislate-cybercrime-statutes-and-the-press,Instruments and harmonisation,gov.legislate,Cybercrime statutes in the Sahel states,"Implemented, applied against journalists",2026-08-14,,"A press-freedom organisation reports the cybercrime statutes of Burkina Faso, Mali, Niger and Guinea being used to prosecute journalists, and calls for the repeal of vague public-order and human-dignity provisions",2026-08-14-sahel-mfwa-cybercrime-laws-press-freedom
XWA,XWA-gov.legislate-ecowas-electronic-transactions-act,Instruments and harmonisation,gov.legislate,ECOWAS Supplementary Act A/SA.2/01/10 on Electronic Transactions,Implemented,2010-02-16,Not held,"The community's own act on electronic transactions, adopted alongside the companion act on personal-data protection this ledger holds separately; the full text is now held",2010-02-16-ecowas-supplementary-act-electronic-transactions
XWA,XWA-gov.protect-african-data-authorities-seminar,Instruments and harmonisation,gov.protect,Seminar of African data-protection authorities,Implemented,2026-09-07,Not previously held by this base,"Senegal's personal data protection commission opened a sharing seminar in Dakar on Monday 7 September 2026, running to 10 September, bringing together several African and international data-protection authorities to strengthen cooperation between countries, share experience and promote responsible data governance against the demands of digital transformation and artificial intelligence.",2026-09-07-aps-cdp-seminaire-autorites-africaines-protection-donnees
XWA,XWA-dpi.mis-asrii-platform,Shared systems and infrastructure,dpi.mis,ASRII Digital Platform,In development,2026-08-09,,"Twenty core participants trained across the Commission's directorates with the Directorate of Research and Statistics named as single focal point; the platform is to replace manual collection with submission, validation, automated computation of integration scores and dissemination, and is to be used to evaluate member states' policy implementation and track commitments across sectors. No integration score has been published (2026-08)",2026-08-09-ecowas-asrii-digital-platform-training-concludes|2026-08-06-ecowas-asrii-digital-platform-training-begins
XWA,XWA-dpi.pay-bceao-papss-accession,Shared systems and infrastructure,dpi.pay,BCEAO accession to the Pan-African Payment and Settlement System,Planned,2026-07-28,,"A six-month pilot with more than 80 commercial banks is planned before any decision, to test conformity with the union's external-financial-relations rules",2026-07-28-cedeao-bceao-paiements-transfrontaliers
XWA,XWA-dpi.pay-bceao-oversight-instruction,Shared systems and infrastructure,dpi.pay,BCEAO Instruction 001-03-2021 on oversight of payment infrastructures,Implemented,2021-03-12,Not held,"Defines the central bank's governance and oversight role over financial market infrastructures, payment instruments and payment-service providers across the eight member states: classification of systemically important infrastructures, risk-based surveillance principles, reporting obligations, and the corrective measures and sanctions the bank may impose",2021-03-12-bceao-instruction-001-03-2021-surveillance-imf-paiement
XWA,XWA-infra.cybersec-central-bank-cyber-vigilance,Shared systems and infrastructure,infra.cybersec,Central bank supervisory position on bank cyber-risk,Implemented,2026-09-10,Not previously held by this base,"The regional central bank's Monetary Policy Committee, meeting in Dakar on 9 September 2026, found the union's banking sector fundamentals sound - bank liquidity near FCFA 7,000 billion, credit to the economy growing and a solvency ratio above the regulatory norm - while calling on banks to remain vigilant against cyberattacks.",2026-09-10-financialafrik-bceao-cybersecurite-banques-uemoa
XWA,XWA-infra.store-data-centre-capacity-gap,Shared systems and infrastructure,infra.store,Data-centre capacity gap,,2025-05-01,,"About 150MW to 200MW of new capacity — 30 or more large-scale facilities — needed to reach the capacity-to-population ratio of a moderately mature market such as Morocco, on a regional depth of 0.04MW per million people; as at early 2025 the region was the only one on the continent with no established or announced public cloud region from any of the world's five largest cloud providers",2025-05-01-west-africa-data-center-markets-brief
XWA,XWA-data.statistics-ecomac,Shared systems and infrastructure,data.statistics,ECOMAC (ECOWAS Multilateral Surveillance Mechanism database),Implemented,2007-12-15,Baseline not held,"The database of the bloc's multilateral surveillance mechanism, constituted by a statistical and computer protocol adopted by the Council of Ministers in December 2007: thirteen Excel tables on a quarterly update cadence with stated deadlines, and supervision divided between the monetary union's commission and central bank, the West African Monetary Agency and the West African Monetary Institute; no later amendment and no operational report is held",2007-12-15-ecowas-regulation-c-reg-30-12-07-ecomac
XWA,XWA-infra.cybersec-ecowas-cybercrime-directive,Shared systems and infrastructure,infra.cybersec,ECOWAS Directive C/DIR.1/08/11 on Fighting Cyber Crime,Implemented,2011-08-19,Not held,"The community's own cybercrime directive, the instrument the member states' national cybercrime statutes are made against; the full text is held, recovered by optical character recognition from an image-only scan",2011-08-19-ecowas-directive-cyber-crime
XWA,XWA-infra.cybersec-ecowas-isac,Shared systems and infrastructure,infra.cybersec,ECOWAS Information Sharing and Analysis Centre,Implemented,2026-08-09,,"Named by the Commission as established, as the region's threat-intelligence sharing platform; no founding instrument, membership, feed or published output is held (2026-08)",2026-08-09-ecowas-sim3-cybersecurity-auditor-training
XWA,XWA-dpi.pay-epss,Shared systems and infrastructure,dpi.pay,EPSS (ECOWAS Payment and Settlement System),In development,2026-07-28,,"Work is on where the platform's components will be hosted and on evaluating the central banks bidding to host them; no build, cost, timetable or legal instrument held",2026-07-28-cedeao-bceao-paiements-transfrontaliers
XWA,XWA-dpi.pay-gim-uemoa-switch,Shared systems and infrastructure,dpi.pay,GIM-UEMOA interbank switch,"Implemented, led on an interim basis",2026-08-12,,"The regional interbank electronic-payments switch is running under an interim chief executive, its previous director-general having left the post he held from March 2020",2026-08-12-financialafrik-gim-uemoa-dg-interim
XWA,XWA-dpi.pay-licensed-payment-institutions,Shared systems and infrastructure,dpi.pay,Payment institutions licensed in the monetary union,,2026-02-28,Baseline not held,"Thirty-one structures licensed as payment institutions across the union under the 2024 payment-services instruction, eleven of them in Senegal and nine in Cote d'Ivoire",2026-02-28-bceao-liste-etablissements-paiement-agrees-umoa
XWA,XWA-dpi.pay-uemoa-payment-systems-regulation,Shared systems and infrastructure,dpi.pay,UEMOA Regulation 15/2002/CM on payment systems,Implemented,2002-09-19,Not held,"The founding regional act for payment systems across the monetary union: it sets the legal basis for electronic signatures and certification, makes bank account access mandatory, promotes scriptural payment instruments, and governs netting, settlement finality and the cheque regime - the frame under which the union's later instant-payment and electronic-money instruments sit",2002-09-19-uemoa-reglement-15-2002-systemes-paiement
XWA,XWA-dpi.pay-union-electronic-money-position,Shared systems and infrastructure,dpi.pay,Union electronic money and large-microfinance position,,2026-09-01,Baseline not held,"Union-wide electronic-money outstandings rose 35.2 per cent to CFAF 1,923.2 billion at 31 December 2025 and electronic-money accounts reached 172.9 million, of which only 60.6 million, 35.1 per cent, were active. Senegal held 29.7 per cent of outstandings and 26.5 per cent of large-microfinance assets, leading on both, with CFAF 1,234.3 billion of microfinance assets ahead of Cote d'Ivoire's CFAF 1,226.7 billion and Burkina Faso's CFAF 889.4 billion, the three together holding 71.9 per cent of the union's large-institution assets; Senegal hosts 81 large institutions against Burkina Faso's 50, Togo's 47 and Cote d'Ivoire's 43",2026-09-01-digitalmag-uemoa-monnaie-electronique-senegal
XWA,XWA-dpi.pay-payment-services-instruction,Shared systems and infrastructure,dpi.pay,Union instruction on payment services,Implemented,2024-01-23,,"The union-wide regulatory instrument for payment services, made under the monetary union treaty and the uniform banking, microfinance and anti-money-laundering laws, governing payment services including electronic-money institutions and mobile payment services",2024-01-23-bfa-bceao-instruction-001-01-2024-services-paiement|2024-01-01-bceao-instruction-001-01-2024-services-de-paiement-umoa
XWA,XWA-infra.connect-wacs-repair-logistics,Shared systems and infrastructure,infra.connect,WACS cable repair logistics,"Implemented, depot far from the outage zone",2026-07-23,,"The cable's spare-fibre depot sits at Brest, far from the stretch between Senegal and Congo where most outages occur, so a repair ship had to sail from Portland to Abidjan",2026-07-23-update-on-wacs-2africa-outages
