indicator_id,kind,tier,instrument,adopting_body,adopted,status,provision,fixes,reference,url,vintage,notes
dpi.pay--governance-role-of-central-bank,instrument,continental,AfCFTA DTP Annex on Digital Payments; PAPSS,Assembly 37th Ordinary Session,Feb 2024,adopted; not in force,"Interoperability, consumer protection, AML/CFT; central banks as anchor partners",top,CPSS-IOSCO PFMI Responsibilities A–E; PAFI GP1–2,https://au.int/sites/default/files/treaties/44963-ax-ENG_Circulation_Digital_Trade_Compiled_Certified_Legal_Instruments_38thAssembly_Feb_2025_27_May2025.pdf,2024,No AU instrument names the central bank's role; Annex text not public
dpi.pay--g2p-functionality,system,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"""Digitize government-to-person payments""",top,PAFI GP7; Findex government-payment data,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.pay--revenue-collection,system,AU,"AfCFTA DTP Arts 10, 13; Malabo Art. 7",Assembly 37th Ordinary Session,Feb 2024,adopted; not in force,E-invoicing legal equivalence; paperless trading; electronic payment methods,top,"TADAT POA5 P5-2 (A–D); GTMI I-20, I-22",https://au.int/sites/default/files/treaties/44963-ax-ENG_Circulation_Digital_Trade_Compiled_Certified_Legal_Instruments_38thAssembly_Feb_2025_27_May2025.pdf,2024,
dpi.pay--b2b-and-b2g-functionality,system,AU,"AfCFTA DTP Arts 13, 15, 16",Assembly 37th Ordinary Session,Feb 2024,adopted; not in force,E-invoicing; payment-system interoperability; e-transactions framework,top,GTMI I-12 e-procurement,https://au.int/sites/default/files/treaties/44963-ax-ENG_Circulation_Digital_Trade_Compiled_Certified_Legal_Instruments_38thAssembly_Feb_2025_27_May2025.pdf,2024,
dpi.pay--p2p-p2g-and-p2b-functionality,system,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Interoperability of e-money and DFS; low-cost channels and agents,top,PAFI GP4–5,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.pay--population-uptake,measure,global,World Bank Global Findex,World Bank Global Findex 2025,2024,adopted,"Account ownership and digital-payment use (2024: SSA 58 %, global 79 %)",target (reference values),DTS enabling-environment objective only,https://www.worldbank.org/en/publication/globalfindex,2024,No numeric AU target for uptake; anchor is global with the DTS as context
dpi.pay--cross-border-functionality,system,AU,DTS; AfCFTA DTP Art. 15; PAPSS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Cross-border mobile money framework; single African payments area,top,"G20/FSB cross-border targets (cost ≤ 1 %, ≤ 3 % remittances by 2030)",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.pay--consumer-protection,instrument,AU,DTS; AfCFTA DTP Art. 27; Annex on Digital Payments,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Four dimensions: disclosure, responsible lending, data privacy, dispute resolution",rungs,G20/OECD HLPs on Financial Consumer Protection (2022),https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.registry--population-register,system,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"""Establish electronic government registers … starting with an electronic population registry""",top,UN P&R Vital Statistics Rev. 3 paras 97–110,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.registry--civil-register,system,AU,DTS; APAI-CRVS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Legal identity via civil registration; CRVS Decade 2017–2026; 100 % birth and 80 % death registration (SDG 17.19.2(b), restated in CRMC/6 working papers; not a CAMCR target — §6)",target,UN P&R Rev. 3 para 68,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.registry--address-register,system,global,"UPU ""Addressing the world"" (2012)","UPU ""Addressing the world – An address for everyone""",2012,adopted,National addressing policies; S42 standard,top,—,https://www.upu.int/UPU/media/upu/publications/whitePaperAddressingTheWorldEn.pdf,2012,"Nothing at AU, continental or REC tier"
dpi.registry--business-register,system,AU,DTS; AfCFTA DTP Art. 14,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"""eBusiness register""; digital identity for juridical persons",top,UNCITRAL Legislative Guide on Business Registries (2018) for rungs,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.registry--social-protection-register,system,AU,Protocol on Social Protection (2022) Art. 23,Assembly 35th Ordinary Session,6 Feb 2022,adopted; not in force,Social registries and MIS,top,World Bank 2017 typology,https://au.int/sites/default/files/treaties/42736-treaty-PROTOCOL_TO_THE_AFCHPR_ON_THE_RIGHTS_ON_CITIZEN_TO_SOCIAL_PROTECTION_AND_SECURITY_E.pdf,2022,Not in force
dpi.registry--electoral-register,system,AU,ACDEG Art. 17; AU EOM Guidelines (2002),Assembly,30 Jan 2007,in force,Independent electoral bodies; registration without discrimination; public access to registers,rungs,—,https://au.int/en/treaties/african-charter-democracy-elections-and-governance,2007,
dpi.registry--tax-register,system,global,TADAT Field Guide (2019) POA1 P1-1,TADAT Field Guide 2019,2019,adopted,"A–D: unique high-integrity TIN, centralised database, whole-of-taxpayer view",rungs,GTMI I-7,https://www.tadat.org/content/dam/tadat/en/assessments/TADAT%20Field%20Guide%202019%20-%20English.pdf,2019,ATAF publishes no standard; nothing at AU tier
dpi.registry--land-register,system,AU,AU Declaration on Land (2009); Framework and Guidelines on Land Policy,Assembly/AU/Decl.1(XIII) Rev.1,Jul 2009,adopted,"F&G §3.6.2 registration and tracking of land rights through ""computerized Land Information Systems""; the 2009 Declaration has no registration paragraph; DTS names a ""Land Use register""",top,UN-GGIM FELA (2020); ISO 19152 LADM,https://faolex.fao.org/docs/pdf/au168483.pdf,2009,F&G §3.6.2 and its definition of a land information system (verified)
dpi.mis--health,system,continental,Africa CDC Digital Transformation Strategy (2023); HIE Guidelines,Africa CDC Digital Transformation Strategy,6 Mar 2023,adopted,Strengthen public health systems; HealthConnekt Africa; integrated surveillance,top,WHO GSDH SO2,https://africacdc.org/download/digital-transformation-strategy/,2023,
dpi.mis--education,system,AU,AU Digital Education Strategy (2022),AUC-ESTI,Sep 2022,adopted,EMIS 1.0 → 2.0,rungs,UIS/GPE 2020,https://au.int/sites/default/files/documents/42416-doc-1._DES_EN_-_2022_09_14.pdf,2022,"not verified (AU Digital Education Strategy and Implementation Plan (DES, 2023–2028)): adopting organ not verified: no Executive Council decision names it, §6; EU-funded"
dpi.mis--social-protection,system,AU,"Protocol on Social Protection (2022) Arts 23, 25",Assembly 35th Ordinary Session,6 Feb 2022,adopted; not in force,MIS; data management,top,GTMI I-11,https://au.int/sites/default/files/treaties/42736-treaty-PROTOCOL_TO_THE_AFCHPR_ON_THE_RIGHTS_ON_CITIZEN_TO_SOCIAL_PROTECTION_AND_SECURITY_E.pdf,2022,
dpi.mis--justice,system,AU,ACHPR Fair Trial Principles (2003),ACHPR,2003,adopted,"Systems for recording proceedings, storing information, public access",top,—,https://hrlibrary.umn.edu/instree/AfricanPrinciples2005.html,2003,not verified: Weak anchor; no e-justice instrument at any tier; section letter not verified
dpi.mis--tax,system,global,"TADAT (2019) POA1, POA4, POA5",TADAT Field Guide 2019,2019,adopted,"E-filing, e-payment, registration integrity (A–D)",rungs,"GTMI I-7, I-21",https://www.tadat.org/content/dam/tadat/en/assessments/TADAT%20Field%20Guide%202019%20-%20English.pdf,2019,Nothing at AU tier
dpi.mis--customs,system,AU,AfCFTA Protocol on Trade in Goods Annexes 3 and 4,Kigali,Mar 2018,in force,Customs automation; single window; risk management; e-payment,top,"WCO Revised Kyoto Convention ch. 7; GTMI I-8, I-23",https://www.tralac.org/documents/resources/factsheets/4388-afcfta-agreement-annexes-customs-and-border-management-july-2021/file.html,2018,not verified: Article numbers not verified
dpi.mis--land,system,AU,AU Declaration on Land (2009); Framework and Guidelines on Land Policy,Assembly/AU/Decl.1(XIII) Rev.1,Jul 2009,adopted,As land register: F&G §3.6.2 computerised Land Information Systems for land rights delivery,top,UN-GGIM FELA,https://faolex.fao.org/docs/pdf/au168483.pdf,2009,Weak anchor
dpi.govtech--e-government-services,system,AU,DTS; Public Service Charter Art. 8,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"""single digital gateway""; G2B, G2G, G2C services; modern technologies in service delivery",top,"UN EGDI bands; GTMI groups A–D, I-19",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
digital.localgov--ict-infrastructure-for-local-government,system,AU,Decentralisation Charter (2014) Art. 16,Assembly,27 Jun 2014,adopted; not in force,"ICT ""made accessible and effectively used"" for local governance; technological resources for local governments",top,UN LOSI (Local Online Services Index),https://au.int/en/treaties/african-charter-values-and-principles-decentralisation-local-governance-and-local,2014,DTS has no local-government provision
digital.localgov--digitalisation-of-local-government-records,system,AU,DTS; Decentralisation Charter Art. 16,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Digitise government registers; reuse core registers,top,UN EGDI; ISO 15489-1,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
digital.rural--digitalisation-of-rural-health-clinics,system,continental,Africa CDC DTS (2023); PHC Digitalisation Framework (2025–26),Africa CDC Digital Transformation Strategy,6 Mar 2023,adopted,"HealthConnekt: 100,000 facilities connected and 2 m CHWs equipped by 2030; 90 % digitally enabled PHC by 2035",target,WHO GSDH; GDC para 11,https://africacdc.org/download/digital-transformation-strategy/,2023,"PHC framework is a Member States' statement, not an organ decision"
digital.rural--digitalisation-of-rural-primary-schools,system,AU,AU Digital Education Strategy (2022),AUC-ESTI,Sep 2022,adopted,"Devices for 20 % of students and 50 % of teachers by 2027, a third and all by 2030; 50 % of institutions connected; rural and remote schools emphasised; five maturity categories",target + rungs,"ITU UMC 2030: 100 % of schools connected, 20 Mb/s",https://au.int/sites/default/files/documents/42416-doc-1._DES_EN_-_2022_09_14.pdf,2022,"not verified (AU Digital Education Strategy and Implementation Plan (DES, 2023–2028)): adopting organ not verified: no Executive Council decision names it, §6; EU-funded"
digital.rural--digitalisation-of-rural-registry-offices,system,AU,DTS; APAI-CRVS / CAMCR; Kampala Convention Art. 13,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,99.9 % legal identity by 2030; register all vital events; IDP documentation without unreasonable conditions,target,SDG 16.9; UN LIA,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,No norm on rural office digitisation per se
digital.rural--digitalisation-of-rural-police-stations,system,corpus,(AFRIPOL Statute 2017 — national level only),Corpus,,Corpus-defined,AFSECOM connects national police agencies; nothing sub-national,—,"INTERPOL I-24/7 (tool, not norm)",,,"Searched AFRIPOL, AI Strategy, DTS, ACDEG; nothing at any tier addresses local stations"
tech.ai--use-of-ai-in-government-administration,system,AU,Continental AI Strategy,2nd Extraordinary STC-CICT,Jun 2024,adopted,"""Promoting the adoption of AI in the public sector"": use cases, capacity, procurement",top,UNESCO AI Rec.; Oxford Insights readiness index,https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,
tech.ai--use-of-ai-in-sectoral-management-information-systems,system,AU,Continental AI Strategy; DPF §5.3,2nd Extraordinary STC-CICT,Jun 2024,adopted,"""Accelerate the adoption of AI in the core sectors"" (agriculture, education, health, climate)",top,WHO AI-for-health guidance (2021),https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,
tech.ai--development-of-national-regional-ai-systems,system,AU,Continental AI Strategy; Smart Africa AI Council (2025),2nd Extraordinary STC-CICT,Jun 2024,adopted,"Compute, datasets, talent; ""Local First""; self-managed data and AI",top,GDC para 17; UNESCO RAM,https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,No compute target
tech.ai--control-of-ai-abuse,instrument,AU,Continental AI Strategy focus area 2; DTP Annex on Emerging Technologies,2nd Extraordinary STC-CICT,Jun 2024,adopted,Risk-based regulation; independent oversight institutions; regional AI Ethics Board; safety standards,top,UNESCO AI Rec. (2021),https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,
tech.industry--national-capacity-in-dt-related-production,measure,AU,DTS Digital Industry pillar; STISA-2034,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Assembly and manufacturing plants; device ≤ USD 100 made in Africa; ≥ 30 % of content developed and hosted in Africa; R&D 1 % of GDP (continental target cited in the STISA-2034 Implementation Plan),target,UNIDO CIP index; UNCTAD Digital Economy Report,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,"STISA-2034 itself sets no R&D share (§6.1.1 only ""increase""); its GDP-share targets are digital services 6 % and high-tech 20 % of manufactured exports (§6.1.2). The 1 % is the Implementation Plan's"
tech.innovate--technology-hubs,system,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,A technology park and incubation hub in each region; local innovation centres,top,WIPO GII; Briter Bridges hub counts,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,"The DTS target is regional, not national"
tech.innovate--tech-startup-ecosystem,instrument,AU,DTS; AU Startup Model Law Framework (2024),EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,National start-up strategies and laws; innovation fund; angel networks; seven policy areas,rungs,WIPO GII,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,"Framework is AUC guidance, not an organ decision"
capacity.literacy--digital-literacy-civil-service,measure,AU,Public Service Charter Art. 21; DPF,Assembly,31 Jan 2011,in force,Systematic capacity development; data skills in state institutions,top,GTMI Enablers Index,https://au.int/sites/default/files/treaties/36386-treaty-charter_on_the_principles_of_public_service_and_administration.pdf,2011,No civil-service literacy target at any tier
capacity.literacy--digital-literacy-general-population,measure,AU,DTS; Agenda 2063 STYIP,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,300 m Africans a year in e-skills by 2025; 80 % of primary completers digitally proficient by 2033,target,"ITU UMC 2030: > 70 % basic, > 50 % intermediate skills (15+). Dataset: ITU DataHub SDG 4.4.1",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
capacity.training--dt-related-training-in-secondary-education,measure,AU,AU Digital Education Strategy; CESA 26-35,AUC-ESTI,Sep 2022,adopted,Digital literacy and coding framework for all students; 50 % of institutions connected; device targets 2027/2030,target,ITU UMC 2030 schools; UIS 4.a.1,https://au.int/sites/default/files/documents/42416-doc-1._DES_EN_-_2022_09_14.pdf,2022,"not verified (AU Digital Education Strategy and Implementation Plan (DES, 2023–2028)): adopting organ not verified: no Executive Council decision names it, §6; EU-funded"
capacity.training--dt-related-university-facilities-and-qualifications,measure,AU,AU Digital Education Strategy; Agenda 2063 STYIP,AUC-ESTI,Sep 2022,adopted,NRENs in all countries by 2027; ≥ 40 % of graduates in STEM by 2033; tertiary NER 50 %,target,UIS tertiary ICT graduates; AfricaConnect NREN status,https://au.int/sites/default/files/documents/42416-doc-1._DES_EN_-_2022_09_14.pdf,2022,"not verified (AU Digital Education Strategy and Implementation Plan (DES, 2023–2028)): adopting organ not verified: no Executive Council decision names it, §6; EU-funded"
capacity.training--graduates-entering-dt-ecosystem,measure,AU,Agenda 2063 STYIP; Continental TVET Strategy,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,≥ 40 % STEM graduates; TVET enrolment + 60 %; youth unemployment 14 % by 2033,target,UIS; ILOSTAT ICT employment,https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,"No target for the ""entering"" step"
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,instrument,AU,STISA-2034; Agenda 2063 STYIP,STC-EST-5 ministers,Nov 2024,adopted,R&D ≥ 1 % of GDP (STISA-2034 Implementation Plan; not in the strategy); 10 % of global research output by 2033,target (proxy),UIS R&D; On Think Tanks directory,https://au.int/sites/default/files/documents/45087-doc-AU_STISA_2025-2034_Strategy_ENGLISH.pdf,2024,Neither instrument counts think tanks
include.access--citizen-feedback-portals,system,AU,Decentralisation Charter Art. 13; ACHPR Principle 29; ACDEG,Assembly,27 Jun 2014,adopted; not in force,ICT used so that residents provide feedback to elected representatives; proactive publication,top,UN E-Participation Index: e-information → e-consultation → e-decision-making,https://au.int/en/treaties/african-charter-values-and-principles-decentralisation-local-governance-and-local,2014,The EPI's three levels are the rungs
include.access--citizen-participation-in-policy,instrument,AU,"ACDEG Arts 3(7), 30, 31; Decentralisation Charter Art. 12; Maputo Art. 9",Assembly,30 Jan 2007,in force,Citizen participation in the development process; special-needs groups; local participation,top,UN EPI,https://au.int/en/treaties/african-charter-democracy-elections-and-governance,2007,
include.access--gender-equity,measure,AU,"Maputo Protocol Arts 12, 18, 19; DTS; African Digital Compact",Assembly,11 Jul 2003,in force,Women's education in science and technology; access to and control of information technologies; DTS STEAM skills for women and girls,top,"ITU UMC 2030 gender parity; GSMA Mobile Gender Gap (SSA gap 26 %, 2026)",https://au.int/sites/default/files/treaties/37077-treaty-charter_on_rights_of_women_in_africa.pdf,2003,The number is the ITU's
include.access--inclusion-of-persons-with-disabilities,instrument,AU,"AU Disability Protocol (2018, in force 2024) Arts 23, 24; DTS",Assembly,Jan 2018,in force,Public information in accessible formats and technologies; affordable devices,top,"UN CRPD Arts 9, 21; WCAG 2.2",https://au.int/en/treaties/protocol-african-charter-human-and-peoples-rights-rights-persons-disabilities-africa,2018,
include.access--inclusion-of-refugees-and-idps,instrument,AU,Kampala Convention Art. 13; OAU Refugee Convention; ACHPR Principle 7,Assembly,22–23 Oct 2009,in force,IDP registries and documents; marginalised groups incl. refugees and IDPs,top,GDC para 13(c); UNHCR Digital Inclusion,https://au.int/sites/default/files/treaties/36846-treaty-kampala_convention.pdf,2009,DTS and the Compact do not mention refugees
include.divides--bridging-of-digital-divides,measure,AU,DTS; ACHPR Principle 37; African Digital Compact,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Universal access ≥ 6 Mb/s at ≤ 1 cent/MB by 2030; ""universal, equitable, affordable and meaningful access""",target,"ITU UMC 2030 (100 % use, households, < 2 % GNI)",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
data.statistics--national-strategy-for-development-of-statistics,instrument,AU,SHaSA 2 SO 3.1; African Charter on Statistics,Assembly,Jan 2018,adopted,NSDS development and implementation aligned to SHaSA,top,PARIS21 NSDS Guidelines; World Bank SPI infrastructure pillar,https://au.int/sites/default/files/documents/34580-doc-34577-doc-shasa_ii_strategy_eng_full_web.pdf,2018,
data.statistics--censuses-and-surveys,instrument,AU,SHaSA 2 SO 1.1; Charter Art. 3,Assembly,Jan 2018,adopted,Coordination around census rounds; no frequency mandate,top,ECOSOC E/RES/2025/13: a census in 2025–2034 (2030 round),https://au.int/sites/default/files/documents/34580-doc-34577-doc-shasa_ii_strategy_eng_full_web.pdf,2018,The round rule is global
data.statistics--statistics-from-administrative-data,system,AU,SHaSA 2 SO 1.1; Charter Art. 3; DTS,Assembly,Jan 2018,adopted,Exploitation of administrative sources incl. civil registration,top,"UN Fundamental Principles, Principle 5; SPI sources pillar",https://au.int/sites/default/files/documents/34580-doc-34577-doc-shasa_ii_strategy_eng_full_web.pdf,2018,
data.open--use-of-open-data,system,AU,DPF; Africa Data Consensus (2015); Charter Art. 3,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,Open data standards; openness across the data value chain; statistics not made inaccessible,top,Open Data Charter principles; ODIN; Global Data Barometer,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,
data.satellite--agricultural-use-of-satellite-data,system,AU,African Space Strategy (2016); AU Digital Agriculture Strategy (2024),Assembly 26th Ordinary Session,31 Jan 2016,adopted,Space-derived products used for decision-making; remote sensing for monitoring and forecasting,top,Digital Earth Africa; GEOGLAM,https://au.int/sites/default/files/documents/37434-doc-au_space_strategy_isbn-electronic.pdf,2016,"DAS endorsed EX.CL/Dec.1234(XLIV) para 32(iii), Feb 2024"
data.satellite--meteorological-use-of-satellite-data,system,AU,Integrated African Strategy on Meteorology 2021–2030 (AMCOMET),Integrated African Strategy on Meteorology 2021–2030,Jan 2013,adopted,Sustained access to MTG and polar-orbiting satellites; WIGOS and GBON; 100 % NMHS ISO 9001; ≥ 5 % of NMHS budget to research,target,WMO Early Warnings for All (2027),https://amcomet.wmo.int/sites/default/files/2024-11/wmo_amcomet_strategy_en_0.pdf,2013,Original strategy endorsed EX.CL/Dec.744(XXII) 2013; revision mandated 2019
geopol.sovereignty--digital-sovereignty,instrument,AU,"DPF (2022); Continental AI Strategy (2024); AU Interop. Framework Principle 7; DTS; Malabo Art. 14; AfCFTA DTP Arts 20, 22",Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,"DPF: sovereignty distinct from localisation, localisation ""for certain categories of data"" only, ""politically neutral partnerships … national ownership"", cloud interoperability and portability ""so that data subjects are not locked into a single provider""; AI Strategy ""Local First"", ""self-manage their data and AI""; Interop. Framework ""prevent vendor and technology lock-in""; DTS ≥ 30 % of content hosted in Africa by 2030; Malabo adequacy; DTP no forced location of computing facilities subject to public-policy exceptions",rungs (DPF's categories → portability → continental mechanism) + target (30 % hosted),UN DPI Safeguards Framework (2024); GDC para 17 open standards and digital public goods,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,"the subject slug `geopol.sovereignty` does not exist in `lookups/taxonomy.csv`, which is OSINT's vocabulary; it travels to OSINT as a patch before the frame row can be minted (`adding-an-indicator.md` §2). The 260 rows already mapped to the five retired indicators across the 54 countries are the evidence base. The rubric must not reward localisation as such: the DPF separates sovereignty from localisation, and the DTP forbids forced location of computing facilities, so the top of the ladder is control with portability, not walls"
