slug,display,basis,sources
egyptian-exchange,Egyptian Exchange,full,1
egyptian-journalists-syndicate,Journalists Syndicate,partial,1
egyptian-knowledge-bank,Egyptian Knowledge Bank,full,1
egyptian-survey-authority,Egyptian Survey Authority,full,1
egyptian-tax-authority,Egyptian Tax Authority,full,1
eha-egypt,Egypt Healthcare Authority,acronym,1
eib,European Investment Bank,acronym,7
eiti-liberia,Liberia EITI,full,1
ekumfi-district-assembly,Ekumfi District Assembly,full,1
elcome-sl,ELCOME SL Ltd,full,1
elecam,ELECAM,full,2
election-commission-of-india,India's Election Commission,full,1
elections-and-boundaries-commission-eswatini,Elections and Boundaries Commission,full,3
electoral-commission-eritrea,Electoral Commission Article,full,1
electoral-commission-ghana,Electoral Commission,full,3
electoral-commission-of-namibia,Electoral Commission of Namibia,full,3
electoral-commission-of-south-africa,Electoral Commission,full,3
electoral-commission-of-zambia,Electoral Commission of Zambia,full,10
electoral-commission-zambia,Electoral Commission of Zambia,full,1
electoral-reform-technical-committee-zambia,Electoral Reform Technical Committee,full,1
electricity-distribution-and-supply-authority,Electricity Distribution and Supply Authority,full,1
electricity-generation-and-transmission-company,Electricity Generation and Transmission Company,full,1
electronic-banking-services-sudan,Electronic Banking Services,full,1
electronic-government-division-zambia,Electronic Government Division,full,3
electronic-payments-association-of-zimbabwe,Electronic Payments,partial,1
electronic-services-council-south-sudan,Electronic Services Council,full,1
electronic-transactions-act-2019-namibia,Electronic Transactions Act,partial,3
electronic-transactions-act-mauritius,Electronic Transactions Act,full,1
electrum-payments,Electrum Payments,full,1
ellalink,EllaLink,full,4
elman-peace-centre,Elman Peace Centre,full,1
eloho-omame,Eloho Omame,full,1
emata,Emata,full,1
emata-ltd,Emata,full,1
emergency-response-rooms-sudan,Emergency Response Rooms,full,1
emergency-telecommunications-cluster,Emergency Telecommunications Cluster,full,3
emerging-markets-telecommunications-services-limited,Emerging Markets Telecommunications Services,full,1
emerson-education-institute,Emerson Education Institute,full,1
emery-assogba,Emery Assogba,full,1
emile-parfait-simb,Emile-Parfait-Simb-de-la,full,1
emma-theofelus,Emma Theofelus,full,8
employment-equity-commission-namibia,EMPLOYMENT EQUITY COMMISSION,full,1
empowering-districts-and-schools-with-data,Empowering Districts and Schools,partial,1
emptech,Emptech,full,1
emtel,Emtel,full,2
enabel,Enabel,full,9
enapp-angola,ENAPP,full,3
enastic,ENASTIC,full,3
enbic,ECOWAS National Biometric Identity Card,acronym,3
encore-drc,ENCORE,full,1
ende-angola,Empresa Nacional de Distribuição de Electricidade,acronym,1
endev,EnDev,full,1
enerca,ENERCA,full,4
energy-and-petroleum-regulatory-authority-kenya,Energy and Petroleum Regulatory Authority,full,4
energy-and-petroleum-tribunal-kenya,Energy and Petroleum Tribunal,full,1
energy-regulation-board-zambia,Energy Regulation Board,full,1
engage-project-kenya,ENGAGE Project,full,1
engim,ENGIM,full,1
engineers-for-a-sustainable-egypt,Engineers for A Sustainable Egypt,full,1
enhancing-financial-inclusion-advancement-ltd,Enhancing Financial Inclusion,partial,3
eni,Ente Nazionale Idrocarburi,acronym,1
enmg-madagascar,ENMG Suite,full,1
enrico-bagnasco,Enrico Bagnasco,full,1
ensae-senegal,ENSAE,full,1
ensea-cote-divoire,ENSEA,full,1
ensia-algeria,ENSIA,full,1
ensibuuko,Ensibuuko,full,1
ensoft,Ensoft,full,1
entd-gw,ENTD.GW,full,4
enterprise-surveys,Enterprise Surveys,full,2
entlaq,Entlaq,full,1
enugu-msme-and-startup-agency,Enugu MSME and Startup Agency,full,1
enugu-state-government,Enugu State Government,full,2
environmental-protection-agency-liberia,Environmental Protection Agency,full,1
eo-africa-cloud,EO Africa Cloud,full,1
epicor,Epicor,full,1
eptc,Eswatini Posts and Telecommunications Corporation,acronym,7
equiano,Equiano,full,2
equiano-cable,Equiano Cable,full,1
equinix,Equinix,full,10
equinix-nigeria,Equinix Nigeria,full,1
equipop,EQUIPOP,full,1
equity-bank,Equity Bank,full,1
equity-bank-congo,Equity Bank Congo,full,1
equity-bcdc,Equity BCDC,full,3
equity-group-holdings,Equity,full,2
eri-chat,Eri-Chat,full,1
ericsson,Ericsson,full,9
eritel,EriTel,full,3
eritrea-cadastral-office,Cadastral Office,full,1
eritrea-communications-department,Communications Department,full,1
eritrea-customs-department,Eritrean Customs Department,full,1
eritrea-department-of-immigration-and-nationality,Immigration and Nationality Department,full,1
eritrea-department-of-internal-affairs,Department of Internal Affairs,full,1
eritrea-eit,Eritrea Institute of Technology,acronym,1
eritrea-investment-center,Investment Center,full,2
eritrea-ministry-of-agriculture,Ministry of Agriculture,full,2
eritrea-ministry-of-education,Eritrea Ministry of Education,full,1
eritrea-ministry-of-energy-and-mines,Ministry of Energy and Mines,full,1
eritrea-ministry-of-finance-and-national-development,Ministry of Finance and National Development,full,2
eritrea-ministry-of-foreign-affairs,Ministry of Foreign Affairs,full,1
eritrea-ministry-of-health,Ministry of Health,full,4
eritrea-ministry-of-justice,Ministry of Justice,full,2
eritrea-ministry-of-labour-and-human-welfare,Ministry of Labour and Human Welfare,full,1
eritrea-ministry-of-trade-and-industry,Ministry of Trade and Industry,full,1
eritrea-ministry-of-transport-and-communications,Ministry of Transport and Communications,full,1
eritrea-national-higher-education-and-research-institute,National Institute of Higher Education and Research,full,1
eritrea-national-ict-steering-committee,Designation of National ICT Steering Committee,full,1
eritrea-national-medicines-and-food-administration,National Medicines and Food Administration,full,1
eritrea-national-science-and-technology-advisory-board,National Science and Technology Advisory Board,full,1
eritrea-national-science-and-technology-council,National Science and Technology Council,full,1
eritrea-office-of-civil-status,Office of Civil,full,1
eritrea-police,Eritrean Police,full,1
eritrea-research-and-documentation-center,Research and Documentation Center,full,2
eritrea-standards-institution,Eritrean Standards Institution,full,1
eritrean-postal-services,Eritrean Postal Services,full,1
erits,Electronic Rental Income Tax System,acronym,1
esaamlg,Eastern and Southern Africa Anti-Money Laundering Group,acronym,3
esatic,ESATIC,full,9
esccom,ESCCOM,full,11
escep-niger,ESCEP-Niger,full,1
escola-superior-jornalismo-mozambique,Escola Superior de Jornalismo,full,1
escom-malawi,Malawi. ESCOM,full,1
escotel,ESCOTEL,full,1
escotel-liberia-inc,Escotel Liberia,full,1
escwa,Economic and Social Commission for Western Asia,acronym,1
esdras-azanmassou,Esdras Azanmassou,full,1
eseparc,ESEPARC,full,6
eshec,ESHEC,full,1
eskom,Eskom,full,12
esppra,ESPPRA,full,1
esri,Esri LAMP,full,1
esso-dong-djafalo,Esso Dong Djafalo,full,1
estda,Eritrean Science and Technology Development Agency,acronym,1
estdev,ESTDEV,full,5
estdev-smart-africa-mou,ESTDEV-Smart Africa MoU,full,1
esti-madagascar,ESTI URL,full,1
eswatini-cbhis,Community-Based Health Information System,acronym,1
eswatini-cmis,Client Management Information System,acronym,2
eswatini-data-protection-authority,Eswatini Data Protection Authority,full,4
eswatini-deeds-registry,Eswatini Deeds Registry,full,1
eswatini-deputy-prime-ministers-office,DEPUTY PRIME MINISTERS OFFICE Table,full,1
eswatini-digital-economy-assessment,Eswatini Digital Economy Assessment,full,1
eswatini-digital-readiness-assessment,Digital Readiness Assessment,full,4
eswatini-digital-transformation-project,Eswatini Digital Transformation Project,full,1
eswatini-economic-update-2025,Eswatini Economic Update,partial,2
eswatini-electricity-company,Eswatini Electricity Company,full,5
eswatini-elmis,Electronic Logistics Management Information System,acronym,1
eswatini-energy-regulatory-authority,Eswatini Energy Regulatory Authority,full,2
eswatini-housing-board,ESWATINI HOUSING BOARD,full,1
eswatini-institute-of-management-and-public-administration,Eswatini Institute of Management and Public Administration,full,1
eswatini-international-trade-fair,Eswatini International Trade Fair,full,1
eswatini-investment-promotion-authority,Eswatini Investment Promotion Authority,full,3
eswatini-meteorological-service,Eswatini Meteorological Service,full,1
eswatini-ministry-of-ict,Ministry of ICT,full,1
eswatini-national-data-centre,National Data Centre,full,1
eswatini-national-dynamic-social-registry,E. National Dynamic Social Registry,full,1
eswatini-national-provident-fund,Eswatini National Provident Fund,full,2
eswatini-national-youth-council,Eswatini National Youth Council,full,1
eswatini-nhssp,National Health Sector Strategic Plan,acronym,1
eswatini-payment-switch,Eswatini Payment Switch,full,3
eswatini-public-procurement-regulatory-agency,Eswatini Public Procurement Regulatory Agency,full,1
eswatini-revenue-service,Eswatini Revenue Service,full,11
eswatini-social-registry-imbeleko,Social Registry Imbeleko Programme,full,1
eswatini-standards-authority,Eswatini Standards Authority,full,3
eswatini-youth-employment-opportunities-project,Eswatini Youth Employment Opportunities Project,full,1
ethekwini-metropolitan-municipality,Thekwini Metropolitan Municipality,partial,1
ethica,Ethica,full,1
ethio-telecom,Ethio Telecom,full,7
ethiopia-digital-id-inclusion-project,Ethiopia Digital ID for Inclusion and Services Project,full,5
ethiopia-moh,MOH of Ethiopia,full,1
ethiopia-ndps,National Digital Payments Strategy,acronym,1
ethiopia-pdpp,Personal Data Protection Proclamation,acronym,4
ethiopian-center-for-disability-and-development,Ethiopian Center for Disability and Development,full,1
ethiopian-communications-authority,Ethiopian Communications Authority,full,10
ethiopian-communications-authority-eca-safaricom,Ethiopian Communications Authority,acronym,1
ethiopian-customs-commission,Ethiopian Customs Commission,full,1
ethiopian-electric-power,Ethiopian Electric Power,full,2
ethiopian-electric-utility,Ethiopian Electric Utility,full,2
ethiopian-federal-police,Ethiopian Federal Police,full,2
ethiopian-institute-of-agricultural-research,Ethiopian Institute of Agricultural Research,full,1
ethiopian-intellectual-property-authority,Ethiopian Intellectual Property Authority,full,1
ethiopian-investment-holdings,Ethiopian Investment Holdings,full,5
ethiopian-meteorological-institute,Ethiopian Meteorological Institute,full,1
ethiopian-national-dialogue-commission,Ethiopian National Dialogue Commission,full,1
ethiopian-pharmaceutical-supply-service,Ethiopian Pharmaceutical Supply Service,full,1
ethiopian-public-health-institute,Ethiopian Public Health Institute,full,1
ethiopian-statistical-service,Ethiopian Statistics Service,partial,1
ethiopian-statistics-service,Ethiopian Statistics Service,full,5
ethswitch,EthSwitch,full,9
etrilabs,EtriLabs,full,1
eu-delegation-malawi,Delegation,full,3
eu-delegation-to-ethiopia,EU Delegation,full,1
eudif,EUDiF,full,1
eumetsat,EUMETSAT,full,9
eurac-research,Eurac Research,full,1
eurico-monteiro,Eurico Monteiro,full,1
european-central-bank,European Central Bank,full,1
european-commission,European Commission,full,7
european-data-protection-board,European Data Protection Board,full,1
european-data-protection-supervisor,European Data Protection Supervisor,full,2
european-parliament,European Parliament,full,2
european-space-agency,European Space Agency,full,1
european-space-policy-institute,European Space Policy Institute,full,1
european-union,European Union,full,2
eutelsat,Eutelsat,full,10
eutelsat-konnect,EUTELSAT KONNECT,full,1
eutelsat-oneweb,Eutelsat OneWeb,full,1
eventify,EVENTIFY,full,2
ewade-eswatini,Eswatini Water and Agricultural Development Enterprise,acronym,1
examinations-council-of-zambia,Examinations Council of Zambia,full,1
exim-bank-usa,EXIM Bank USA,full,1
exits-mena,Exits MENA,full,1
expertise-france,Expertise France,full,11
export-import-bank-of-india,Export-Import Bank of India,full,1
export-import-bank-of-the-united-states,CTEP The Export-Import Bank,partial,1
expresso,Expresso,full,2
extome,Extome,full,1
exultet-consulting,Exultet Consulting,full,1
ey-ghana,EY Ghana,full,3
ey-tunisie-medianet,EY Tunisie Medianet,full,1
eyconet,Eyconet,full,1
ezeebit,Ezeebit,full,1
ezulwini-municipality,Addressing Ezulwini Municipality,full,1
faan,Federal Airports Authority of Nigeria,acronym,1
facim,FACIM,full,2
factcheckafrica,FactCheckAfrica,full,1
factguard,Factguard Got,full,1
fadcom,FADCOM,full,3
fagace,FAGACE,full,1
fair-guidelines-mauritius,FAIR Guidelines,full,2
fairmoney,FairMoney,full,2
falkin,Falkin,full,1
familysearch,Afrique de FamilySearch,full,1
famoc-mali,FAMOC,full,1
fannie-mae,Fannie Mae,full,1
fanon-beya-ngombe,Fanon Beya Ngombe,full,1
fao,Food and Agriculture Organization,acronym,1
farei-mauritius,Food and Agricultural Research and Extension Institute,acronym,1
fas-angola,Fundo de Apoio Social,acronym,2
faso-arzeka,Faso Arzeka,full,2
fast-digital-center,Fast Digital Center,full,1
fasuce-congo,FASUCE,full,2
fatca,Foreign Account Tax Compliance Act,acronym,1
fate-foundation,FATE Foundation,full,3
fatf,Financial Action Task Force,acronym,8
fatoumata-komah,Fatoumata Komah,full,1
fatourati,Fatourati,full,1
faustin-archange-touadera,President Faustin Archange Touadera,full,1
faustino-varela,Faustino Varela,full,1
fawema-malawi,FAWEMA,full,1
fawezi,FAWEZI,full,1
fawry,Fawry,full,5
fayaz-king,Appointment of Mr Fayaz King,full,1
fayda,Fayda,full,6
faydaverse,Faydaverse,full,5
fbc-bank,FBC Bank,full,1
fbc-holdings,FBC Insurance,full,1
fbi,FBI Training,full,1
fccpc,Federal Competition and Consumer Protection Commission,acronym,9
fdsi-guinea,Le FDSI,full,1
fdsu-drc,Le FDSU,full,2
feapd,FEAPD,full,2
fec,Federal Executive Council,acronym,1
fedapay,FedaPay,full,1
federal-civil-service-commission-nigeria,Federal Civil Service Commission,full,1
federal-communications-commission,Federal Communications Commission,full,1
federal-executive-council,Federal Executive Council,full,4
federal-government-of-nigeria-ministry,Federal Government of Nigeria,partial,1
federal-government-of-somalia,Federal Government of Somalia,full,3
federal-high-court-nigeria,Federal High Court,full,3
federal-ministry-marine-blue-economy-nigeria,Federal Ministry of Marine and Blue Economy,full,1
federal-ministry-of-budget-and-economic-planning-nigeria,Federal Ministry of Budget and Economic Planning,full,2
federal-ministry-of-communications,Federal Ministry of Communications,full,1
federal-ministry-of-education-nigeria,Federal Ministry of Education,full,4
federal-ministry-of-finance-nigeria,Federal Ministry of Finance,full,2
federal-ministry-of-health-and-social-welfare-nigeria,Federal Ministry of Health and Social Welfare,full,1
federal-ministry-of-housing-and-urban-development-nigeria,Federal Ministry of Housing and Urban Development,full,1
federal-ministry-of-industry-trade-and-investment-nigeria,Federal Ministry of Industry,partial,1
federal-ministry-of-police-affairs,Ministry of Police Affairs,partial,1
federal-ministry-of-transportation-nigeria,Federal Ministry of Transportation,full,1
federal-ministry-of-youth-development-nigeria,Federal Ministry of Youth Development,full,1
federal-mortgage-bank-of-nigeria,Federal Mortgage Bank of Nigeria,full,2
federal-supreme-court-ethiopia,Federal Supreme Court,full,4
federation-of-ethiopian-associations-of-persons-with-disabilities,Federation of Ethiopian Associations of Persons,partial,1
federation-of-saudi-chambers-of-commerce,Federation of Saudi Chambers of Commerce,full,1
feicom,FEICOM,full,1
femintech,Femintech,full,1
femua,FEMUA,full,2
fenacci,FENACCI,full,1
feneplaci,FENEPLACI,full,1
ferdinand-massamba-de-massamba,Ferdinand Massamba de Massamba,full,1
fernando-miala,Fernando Miala,full,1
fesatel,La FESATEL,full,1
fews-net,FEWS NET,full,1
fia-liberia,Financial Intelligence Agency,acronym,1
fiber-game,Fiber Game,full,1
fiberhome,FiberHome,full,2
fiberone,FiberOne,full,2
fibertime,Fibertime,full,1
fid-madagascar,Le FID,full,1
fida-kenya,Fida-Kenya,full,1
fidelity-bank,Fidelity Bank,full,1
fidelity-printers-and-refiners,Fidelity Printers and Refiners,full,1
fidh,La FIDH,full,1
fido,Fido Score,full,1
fido-micro-credit-ltd,FIDO Micro Credit Ltd,full,1
fii,Financial Innovation for Impact,acronym,2
filipe-monteiro,Filipe Monteiro,full,1
financial-crimes-commission-mauritius,Financial Crimes Commission,full,3
financial-innovation-for-impact,Financial Innovation for Impact,full,3
financial-intelligence-authority-uganda,Financial Intelligence Authority,full,1
financial-intelligence-centre-south-africa,Financial Intelligence Centre,full,1
financial-intelligence-unit-mauritius,Financial Intelligence Unit,full,3
financial-sector-deepening-africa,Financial Sector Deepening Africa,full,3
financial-sector-deepening-kenya,Financial Sector Deepening Kenya,full,1
financial-sector-deepening-uganda,Financial Sector Deepening Uganda Limited,full,4
financial-services-act-mauritius,Financial Services Act,full,1
financial-services-authority-seychelles,Financial Services Authority,full,1
financial-services-commission-mauritius,Mauritius Financial Services Commission,full,1
financial-services-regulatory-authority-eswatini,Financial Services Regulatory Authority,full,1
financial-surveillance-department,Financial Surveillance Department,full,3
fincart,Fincart,full,3
fincra,Fincra,full,1
findev-canada,FinDev Canada,full,2
findhomes,FindHomes,full,1
findme,FindMe,full,2
finfind,Finfind,full,1
finmark-trust,FinMark Trust,full,5
finnfund,Finnfund,full,10
finsys-limited,Finsys Limited,full,1
fintech-association-of-botswana,Fintech Association of Botswana,full,1
fintech-festival-tanzania,FinTech Festival Tanzania,full,1
fireflies-ai,Fireflies AI,full,1
firs,Federal Inland Revenue Service,acronym,1
first-abu-dhabi-bank,First Abu Dhabi Bank,full,1
first-ally-capital,First Ally Capital,full,1
first-bank-gambia,FIRST BANK,full,1
first-capital-bank-botswana,First Capital Bank Botswana,full,3
firstbank-drc,FirstBank DRC,full,1
firstmonie,FirstMonie,full,1
fiscaladmin,FiscalAdmin,full,1
fisheries-transparency-initiative,Fisheries Transparency Initiative,full,1
fite-congo,Fite Congo,full,1
five-million-ethiopian-coders-initiative,Million Ethiopian Coders Initiative,partial,1
flash-drc,Flash,full,1
flexenclosure,Flexenclosure,full,1
florence-bavanandan,Florence Bavanandan,full,1
flouci,Flouci,full,1
flutterwave,Flutterwave,full,10
fmcide,FMCIDE,full,3
fmi,Le FMI,full,1
fmo,Description FMO,full,2
fnb,First National Bank,acronym,1
fnb-eswatini,FNB Eswatini,full,1
focac,FOCAC,full,6
fodest,Fodest,full,1
fogec,Le FOGEC,full,1
folucco-drc,FOLUCCO,full,1
fonaredd-rdc,FONAREDD,full,1
fondation-al-mada,Fondation Al Mada,full,1
fondation-bangui-hub,Fondation Bangui Hub,full,2
fondation-orange,Fondation Orange,full,1
fondation-renault-maroc,Renault Groupe Fondation Maroc,full,1
fondazione-aurora,Fondazione Aurora,full,1
fonds-national-foncier-madagascar,Fonds National Foncier,full,1
fonds-souverain-djibouti,Fonds Souverain de Djibouti,full,1
fongwama,Fongwama,full,1
fonsti,FONSTI,full,1
food-systems-resilience-programme,Food Systems Resilience Programme,full,2
for-women-by-women,Women,full,1
forensic-data-analysts,Forensic Data Analysts,full,1
foresiet,Foresiet,full,1
forestry-development-authority-liberia,Forestry Development Authority,full,6
fortinet,Fortinet,full,2
forum-das-mulheres-jornalistas-angola,Mulheres Jornalistas,partial,1
forvis-mazars,Forvis Mazars,full,3
foundation-for-digital-justice,Foundation for Digital Justice,full,1
foundation-for-space-development-africa,Foundation for Space Development Africa,full,1
founders-factory-africa,Founders Factory Africa,full,1
fouta,FOUTA,full,1
fouta-congo,FOUTA,full,2
foxglove,Foxglove,full,5
fra-egypt,Financial Regulatory Authority,acronym,5
france,France,full,3
francisco-pinto-leite,Francisco Pinto Leite,full,1
frank-r-garcia,Frank R. Garcia,full,1
fratel,Le FRATEL,full,1
freddie-mac,Freddie Mac,full,1
free-state-department-of-health,Free State Department of Health,full,1
free-tech-institute,Free Tech Institute,full,2
frehiwot-tamiru,Frehiwot Tamiru,full,1
french-tech-abidjan,French Tech Abidjan,full,1
friedrich-ebert-stiftung,Friedrich-Ebert-Stiftung,full,1
friends-of-angola,Friends of Angola,full,1
fringe-infrastructure,Fringe Infrastructure Limited,full,1
frogfoot,Frogfoot,full,2
front-line-defenders,Front Line Defenders,full,1
frontier-tech-leaders-programme,Frontier Tech Leaders Programme,full,1
fs-engineering,FS Engineering,full,1
fsca,Financial Sector Conduct Authority,acronym,4
fsd-africa-digital-frontiers-institute,Digital Frontiers Institute,partial,1
fsdea,FSDEA,full,1
fsdt,BOT and FSDT,full,1
fsnau,Food Security and Nutrition Analysis Unit,acronym,1
fsrp-km-comores,FSRP-KM,partial,1
fsrp-tchad,FSRP-Tchad,full,1
fsrp-togo,FSRP-Togo,full,2
fsusn-guinea,FSUSN,full,1
ftm-madagascar,Foiben-Taosarintanin'i Madagasikara,acronym,1
fugas,FUGAS,full,5
fundo-de-estradas-mozambique,Fundo de Estradas,full,1
fundo-morabeza,O Fundo Morabeza,full,1
fusepay,Fusepay,full,4
futa,Futa Avec,full,1
future-africa,Future Africa,full,1
future-ai,Future AI,full,1
future-of-privacy-forum,Future of Privacy Forum,full,1
fx-bdc-purchase-tracker,FX BDC Purchase Tracker,full,1
g-wadi,G-WADI,full,1
g20,G20 Summit,full,2
g42,Microsoft and G42,full,5
ga4gh,GA4GH,full,1
gaap,Adumo and GAAP,full,1
gabac,GABAC,full,1
gabinfo-mozambique,GABINFO,full,1
gabix,GABIX,full,3
gabon-angel-investor-network,Gabon Angel Investor Network,full,1
gabon-connect,Gabon Connect,full,1
gabonese-republic,Gabonese Republic,full,3
gabriella-mulligan,Gabriella Mulligan,full,1
gaci-libya,General Authority for Communications and Informatics,acronym,4
gaf-ag,GAF AG,full,1
gahar-egypt,GAHAR,full,1
gainafrica,GAINAfrica,full,1
galadirel-investment,Galadirel Investment Limited,full,1
galaxy-backbone,Galaxy Backbone,full,5
galaxy-space,Galaxy Space,full,1
gallup,Gallup,full,2
gambia-bureau-of-statistics,Gambia Bureau of Statistics,full,9
gambia-commission-for-refugees,COMMISSION FOR REFUGEES AND ITS GOVERNING,full,1
gambia-communications-bill-2025,Communications Bill,partial,1
gambia-data-protection-act-2025,Data Protection Act,partial,1
gambia-iec,Independent Electoral Commission,acronym,2
gambia-immigration-department,Gambia Immigration Department,full,5
gambia-ministry-communications-digital-economy,Ministry of Communications and Digital Economy of The Gambia,full,1
gambia-organization-of-the-visually-impaired,Visually Impaired,partial,1
gambia-participates,Gambia Participates,full,3
gambia-police-force,Gambia Police Force,full,1
gambia-press-union,Gambia Press Union,full,2
gambia-red-cross-society,Cross Society,partial,1
gambia-revenue-authority,Gambia Revenue Authority,full,9
gambia-social-registry,Gambia Social Registry,full,1
gambia-standards-bureau,Gambia Standards Bureau,full,4
gambia-statistics-act-2005,Statistics Act,partial,1
gambling-regulatory-authority-kenya,Gambling Regulatory Authority,full,1
gamcel,Gamcel,full,3
gampost,GAMPOST,full,1
gamswitch,Gamswitch,full,3
gamtel,GAMTEL,full,6
gaolapelwe-ketlogetswe,Gaolapelwe Ketlogetswe,full,1
gaone-seleka,Dr. Gaone Seleka,full,1
garang-majak-bol,Majak Bol,partial,1
garsu-pasaulis,Garsu Pasaulis,full,1
gates-anthropic-partnership,Gates Foundation-Anthropic,partial,1
gates-foundation,Gates Foundation,full,8
gauteng-department-of-economic-development,Gauteng MEC for Economic Development,partial,1
gauteng-department-of-education,Gauteng Department of Education,full,2
gauteng-department-of-health,Department of Health,partial,1
gavi,Gavi. Once,full,1
gbessoke-benin,GBESSOKE,full,2
gbm-gabon,GBM Gabon,full,1
gcb-bank,GCB Bank,full,1
gdpir,Global Digital Public Infrastructure Repository,acronym,1
geapp,Global Energy Alliance for People and Planet,acronym,1
gebeya,Gebeya,full,3
gecol,GECOL,full,1
gecomsa-gnq,GECOMSA,full,1
geda-guinea,GEDA Publié,full,1
gedae-angola,GEDAE,full,1
geddit,Geddit,full,1
gef,Global Environment Facility,acronym,1
gemalto,Gemalto,full,2
gendarmerie-nationale-madagascar,Gendarmerie Nationale,full,1
gender-division-zambia,Gender Division,full,2
gender-in-digital-coalition,Digital Coalition,partial,1
general-authority-for-search-and-identification-of-missing-persons-libya,Search and Identification of Missing Persons,partial,1
general-catalyst,General Catalyst,full,1
general-dynamics-information-technology,General Dynamics Information Technology,full,1
general-electoral-register-sudan,General Electoral Register,full,1
genesis-analytics,Genesis Analytics,full,2
genew-technologies,Genew Technologies,full,2
genkey,GenKey,full,5
geo-consult-international,Geo Consult International,full,1
geoffrey-seleka,Geoffrey Seleka,full,1
geomaize,GeoMaize,full,1
geoportail-grand-abidjan,Grand Abidjan,partial,1
george-mason-university,George Mason University,full,1
georgetown-university,Georgetown University,full,1
geospatial-information-centre-botswana,Geospatial Information Centre,full,1
gepase-guinea-bissau,GEPASE,full,1
german-federal-foreign-office,German Federal Foreign Office,full,1
gest-exo,Gest-exo,full,1
get-it,Get IT. Il,full,1
get-phone,Get-Phone,full,3
getesa-gnq,GETESA,full,8
gewape-cloud-group,Gewape Cloud Group,full,1
gfa-consulting-group,GFA Consulting Group,full,3
gfa-technologies-group,GFA Technologies,full,1
ggpen,GGPEN,full,6
ghana-anti-corruption-coalition,Ghana Anti-Corruption Coalition,full,1
ghana-association-of-banks,Ghana Association of Banks,full,3
ghana-blind-union,Ghana Blind Union,full,1
ghana-card,Ghana Card,full,10
ghana-chamber-of-telecommunications,Ghana Chamber of Telecommunications,full,2
ghana-civil-aviation-authority,Ghana Civil Aviation Authority,full,1
ghana-civil-service,Ghana Civil Service,full,1
ghana-data-harmonisation-bill,Data Harmonisation Act,partial,2
ghana-domain-name-registry,Ghana Domain Name Registry,full,2
ghana-education-service,Ghana Education Service,full,3
ghana-extractive-industries-transparency-initiative,Extractive Industries Transparency Initiative,full,1
ghana-health-service,Ghana Health Service,full,8
ghana-immigration-service,Ghana Immigration Service,full,1
ghana-internet-service-providers-association,Ghana Internet Service Providers Association,full,1
ghana-meteorological-agency,Ghana Meteorological Agency,full,1
ghana-ministry-of-communication-digital-technology-and-innovations,Digital Technology and Innovations,partial,2
ghana-ministry-of-communications-and-digitalisation,Ministry of Communications and Digitalisation,full,2
ghana-ministry-of-finance,Ghana Ministry of Finance,full,1
ghana-ministry-of-state-for-public-sector-reforms,Minister of State for Public Sector Reforms,partial,1
ghana-ministry-of-the-interior,Interior Ministry,full,1
ghana-national-data-strategy,National Data Strategy,full,1
ghana-national-research-fund,Ghana National Research Fund,full,1
ghana-passport-office,Passport Office,full,1
ghana-police-service,Ghana Police Service,full,4
ghana-ports-harbours-authority,Ghana Ports and Harbours Authority,full,1
ghana-refugee-board,Ghana Refugee Board,full,1
ghana-revenue-authority,Ghana Revenue Authority,full,12
ghana-secondary-cities-support-programme,Ghana Secondary Cities Support Programme,full,1
ghana-securities-and-exchange-commission,Securities and Exchange Commission,full,2
ghana-standards-authority,Ghana Standards Authority,full,1
ghana-statistical-service,Ghana Statistical Service,full,10
ghana-stock-exchange,Ghana Stock Exchange,full,2
ghipss,GhIPSS,full,3
ghislain-ondele-kanga,Ghislain Ondele Kanga,full,1
gi-kace-ghana,GI-KACE,full,2
gia-libya,General Information Authority,acronym,6
gicta,Gambia Information and Communication Technology Agency,acronym,2
giephab,GIEPHAB,full,1
gifec,Ghana Investment Fund for Electronic Communications,acronym,1
gifec-ghana,Ghana Investment Fund for Electronic Communications,acronym,2
giga,ITU Giga,full,1
giga-communications-and-technology,Ozon and Giga Communications and Technology,full,1
gijima,Gijima,full,1
gilles-kounou,Gilles Kounou,full,1
gim-uemoa,GIM-UEMOA,full,7
gimac,GIMAC,full,10
gimpa,Ghana Institute of Management and Public Administration,acronym,2
gisp,GISP Zimbabwe,full,1
gitex-africa,GITEX Africa,full,2
gitex-kenya,Gitex Kenya,full,1
gitge,GITGE,full,1
gitge-gnq,GITGE,full,11
giuseppe-perrone,Giuseppe Perrone,full,1
giz,La GIZ,full,1
glacy-e,GLACY-e,full,1
gleif,GLEIF,full,1
globacom,Globacom,full,1
global-affairs-canada,Global Affairs Canada,full,8
global-ai-capacity-development-network,Global AI Capacity Development Network,full,1
global-center-ai-governance,AI Governance,partial,2
global-centre-for-rehumanising-democracy,Global Centre for Rehumanising Democracy,full,1
global-cybersecurity-centre,Global Cybersecurity Centre,full,2
global-cybersecurity-initiative,Global Cybersecurity Initiative,full,1
global-development-network,Global Development Network,full,2
global-digital-justice-forum,Global Digital Justice Forum,full,1
global-energy-alliance,Global Energy Alliance,full,1
global-environment-facility,Global Environment Facility,full,3
global-financial-integrity,Global Financial Integrity,full,1
global-financing-facility,Global Financing Facility,full,1
global-financing-facility-who-unicef,Global Financing Facility,partial,1
global-findex,Global Findex,full,1
global-findex-database,Global Findex Database,full,4
