indicator_id,stage,anchor,interpolated
dpi.exchange--interoperability-of-education-systems,4,"Exchanges in service across the main education systems on a shared learner and teacher identifier — the DES's *EMIS 2.0*, individual-level and ID-linked.",no
dpi.exchange--interoperability-of-education-systems,5,"The DES end state: EMIS 2.0 linked to the national ID and to other sectors through the exchange layer, with the data model published and analytics in use for policy.",no
dpi.exchange--interoperability-of-social-protection-systems,1,A dated statement that social protection programmes hold separate beneficiary lists with no exchange between them or with other systems.,yes
dpi.exchange--interoperability-of-social-protection-systems,2,"A link between programmes, or between a registry and the ID or a payment provider, planned, contracted or piloted.",yes
dpi.exchange--interoperability-of-social-protection-systems,3,"One exchange in service — the registry or a programme MIS linked to the national ID, or to a payment provider, or two programmes sharing a list — on record.",yes
dpi.exchange--interoperability-of-social-protection-systems,4,"Exchanges in service across the main programmes on a shared identifier: the registry linked to the ID, to payment providers and to at least one other sector (civil registration, health, education).",yes
dpi.exchange--interoperability-of-social-protection-systems,5,"The Protocol's end state: an integrated social protection information system interoperable with the ID, civil registration, payments and other sectors, with portability between schemes provided for.",no
dpi.id--robustness-of-system,1,"A dated statement that no national identity system exists, or that the system in place is paper-based with no unique identifier.",yes
dpi.id--robustness-of-system,2,"A national ID system procured, under construction or piloted; or a card presented as ready and waiting on its law or decree.",yes
dpi.id--robustness-of-system,3,"A national ID system in service issuing credentials, with deduplication or a unique number, and no published assurance levels, audit or security certification.",yes
dpi.id--robustness-of-system,4,"The system in service with biometric deduplication, a documented assurance level or security certification, a published audit or incident record, and credential lifecycle (revocation, renewal) operating.",yes
dpi.id--robustness-of-system,5,"The Framework's end state: technical integrity demonstrated, levels of assurance defined and published, security baselines met, and the system's trust framework recognised regionally.",no
dpi.id--national-maintenance-of-id-and-credentials-systems,1,"A dated statement that the ID or credential system is built, hosted and operated by a foreign supplier with no national capacity, source code or exit terms on record.",yes
dpi.id--national-maintenance-of-id-and-credentials-systems,2,"National operation stated as a goal, or a transfer of skills or a local operating team announced, with the platform still supplier-dependent.",yes
dpi.id--national-maintenance-of-id-and-credentials-systems,3,"The national authority operating the system day to day on a platform built abroad, with maintenance, printing or upgrades still under a foreign contract and no funding model settled.",yes
dpi.id--national-maintenance-of-id-and-credentials-systems,4,"The authority operating and maintaining the system with national staff, contracts carrying exit and portability terms or source-code escrow, and a durable funding model on record.",yes
dpi.id--national-maintenance-of-id-and-credentials-systems,5,"The Framework's end state: open standards, no vendor or technology lock-in, national ownership of data and platform, and financial and operational sustainability demonstrated.",no
dpi.id--authentication,1,A dated statement that no digital authentication service exists — the credential is verified by inspection only.,yes
dpi.id--authentication,2,"An authentication, e-signature or PKI service authorised, contracted or piloted; a legal basis for e-signatures granted with no service operating.",yes
dpi.id--authentication,3,"An authentication service in service for one channel or one use (a root certification authority operating, OTP verification for one system, a border verification system) — the Framework's *layer 1*.",no
dpi.id--authentication,4,"Authentication services in service across channels and consumers — PKI or trust services with accredited providers, an online verification API, mobile authentication — with usage on record — *layer 2*.",no
dpi.id--authentication,5,"The Framework's *layer 3*: remote authentication through wallets, federation or signed credentials, and mutual recognition of e-authentication with other states provided for (DTP Art. 19).",no
dpi.id--digital-id-from-birth,1,"A dated statement that a birth creates no identity record — registration and ID are separate systems with no link, or registration is paper-only.",yes
dpi.id--digital-id-from-birth,2,A unique identifier at birth provided for in law or piloted in some districts or facilities.,yes
dpi.id--digital-id-from-birth,3,"A unique number assigned at birth registration in service, in part of the country or for registrations in digital offices only.",yes
dpi.id--digital-id-from-birth,4,"Assignment at birth in service nationally, with the birth record generating the identity record and coverage of births registered published.",yes
dpi.id--digital-id-from-birth,5,"The DTS end state: digital legal identity for every person from birth as part of civil registration, with the SDG 17.19.2(b) target (100 % of births, 80 % of deaths registered) met on the published figure.",no
dpi.id--interoperability-of-birth-registration-and-digital-id,1,A dated statement that the civil register and the ID system do not exchange records.,yes
dpi.id--interoperability-of-birth-registration-and-digital-id,2,"A linkage planned, contracted or piloted; a single agency mandated over both registers with no exchange yet.",yes
dpi.id--interoperability-of-birth-registration-and-digital-id,3,"Exchange in service in one direction or for one event (births feed the ID, or deaths retire credentials), or the two registers held by one agency on separate platforms.",yes
dpi.id--interoperability-of-birth-registration-and-digital-id,4,"Two-way exchange in service across vital events — births enrol, deaths retire, name and status changes propagate — with reconciliation reported.",yes
dpi.id--interoperability-of-birth-registration-and-digital-id,5,"The Handbook's end state: civil registration, vital statistics, the population register and the ID system fully interoperable and simultaneous, as recognised by the CRVS programme or a published assessment.",no
dpi.id--use-by-other-systems,1,"A dated statement that public registers (electoral, tax, social, civil service) do not use the national ID as their identifier.",yes
dpi.id--use-by-other-systems,2,Adoption of the national number by another register planned or piloted.,yes
dpi.id--use-by-other-systems,3,"One or two public registers keyed on the national ID (the electoral roll drawn from it, a tax register linked).",yes
dpi.id--use-by-other-systems,4,"The main public registers keyed on the national ID — electoral, tax, social protection, civil service, business ownership — with reconciliation between them on record.",yes
dpi.id--use-by-other-systems,5,"The DPF end state: the ID the single source of truth for identity across public registers and for secure online transactions, with private-sector use provided for.",no
dpi.pay--governance-role-of-central-bank,1,A dated statement that the central bank has no mandate over payment systems or e-money.,yes
dpi.pay--governance-role-of-central-bank,2,A payment-systems mandate or e-money regulation in drafting; oversight exercised by circular only.,yes
dpi.pay--governance-role-of-central-bank,3,"The central bank's oversight mandate in force, licensing or authorising providers, with no national switch or interoperability mandate.",yes
dpi.pay--governance-role-of-central-bank,4,"The central bank operating or overseeing a national switch or interoperability arrangement, with published oversight (statistics, licences, enforcement) and a consumer-protection or dispute function on record.",yes
dpi.pay--governance-role-of-central-bank,5,"The DTP Annex end state: interoperability across domestic, regional and continental systems mandated and in effect, participation in PAPSS or a regional system, and AML/CFT and consumer protection embedded in oversight.",no
dpi.pay--g2p-functionality,1,"A dated statement that government payments to individuals — transfers, salaries, pensions — are made in cash.",yes
dpi.pay--g2p-functionality,2,"Digital G2P piloted for one programme or district, or contracted.",yes
dpi.pay--g2p-functionality,3,"One programme paying digitally in service (a cash transfer over mobile money, salaries to accounts) with others in cash.",yes
dpi.pay--g2p-functionality,4,"The main G2P streams digital in service — social transfers, salaries, pensions — with beneficiary counts published and a choice of provider or account.",yes
dpi.pay--g2p-functionality,5,"The DTS end state: government-to-person payments digital by default across programmes, interoperable across providers, linked to the ID and the social registry, with beneficiary reach and cost reported.",no
dpi.pay--revenue-collection,1,"A dated statement that taxes, fees or duties are paid in cash or by paper instrument only.",yes
dpi.pay--revenue-collection,2,Electronic payment of a tax or fee piloted or contracted; e-filing announced.,yes
dpi.pay--revenue-collection,3,"Electronic payment in service for some taxes or fees, or for large taxpayers only.",yes
dpi.pay--revenue-collection,4,"Electronic filing and payment in service for the main taxes and for customs duties, with the share of revenue collected electronically published; e-invoicing or fiscal devices in use.",yes
dpi.pay--revenue-collection,5,"The DTP end state: electronic invoices legally equivalent, paperless trading, electronic payment accepted for all state dues, and the electronic share reported.",no
dpi.pay--b2b-and-b2g-functionality,1,A dated statement that business payments and government procurement run on paper and cash.,yes
dpi.pay--b2b-and-b2g-functionality,2,"E-procurement or a business payment platform procured, piloted or under construction.",yes
dpi.pay--b2b-and-b2g-functionality,3,"An e-procurement portal or interbank business payment service in service, limited in scope (publication only, some agencies, large firms).",yes
dpi.pay--b2b-and-b2g-functionality,4,"E-procurement in service end to end (tender to payment) across the main agencies, and interbank or instant business payments in service with interoperability across banks.",yes
dpi.pay--b2b-and-b2g-functionality,5,"The DTP end state: e-invoicing, interoperable payment and settlement, and an electronic-transactions framework in force, with B2G volumes published.",no
dpi.pay--p2p-p2g-and-p2b-functionality,1,A dated statement that no mobile money or retail digital payment service is licensed.,yes
dpi.pay--p2p-p2g-and-p2b-functionality,2,A mobile money or e-money service licensed or piloted.,yes
dpi.pay--p2p-p2g-and-p2b-functionality,3,"Retail digital payment services in service with no interoperability between providers, and payments to government or merchants limited.",yes
dpi.pay--p2p-p2g-and-p2b-functionality,4,"Provider interoperability in service (a switch or bilateral links), merchant and government payments accepted through the services, agent networks reported.",yes
dpi.pay--p2p-p2g-and-p2b-functionality,5,"The DTS end state: national interoperability across e-money and bank accounts, low-cost channels and agents reaching underserved areas, and usage reported.",no
dpi.pay--cross-border-functionality,1,A dated statement that no regulated cross-border retail or mobile money payment channel exists.,yes
dpi.pay--cross-border-functionality,2,A cross-border corridor piloted or licensed; a regulatory framework for cross-border mobile money in drafting.,yes
dpi.pay--cross-border-functionality,3,"One or more corridors in service through bilateral arrangements, with a regulatory framework in force.",yes
dpi.pay--cross-border-functionality,4,"Participation in a regional payment system in service (PAPSS, a REC system) with the central bank enrolled, and corridor costs or volumes published.",yes
dpi.pay--cross-border-functionality,5,"The DTS end state: participation in a single African payments area, cross-border mobile money framework in force, and costs at or below the reference targets.",no
dpi.pay--consumer-protection,1,A dated statement that no consumer-protection rules apply to digital financial services.,yes
dpi.pay--consumer-protection,2,Rules in drafting; protection by general consumer law or a regulator's circular only.,yes
dpi.pay--consumer-protection,3,"Conduct-of-business rules in force covering at least two of the four dimensions, with no redress body operating.",no
dpi.pay--consumer-protection,4,"Rules in force across the four dimensions with a redress or complaints mechanism operating — a financial ombudsman, a regulator's complaints unit — and decisions or statistics on record.",no
dpi.pay--consumer-protection,5,"The DTS and DTP end state: all four dimensions in force, redress operating, misleading and fraudulent practices prohibited and enforced, and outcomes reported.",no
dpi.registry--population-register,1,"A dated statement that no population register exists — identity is held per document (ID card, passport) with no consolidated register.",yes
dpi.registry--population-register,2,"A population register provided for in law, procured or under construction.",yes
dpi.registry--population-register,3,"A population register in service, incomplete or built from one source (ID enrolment only), not updated from vital events.",yes
dpi.registry--population-register,4,"A register in service updated from births, deaths and status changes, keyed on the national number, and used by other registers on record.",yes
dpi.registry--population-register,5,"The DTS end state: an electronic population register as the base register of government, continuously updated from civil registration, and the source for other registers.",no
dpi.registry--civil-register,1,A dated statement that civil registration is paper-based with no central digital register.,yes
dpi.registry--civil-register,2,"A digital civil registration system procured, piloted or rolled out to some offices.",yes
dpi.registry--civil-register,3,"A digital civil register in service nationally for births, with historic records or other events (deaths, marriages) not yet digitised, and coverage below the targets.",yes
dpi.registry--civil-register,4,"Digital registration of all vital events in service, historic records digitised or in progress, coverage published and rising, and linkage to the ID and statistics on record.",yes
dpi.registry--civil-register,5,"The SDG 17.19.2(b) target (100 % of births, 80 % of deaths registered) met on the published figure and the register the source for legal identity and vital statistics.",no
dpi.registry--address-register,1,A dated statement that no national addressing system exists — no street naming or numbering beyond some cities.,yes
dpi.registry--address-register,2,A national addressing policy adopted or a project under way in some cities or districts.,yes
dpi.registry--address-register,3,"An address register in service for the main cities, not linked to other registers.",yes
dpi.registry--address-register,4,"A national address register in service with rural coverage, linked to the cadastre, the population register or postal codes, and used by services (delivery, emergency, utilities) on record.",yes
dpi.registry--address-register,5,"The UPU end state: a national addressing policy implemented, an address for everyone, and the register a base register for other systems.",no
dpi.registry--business-register,1,A dated statement that business registration is paper-based and held locally.,yes
dpi.registry--business-register,2,"A digital business register procured, or the historic stock being converted, or a one-stop counter opened in the capital only.",yes
dpi.registry--business-register,3,"Online registration in service with a unique business identifier, in some locations or with the register not public.",yes
dpi.registry--business-register,4,"Online registration nationwide with a unique identifier shared with tax and social security, public search, and beneficial-ownership information collected on record.",yes
dpi.registry--business-register,5,"The DTS and DTP end state: an electronic business register as the identity of juridical persons, linked across registers and recognised across borders.",no
dpi.registry--social-protection-register,1,A dated statement that no social registry exists — programmes hold their own lists.,yes
dpi.registry--social-protection-register,2,"A social registry procured, piloted or being populated in some districts.",yes
dpi.registry--social-protection-register,3,A social registry in service covering part of the population or one or two programmes.,yes
dpi.registry--social-protection-register,4,"A social registry in service covering the target population, used by the main programmes for eligibility, linked to the ID and updated dynamically, with coverage published.",yes
dpi.registry--social-protection-register,5,"The Protocol's end state: a social registry and integrated beneficiary registry as the basis of social protection management, interoperable with civil registration and payments.",no
dpi.registry--electoral-register,1,"A dated statement that no electoral register is maintained between elections, or that the register is compiled by hand for each poll.",yes
dpi.registry--electoral-register,2,A digital or biometric register procured or piloted; a register compiled digitally but not maintained.,yes
dpi.registry--electoral-register,3,"A digital register in service, with public access to the roll provided (Guidelines §5.2.9) and periodic revision.",no
dpi.registry--electoral-register,4,"The register maintained continuously and drawn from or reconciled with the civil or population register, with published audits and non-discriminatory registration on record (§4.6.10).",no
dpi.registry--electoral-register,5,"The ACDEG end state: an independent electoral body maintaining a register recognised as accurate by observation missions, continuously updated from the base registers.",no
dpi.registry--tax-register,1,A dated statement that no taxpayer register exists or that it is paper-based.,yes
dpi.registry--tax-register,2,"TADAT D: a computerised register with multiple identifiers, decentralised, no linkage, or integrity not assessed.",no
dpi.registry--tax-register,3,TADAT C: decentralised databases linked by a common identifier.,no
dpi.registry--tax-register,4,"TADAT B: a centralised database with more than one identifier scheme linked, or a whole-of-taxpayer view not yet complete.",no
dpi.registry--tax-register,5,"TADAT A: each taxpayer with a unique high-integrity identifier, one centralised database, a whole-of-taxpayer view, and the identifier shared with other registers.",no
dpi.registry--land-register,1,"A dated statement that land rights are recorded on paper or not recorded, with no cadastre.",yes
dpi.registry--land-register,2,Digitisation of titles or a cadastre project under way in some areas or for some tenure types.,yes
dpi.registry--land-register,3,A digital cadastre or title register in service for part of the territory or for formal tenure only.,yes
dpi.registry--land-register,4,"A national digital cadastre and register in service, parcels counted and published, registration mandatory for transactions, linked to the tax authority or the ID.",yes
dpi.registry--land-register,5,"The F&G end state (§3.6.2): registration and tracking of land rights through a computerised land information system, customary tenure included as §3.6 requires, with public access — e.g. on the LADM standard and FELA's pathways.",no
dpi.mis--health,1,A dated statement that health reporting is paper-based with no national HMIS.,yes
dpi.mis--health,2,"An HMIS procured, piloted or rolled out in some districts.",yes
dpi.mis--health,3,"A national HMIS in service (district reporting) with some facilities or the private sector outside it and other systems (surveillance, supply chain, registries) separate.",yes
dpi.mis--health,4,"The HMIS in service across public and private facilities, with surveillance, supply chain and at least one registry (vaccination, patient) integrated or interoperable, and reporting completeness published.",yes
dpi.mis--health,5,"The Africa CDC end state: national digital health systems strengthened to the HIE Guidelines, facilities connected, and participation in continental surveillance and the health data space.",no
dpi.mis--education,1,A dated statement that no EMIS exists.,yes
dpi.mis--education,2,"An EMIS procured, piloted or under construction.",yes
dpi.mis--education,3,EMIS 1.0 in service: aggregate school returns and an annual census published.,no
dpi.mis--education,4,"EMIS 2.0 in service: individual learner, teacher and institution records with unique identifiers, used for planning and payroll.",no
dpi.mis--education,5,"The DES end state: EMIS 2.0 linked to the national ID and other sectors, analytics in use for policy, and the data model published.",no
dpi.mis--social-protection,1,A dated statement that social protection programmes are administered on paper.,yes
dpi.mis--social-protection,2,"A programme MIS procured, piloted or under construction.",yes
dpi.mis--social-protection,3,"A programme MIS in service for one or a few programmes, not linked to payments or the ID.",yes
dpi.mis--social-protection,4,"An MIS in service across the main programmes, linked to the social registry, the ID and payment providers, with disaggregated data published (Art. 25).",yes
dpi.mis--social-protection,5,The Protocol's end state: an integrated social protection information system across contributory and non-contributory schemes with portability provided for.,no
dpi.mis--justice,1,A dated statement that court proceedings and records are paper-based with no case-management system.,yes
dpi.mis--justice,2,"A case-management or e-justice system procured, piloted in some courts, or under construction.",yes
dpi.mis--justice,3,"A case-management system in service in some courts or one tier, with decisions not published online.",yes
dpi.mis--justice,4,"Case management in service across the main courts, e-filing available, and decisions published online with public access to case status.",yes
dpi.mis--justice,5,"The Principles' end state: systems for recording proceedings, storing information and public access in service across the judiciary, all decisions published, and integration with police, prosecution and prisons on record.",no
dpi.mis--tax,1,A dated statement that tax administration runs on paper.,yes
dpi.mis--tax,2,"D on both: electronic filing or payment unavailable or available for one core tax or segment only, on the base's own rows.",no
dpi.mis--tax,3,"C on the lower: electronic filing (P4-14) and payment (P5-15) available for some core taxes or segments, with low uptake or partial coverage on record.",no
dpi.mis--tax,4,"B on the lower: electronic filing and payment available for most core taxes and segments, uptake published and rising.",no
dpi.mis--tax,5,"A on both: mandatory electronic filing for designated segments across all core taxes with real-time acknowledgment, and electronic payment available for all core taxes and all segments through multiple channels with immediate confirmation.",no
dpi.mis--customs,1,A dated statement that customs declarations are processed on paper.,yes
dpi.mis--customs,2,"A customs management system procured, piloted at some posts, or being upgraded.",yes
dpi.mis--customs,3,"An automated customs system in service at the main ports and airports, with paper at other posts and no single window.",yes
dpi.mis--customs,4,"Automated processing at all posts, risk management in use, electronic payment of duties, and a single window in service or under phased rollout with agencies connected.",yes
dpi.mis--customs,5,"The Annexes' end state: customs automation, a national single window connecting all border agencies, electronic exchange with trading partners, and the trade-facilitation measures in effect.",no
dpi.mis--land,1,"A dated statement that land administration (transactions, valuation, planning) runs on paper.",yes
dpi.mis--land,2,"A land information system procured, piloted in some regions or under construction.",yes
dpi.mis--land,3,"A land information system in service for registration in some areas, with valuation, planning and dispute records separate.",yes
dpi.mis--land,4,"A land information system in service nationally linking registration, cadastre and valuation, with transactions processed electronically and linked to the tax authority.",yes
dpi.mis--land,5,"The F&G end state (§3.6.2): a computerised land information system through which land rights are registered and tracked across the administration functions, customary tenure included, with public access — e.g. integrated across FELA's pathways on the LADM standard.",no
dpi.govtech--e-government-services,1,"A dated statement that no government service is available online, or that no inventory of online services exists and none is on record.",yes
dpi.govtech--e-government-services,2,"A portal launched with information only, or a few transactional services piloted, or one-stop service desks under operationalisation.",yes
dpi.govtech--e-government-services,3,Transactional services in service — tens of services dematerialised — on several portals with no single gateway or shared authentication.,yes
dpi.govtech--e-government-services,4,"A single gateway or integrated portal in service carrying the main services with shared authentication through the national ID, usage published, and an inventory of services maintained.",yes
dpi.govtech--e-government-services,5,"The DTS end state: a single digital gateway integrating all e-government services (G2C, G2B, G2G) on the exchange layer and the national ID, with service levels and usage reported.",no
digital.localgov--ict-infrastructure-for-local-government,1,"A dated statement that local governments have no ICT infrastructure — no connectivity, equipment or systems below national level.",yes
digital.localgov--ict-infrastructure-for-local-government,2,"Equipment or connectivity delivered to some local administrations, a contract to extend it, or one province procuring its own system.",yes
digital.localgov--ict-infrastructure-for-local-government,3,"Local administrations connected and equipped in some regions or tiers, with no national programme covering the rest.",yes
digital.localgov--ict-infrastructure-for-local-government,4,"A national programme in force connecting and equipping local administrations across tiers, coverage published, and local systems (revenue, permits, records) in service in the main units.",yes
digital.localgov--ict-infrastructure-for-local-government,5,"The Charter's Art. 16 end state: ICT accessible across local governments and in use for local services on record (revenue, permits, records, citizen feedback), local governments provided the technological resources to discharge their responsibilities, and coverage reported.",no
digital.localgov--digitalisation-of-local-government-records,1,"A dated statement that local government records — civil, land, revenue, minutes — are held on paper.",yes
digital.localgov--digitalisation-of-local-government-records,2,"A records or archive system approved or procured by one or some local governments, or a central platform being built to collect from local units.",yes
digital.localgov--digitalisation-of-local-government-records,3,"Digital records in service in some local governments or for one record type (a parcel register, a revenue roll), with paper elsewhere.",yes
digital.localgov--digitalisation-of-local-government-records,4,"Digital records in service across the main local governments and record types, on a national platform or standard, exchanging with the central registers.",yes
digital.localgov--digitalisation-of-local-government-records,5,"The DTS end state: local registers digitised and reused through the exchange layer as core registers, with coverage reported.",no
digital.rural--digitalisation-of-rural-health-clinics,1,"A dated statement that rural or primary facilities have no connectivity, equipment or digital reporting.",yes
digital.rural--digitalisation-of-rural-health-clinics,2,"Connectivity or devices delivered to some facilities, staff trained on a digital tool, or a rollout beyond pilot sites planned.",yes
digital.rural--digitalisation-of-rural-health-clinics,3,"Rural facilities connected and reporting digitally in some districts, or one function digital (surveillance, laboratory, supply chain) with the rest on paper.",yes
digital.rural--digitalisation-of-rural-health-clinics,4,"Rural facilities connected and equipped across most districts, patient or reporting records digital, linked to the national HMIS, and the share of facilities covered published.",yes
digital.rural--digitalisation-of-rural-health-clinics,5,"The Africa CDC end state: the country's facilities and community health workers connected and equipped on the published figure, primary care digitally enabled to the framework's standard, and coverage reported.",no
digital.rural--digitalisation-of-rural-primary-schools,1,A dated statement that rural primary schools have no connectivity or computers.,yes
digital.rural--digitalisation-of-rural-primary-schools,2,"Devices or connectivity tendered or delivered to some rural schools, or a national school-connectivity programme announced.",yes
digital.rural--digitalisation-of-rural-primary-schools,3,"Rural schools connected or equipped in some districts on record, with the national shares of connected institutions and equipped students below the DES 2027 figures.",yes
digital.rural--digitalisation-of-rural-primary-schools,4,"The DES 2027 figures met on the published figure — at least 50 % of institutions connected, devices for 20 % of students and 50 % of teachers — with rural schools inside the count.",no
digital.rural--digitalisation-of-rural-primary-schools,5,"The DES 2030 figures met — devices for a third of students and all teachers, connectivity at the DES cost line — with the country in the DES's top maturity category.",no
digital.rural--digitalisation-of-rural-registry-offices,1,A dated statement that registration offices outside the main cities work on paper with no connectivity.,yes
digital.rural--digitalisation-of-rural-registry-offices,2,"A digital registration platform piloted in a first group of communes or districts, or equipment rehabilitated at some posts.",yes
digital.rural--digitalisation-of-rural-registry-offices,3,"Digital registration in service in some rural offices or districts, with the rest on paper or transmitting by hand.",yes
digital.rural--digitalisation-of-rural-registry-offices,4,"Rural offices connected and registering digitally across most districts, records flowing to the central register, and the share of offices covered published.",yes
digital.rural--digitalisation-of-rural-registry-offices,5,"The DTS end state: every office registering digitally into the civil register and the ID system, with the DTS legal-identity target met on the published figure and IDP and displaced populations served (Kampala Art. 13).",no
digital.rural--digitalisation-of-rural-police-stations,1,A dated statement that police posts outside the capital have no connectivity or case-recording system.,yes
digital.rural--digitalisation-of-rural-police-stations,2,"A centralised police platform under build or piloted with no provincial post named, or an integrated security centre announced for one province.",yes
digital.rural--digitalisation-of-rural-police-stations,3,Provincial or district stations connected and recording on a system in some regions on record.,yes
digital.rural--digitalisation-of-rural-police-stations,4,"Stations connected and recording digitally across most provinces, records flowing to a national platform, and coverage published.",yes
digital.rural--digitalisation-of-rural-police-stations,5,"Every station on the national platform, linked to the justice case-management system and the national ID for verification, with the national agency connected to AFRIPOL's systems.",yes
tech.ai--use-of-ai-in-government-administration,1,"A dated statement that no AI system is in use in public administration, or that public data is unfit for advanced analytics.",yes
tech.ai--use-of-ai-in-government-administration,2,"An AI platform for administration authorised, tendered or piloted in one body.",yes
tech.ai--use-of-ai-in-government-administration,3,"One or two AI systems in service in administration (a chatbot for a service, document processing in one ministry) on record.",yes
tech.ai--use-of-ai-in-government-administration,4,"AI in service across several bodies with a published inventory or use-case register, procurement rules for AI, and impact or performance reported.",yes
tech.ai--use-of-ai-in-government-administration,5,"The AI Strategy's end state: AI adopted in the public sector under a governance framework, innovation-friendly procurement, capacity in place, and use cases shared and reported.",no
tech.ai--use-of-ai-in-sectoral-management-information-systems,1,"A dated statement that no sectoral system (health, agriculture, education, tax, climate) uses AI or advanced analytics.",yes
tech.ai--use-of-ai-in-sectoral-management-information-systems,2,"A sectoral AI tool in pilot or testing (a diagnostic tool in two provinces, a risk-analysis model in testing).",yes
tech.ai--use-of-ai-in-sectoral-management-information-systems,3,"One sectoral AI system in service and producing decisions or outputs on record (a tax risk engine issuing notices, a disease model informing a campaign).",yes
tech.ai--use-of-ai-in-sectoral-management-information-systems,4,"AI in service in several sectors' systems, built or adapted nationally, with data warehouses or pipelines supporting them and results reported.",yes
tech.ai--use-of-ai-in-sectoral-management-information-systems,5,"The AI Strategy's end state: AI adopted in the core sectors, national centres of excellence or datasets supporting it, and outcomes reported.",no
tech.ai--development-of-national-regional-ai-systems,1,"A dated statement that no AI model, dataset or compute facility is developed or hosted nationally.",yes
tech.ai--development-of-national-regional-ai-systems,2,"Local AI builds named without funding, users or deployment; a compute facility or national dataset planned.",yes
tech.ai--development-of-national-regional-ai-systems,3,"A national AI model, dataset or compute facility in service on record (a language model deployed, a national data facility with accelerators, a curated national dataset published).",yes
tech.ai--development-of-national-regional-ai-systems,4,"National or regional AI capacity in service across the three — compute, datasets, talent — with a funded programme, a research or industry ecosystem using it, and usage reported.",yes
tech.ai--development-of-national-regional-ai-systems,5,"The AI Strategy's end state: the country able to self-manage its data and AI on ""Local First"" — sovereign or regional compute, open national datasets, talent pipelines — and participating in continental AI infrastructure.",no
tech.ai--control-of-ai-abuse,1,"A dated statement that no authority, rule or mechanism addresses AI harms — misinformation, manipulation, bias, unsafe systems.",yes
tech.ai--control-of-ai-abuse,2,"A draft law providing for a competent authority without designating it; a workshop, guideline or ethics principle with no legal effect.",yes
tech.ai--control-of-ai-abuse,3,"A rule in force addressing at least one AI harm (deepfakes, automated decisions, election manipulation) or an authority designated with a mandate, with no enforcement on record.",yes
tech.ai--control-of-ai-abuse,4,"An authority operating with powers over AI harms, risk-based rules in force, and enforcement, audit or redress decisions on record.",yes
tech.ai--control-of-ai-abuse,5,"The AI Strategy's end state: risk-based regulation, an independent oversight institution with enforcement and redress, technical safety standards, and participation in regional oversight (the AI Ethics Board or REC arrangements).",no
tech.innovate--technology-hubs,1,"A dated statement that no technology hub, incubator or park operates in the country.",yes
tech.innovate--technology-hubs,2,"A hub or park announced, under construction, or one private hub with no programme on record.",yes
tech.innovate--technology-hubs,3,"One or more hubs in service with incubation programmes and cohorts on record, in the capital only, or a park inaugurated with no tenants.",yes
tech.innovate--technology-hubs,4,"Hubs in service in more than one city with public or partner support, programmes and outputs (startups incubated, jobs, funding raised) reported, and a science or technology park operating with tenants.",yes
tech.innovate--technology-hubs,5,"The DTS end state: the country hosting its region's technology park and incubation hub, or a national park linked to it by an agreement on record; local innovation centres in service; outputs reported.",no
tech.innovate--tech-startup-ecosystem,1,"A dated statement that no startup law, strategy or public support instrument exists and no venture or angel financing is on record.",yes
tech.innovate--tech-startup-ecosystem,2,"A startup bill drafted or tabled, a competition or grant scheme opened, or a strategy in consultation.",yes
tech.innovate--tech-startup-ecosystem,3,"A startup law or strategy enacted or adopted covering some of the Framework's seven areas (definition, governance, institutional support, taxation, funding, regulatory enablement, skills), with implementing measures pending.",no
tech.innovate--tech-startup-ecosystem,4,"The law in force with implementing measures across most of the seven areas — a labelling or registration regime operating, tax or procurement measures applied, a fund or angel network financing startups on record.",no
tech.innovate--tech-startup-ecosystem,5,"The DTS end state: a national startup strategy and law in force across the seven areas, an innovation fund and angel networks operating, patents and outcomes reported.",no
