indicator_id,progress,summary,developments,row_ids,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier
finance.new--development-partner-project-financing,"Mixed, a US$50m regional credit was signed while the development bank cut digital from its country strategy","[US$50m was committed](2026-06-08-125m-world-bank-wardip2-financing-techafricanews) for broadband, cybersecurity, digital governance and payments, while a bank strategy [cut its sectors from four to three](2026-07-31-liberia-afdb-country-strategy-paper-2026-2031), dropping digital.","The credit sits within a US$137m three-country operation and was signed in June 2026 as part of US$125m of agreements ([signature](2026-06-08-125m-world-bank-wardip2-financing-techafricanews), [operation](2026-03-13-techafricanews-world-bank-wardip2-137m)).

The bank strategy for 2026-2031 keeps transport, energy and skills with an indicative programme of UA 129m, 36.3 per cent unfunded, and no digital lending line ([strategy](2026-07-31-liberia-afdb-country-strategy-paper-2026-2031), [approval](2026-02-01 AfDB Liberia Country Strategy Paper 2026-2031)).

A US$30m identity and digital government project is running, with a US$2m tranche put on hold during the identity system's debt lock and no disbursement total published ([project](2025-03-24 Liberia launches DPI project (GREAT) with $30M World Bank funding), [commitment](2025-01-01-world-bank-lbr-2025-liberia-great-digital-id-bw03)).

2025-12-01 - a smaller regional grant reaches the identity layer of banking: [US$8m from the African Development Fund, approved in 2023, for a four-country bank identification and interoperability project run by the West African Monetary Institute](2025-12-01 Biometric Digital-ID in Africa - Ten Country Case Studies). No disbursement or Liberian share of it is held.",LBR-finance.new-wardip2|LBR-gov.policy-afdb-csp|LBR-dpi.govtech-great|LBR-gov.regional-wamz-unique-bank-identification,,,,,,,,,,,
infra.connect--mobile-penetration,"Mixed, a dormant licence was revoked while a fifth-generation plan has no spectrum award behind it","A [universal licence was revoked](2026-07-22-liberia-strips-starcell-of-operating-license) in July 2026 after six years without operation, leaving two mobile operators of any scale.","Spectrum, numbering and regulatory privileges reverted to the regulator, the licensee having been suspended for 90 days from February 2026; the market at mid-2026 is estimated at 3.2m subscribers for the leading operator, 2.3m for the second and 14,000 for the state operator ([revocation](2026-07-22-liberia-strips-starcell-of-operating-license)).

Fifth-generation services are stated as planned with investors still being engaged, and no spectrum award, licence condition or launch date is published ([plans](2026-01-29-liberia-verge-5g-revolution-observer)).

A continental governance index scores [mobile communications at 58.4 of 100 for 2023, 40th of 54 and up 8.6 points over the decade](2024-01-01-iiag-2024-profile-liberia), a composite reading rather than a subscriber count.",LBR-infra.connect-starcell-licence|LBR-infra.connect-5g|LBR-infra.connect-governance-index-infrastructure-scores,2,,54.8,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-08-31,0,modelled estimate; no survey figure in the 5 years to the as-at
infra.connect--internet-usage,No change,"[1.84m internet users at 32.4 per cent of the population](2025-03-03 Digital 2025 - Liberia (DataReportal)) in early 2025, with about 3.8m offline and no later national figure published.","The reading is a commercial compilation rather than a regulator or statistics-office release ([penetration](2025-03-03 Digital 2025 - Liberia (DataReportal))).

Eighteen months on, no regulator subscription series, household survey or statistics-office chapter has replaced it, so the country's connectivity is measured once a year by an outside compiler.

A continental governance index gives a composite reading rather than a count, scoring [internet and computers at 21.4 of 100 for 2023, 44th of 54 and up 8.2 points over the decade](2024-01-01-iiag-2024-profile-liberia).",LBR-include.divides-penetration|LBR-infra.connect-governance-index-infrastructure-scores,2,,32.2,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-08-31,0,modelled estimate; no survey figure in the 5 years to the as-at
infra.connect--mobile-affordability,"Movement, on income growth alone","The [regulator's own series](2026-04-01-liberia-lta-sector-trends-at-a-glance-data-snapshot-2025) puts a 5GB basket at 12.1 per cent of monthly income in 2025, down from 13.6 per cent in 2023.","The [sector series](2026-04-01-liberia-lta-sector-trends-at-a-glance-data-snapshot-2025) holds the 5GB monthly basket flat at US$8 across 2023, 2024 and 2025 while average monthly income rose from US$59 to US$63 to US$66, giving affordability ratios of 13.6, 12.7 and 12.1 per cent against a 2 per cent benchmark. The whole of the improvement is income, not price.

Tax works the other way: the [April 2026 revenue notice](2026-04-07-liberia-lra-adjustment-goods-and-services-tax-rates) raises the general services rate to 13 per cent from 1 May 2026 while holding telecommunications at 15 per cent. Roaming charges among Liberia, Ghana and Sierra Leone were [removed in February 2026](2026-02-20-liberia-ghana-sierra-leone-ecowas-free-roaming-agreement-lta), with full implementation still to follow.",LBR-infra.connect-affordability,1,,12.63,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-08-31,0,published tariffs; no primary in the base
infra.connect--national-fibre-backbone,Movement,"The [domestic backbone is reported extending south-east](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access) from one coastal city toward five counties, with no route map or kilometre figure.","The line is reported reaching a border town from the capital, with private firms extending it ([extension](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access), [earlier account](2026-01-29-liberia-verge-5g-revolution-observer)).

No completion date is published, and the repository holds no national kilometre figure for the backbone at any date.",LBR-infra.connect-domestic-fibre,2,LBR-infra.connect-domestic-fibre,,,,,,,2026-08-31,0,extension under way; no route map or length figure published
infra.connect--international-internet-bandwidth,Movement,"Two routes to a second landing are open: [one at Buchanan](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access) sought with partial funding, and [an ECOWAS four-country cable approved at feasibility](2025-10-22-ecowas-segundo-cabo-submarino-validacao-estudo-cabo-verde).","2025-10-22 - member-state experts with their technical and financial partners [reviewed and approved the feasibility study for an ECOWAS second submarine cable serving Cabo Verde, Liberia, Sierra Leone and Guinea-Bissau](2025-10-22-ecowas-segundo-cabo-submarino-validacao-estudo-cabo-verde) at a workshop the ECOWAS Project Preparation and Development Unit convened in Monrovia; no route, cost, landing site or construction date is published.

2026-07-23 - the minister announced [a second submarine landing at Buchanan, with partial funding stated as sourced and investors still being sought](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access) at a technology summit; no landing partner, cost or date is published. Neither record says whether the two are the same project.

The country has run on one landing in the capital, which is why the agreement to commercialise spare fibre on the regional power grid matters as much as the cable does: both would end sole reliance on a single route.",LBR-infra.connect-second-cable|LBR-infra.connect-ecowas-second-submarine-cable,,,,,,,,,,,
infra.connect--internet-exchange-points,No change,The [exchange launched in 2015](2015-08-02-au-setting-up-and-launching-internet-exchange-point-liberia) is functional but [still under-peered](2025-12-05-liberia-lta-strengthen-internet-exchange-point-national-peering-forum) as at December 2025.,"The Liberia Internet Exchange Point was [launched in Monrovia on 6 August 2015](2015-08-02-au-setting-up-and-launching-internet-exchange-point-liberia) by the African Union Commission with the ministry under the African Internet Exchange System project, which supplied equipment, technical support and capacity building. No separate licence or establishing regulation was located.

At the [national peering forum in December 2025](2025-12-05-liberia-lta-strengthen-internet-exchange-point-national-peering-forum) the regulator's commissioner said the exchange remains functional but suffers governance problems and limited provider participation, with many providers still not peering, against upgraded equipment and a newly elected association leadership.",LBR-infra.connect-ixp,2,LBR-infra.connect-ixp,,,,,,,2026-08-31,0,exchange functional but under-peered; no traffic or capacity cited
infra.connect--satellite-broadband-licensing-and-availability,Movement,"[Satellite communications guidelines](2026-08-19-liberia-lta-satellite-communications-guidelines-pdf) were issued in August 2026 setting licensing, tax and service rules, with no licence yet issued under them.","The regulator frames the rules around national security and commercial transparency as space-based solutions become the route to territories terrestrial networks have not reached ([market rules](2026-08-25-liberia-regles-marche-telecoms-satellite-wearetech), [guidelines](2026-08-19-liberia-lta-satellite-communications-guidelines-pdf)).

It frames them as opening licensed satellite broadband to the named constellations ([framework](2026-08-19-liberia-lta-satellite-communications-framework)), and no licence has yet been issued on the record.",LBR-gov.legislate-satellite-communications-guidelines,2,LBR-gov.legislate-satellite-communications-guidelines,,,,,,,2026-08-31,0,regulator's guidelines issued August 2026; no licence issued under them on record
infra.store--local-data-centre-capacity-all-providers,No change,The only published Liberian capacity figures are the [cable landing station's own rack specifications](2025-04-29-cable-consortium-of-liberia-co-location-services).,"The [consortium's colocation page](2025-04-29-cable-consortium-of-liberia-co-location-services) offers climate-controlled racks at 2 to 10U at 1kW with a 2kW maximum, 24U at 3kW and 42U at 5kW at the Monrovia landing facility, with uninterruptible and generator power, air conditioning, fire suppression and cross-connect support.

These are offered configurations, not installed or occupied capacity, and no other Liberian facility owner publishes its own figures. What is being added is visible only through procurement: a [June 2026 tender](2026-06-09-liberia-moci-special-procurement-notice-ict-infrastructure-nsw) for eight application servers, four database servers and two storage arrays for the National Single Window.",LBR-infra.store-ccl-colocation|LBR-dpi.govtech-national-single-window,2,,0,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-09-03,,,2026-08-31,0,0 of 3 multi-tenant facilities in service at Tier III or above
infra.store--local-data-centre-capacity-national-providers,Movement,"A [national data centre was announced](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access) in July 2026 to hold government data domestically, with no site, cost, timetable or operator named.","The announcement came from the posts and telecommunications minister ([announcement](2026-07-23-liberia-lta-commissioner-honnah-expanding-digital-access)).

A separate facility at Buchanan is stated as under development for sovereign hosting of the identity registry and the revenue authority, again with no cost or completion date published ([Buchanan facility](2026-03-01-liberia-national-data-governance-policy)); an operator [said in July 2025 it was building a Tier III+ data centre in Buchanan](2025-07-23-liberianinvestigator-orange-liberia-250m-buchanan-data-centre), and the sources do not say whether the two are one site.

Neither is the same project on the record, and the data governance policy that names the second sets a rule for data leaving the country that neither facility yet lets it obey.

The central bank [sought an owner's engineer in November 2025 for a purpose-built facility to house interbank payment and settlement operations](2025-11-17-cbl-reoi-lib-pss-head-office-facility), after [a US$3.9m grant received in March 2023 to upgrade its main and disaster-recovery data centres](2023-03-23-dcd-afdf-grant-liberia-payments-infrastructure). No award, site or completion of the upgrade is on record.

An older state project is held without an outcome: [the state operator said in July 2017 it was building a national data centre to host government data and applications](2017-07-30-frontpageafrica-libtelco-google-csquared-national-data-center), and no completion is on record.",LBR-infra.store-national-data-centre|LBR-infra.store-buchanan-data-centre|LBR-infra.store-cbl-payments-facility|LBR-infra.store-libtelco-national-data-centre,3,,66.67,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-09-03,,,2026-08-31,0,2 of 3 multi-tenant facilities of known ownership nationally owned
infra.store--off-site-backup-capacity,Movement,"The [central bank's 2026 statement](2026-01-01-liberia-cbl-policy-statement-2026) undertakes minimum uptime, disaster-recovery and continuity standards for payment participants.","The [policy statement](2026-01-01-liberia-cbl-policy-statement-2026) commits the bank to establishing minimum uptime, disaster recovery and business continuity standards for payment participants and to requiring regular cybersecurity and operational resilience testing, alongside prefunding and settlement risk controls. It is the clearest regulatory step on continuity the repository holds for banks, mobile money and the national switch.

Against that, the supreme audit institution's own [2026-2030 plan](2026-07-01-liberia-gac-strategic-plan-2026-2030) records its information technology infrastructure as fragile, with gaps in servers, networks, backup systems and cybersecurity — a dated self-reported backup deficit at the body that audits everyone else.",LBR-infra.store-continuity-standards,,,,,,,,,2026-08-31,0,only central bank continuity standards planned; no government backup site on record
infra.energy--sufficient-energy-and-water-for-data-centres,Movement,The [WARDIP-SOP2 safeguards framework](2025-12-11-liberia-mopt-wardip-sop2-esmf) is the only Liberian document setting water and power rules at digital sites.,"The [environmental and social management framework](2025-12-11-liberia-mopt-wardip-sop2-esmf) issued in December 2025 sets construction water-use and electrical-hazard requirements for data-centre and cable landing-station works under the regional digital integration project.

It governs construction, not operation: the repository holds no dedicated power or water provision figure for any Liberian data centre, and the [appraisal of the governance project](2024-05-07-liberia-worldbank-great-project-appraisal-document) extending the National Data Center carries none either.",LBR-infra.energy-wardip-esmf,,,,,,,,,,,
infra.energy--grid-reliability,No change,"The [electricity regulator's 2024 report](2025-02-01-liberia-lerc-annual-report-2024) is the standing account of generation, imports, assets and connections.","The [annual report for 2024](2025-02-01-liberia-lerc-annual-report-2024) sets out installed against available generation, imports, transmission and distribution asset inventory, connections and peak demand, together with the non-compliance notices the regulator issued that year.

Added capacity is financed but not yet delivered: the government records [a further US$57m secured in March 2026](2026-03-01-world-bank-lbr-2026-mount-coffee-solar-expansion) to expand solar generation at Mount Coffee from 20 to 30 MW and add a 12 MW battery storage system.

The utility [runs a dry-season deficit from December to April and covers it with imports, about 50 MW by 2025 against 27 MW contracted in 2022](2025-05-27-wb-blog-liberia-electricity-utility-outlook). How exposed that leaves the grid showed in February 2025, when the Ivorian supplier [cut deliveries from 50 MW to 7.5 MW, widening load shedding in Monrovia while low water held back the Mount Coffee hydropower plant](2025-02-07-liberia-power-shortage-cote-divoire).",LBR-infra.energy-electricity-law-2015|LBR-infra.energy-cote-divoire-power-imports,2,,6.0954,outages per month,2025,ref:enterprise-surveys-outages@2026-09-24,,,2026-08-31,0,survey figure; no primary in the base
infra.energy--rural-electrification,No change,The [2015 Electricity Law](2015-10-23-liberia-2015-electricity-law) puts the rural energy agency and its fund on a statutory footing.,"The [Act of 23 October 2015](2015-10-23-liberia-2015-electricity-law) amends the public authorities law to establish the Rural and Renewable Energy Agency and the Rural Energy Fund and requires the agency to file system plans with the regulator.

The repository holds no rural connection series against it. The [electricity regulator's 2024 report](2025-02-01-liberia-lerc-annual-report-2024) publishes connections and peak demand nationally without a rural split.

National access is measured where the rural share is not: the World Bank puts [access at 32.5 per cent after doubling over the decade to 2024, with rural access disproportionately low](2025-05-27-wb-blog-liberia-electricity-utility-outlook), against a compact target of [75 per cent by 2030 through 100,000 household connections a year](2025-05-27-wb-blog-liberia-electricity-utility-outlook).",LBR-infra.energy-electricity-law-2015|LBR-infra.energy-electricity-access-and-generation,1,,9.2,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-08-31,0,survey figure; no primary in the base
infra.capacity--robustness-of-government-hardware-and-software,Regressed,"The [telecoms traffic-monitoring concession is suspended](2026-07-30-liberia-lacc-weighs-investigation-into-lta), with operator funds in escrow of undisclosed amount and a corruption complaint under investigation.","A joint legislative committee recommended renegotiation rather than cancellation; the original concession was ratified by the legislature in 2022 and held valid by the justice ministry in 2024 ([suspension](2026-07-30-liberia-lacc-weighs-investigation-into-lta)).

No evidence has been publicly produced and no findings made in the complaint, so a revenue-assurance system for the whole telecoms sector is off while the arrangement that would replace it is contested.",LBR-infra.connect-traffic-monitoring,,,,,,,,,2026-08-31,0,only a telecom traffic-monitoring concession held; nothing on core government systems
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,Movement,[Procurement staff from 56 entities](2026-05-12-liberia-ppcc-egp-phase-ii-training-of-trainers) began in-house training in May 2026 on a platform still facilitated by its vendor.,"A [two-week training of trainers](2026-05-12-liberia-ppcc-egp-phase-ii-training-of-trainers) began on 11 May 2026 for procurement staff and technicians from 56 entities already onboarded to the electronic procurement platform, following a first phase covering six pilot ministries. The platform is still facilitated by its vendor.

The strongest evidence of in-house build capacity is elsewhere: the [online police clearance platform](2026-05-04-liberia-lnp-lra-online-police-clearance-platform-gnn) that went live on 1 May 2026 was written by revenue authority programmers rather than procured.",LBR-dpi.govtech-egp|LBR-dpi.govtech-police-clearance,3,LBR-dpi.govtech-police-clearance,,,,,,,2026-08-31,0,revenue authority programmers built the platform; no systematic programme or IT cadre on record
infra.cybersec--national-cybersecurity-readiness,Stalled,"The [cybersecurity strategy](2024-07-01-liberia-national-cybersecurity-strategy-2025-2029) is published and its scheduled council, act and operational deliverables are all unheld two years past their dates.","Its action plan dated deliverables from the fourth quarter of 2024; the cover reads July 2024 for a 2025-2029 period while every running header reads a draft for 2024-2029, and whether the posted file is the adopted final text is not established from the document ([strategy](2024-07-01-liberia-national-cybersecurity-strategy-2025-2029)).

The national cybersecurity council it scheduled for the fourth quarter of 2024 has no constituting instrument, membership or meeting record; the repository holds no record of establishment rather than a stated non-delivery.

A House investigation was ordered in February 2026 into an alleged breach of about 2m citizens' data across the revenue, electricity and insurance bodies, with no findings published; the revenue authority denied the breach, and the probe cited the absence of a national cybersecurity strategy ([investigation](2026-02-12-house-probe-data-breach-2m-citizens-observer)).",LBR-infra.cybersec-national-cybersecurity-strategy|LBR-infra.cybersec-national-cybersecurity-council|LBR-infra.cybersec-data-breach-probe,2,LBR-infra.cybersec-national-cybersecurity-strategy,,,,,,,2026-08-31,0,strategy published but adoption not established; council not constituted
dpi.exchange--national-data-exchange-system,Stalled,"The [Government Service Bus](2025-11-06-liberia-great-project-implementation-status-results-report-seq3) carried zero of a target ten systems at September 2025, and its prototype package was re-tendered.","The [implementation report of November 2025](2025-11-06-liberia-great-project-implementation-status-results-report-seq3) puts the indicator for government systems exchanging data through the new service bus at zero as at 30 September 2025, against a target of ten by December 2030.

The [revised procurement plan of 13 February 2026](2026-02-13-liberia-great-project-procurement-plan) shows the prototype design and installation consultancy listed twice: the firm-based package cancelled, and an individual-consultant package pending implementation from 25 February 2026. The shared digital infrastructure consultancy at the National Data Center was signed on 6 October 2025.",LBR-dpi.exchange-service-bus,2,LBR-dpi.exchange-service-bus,,,,,,,2026-08-31,0,service bus prototype re-tendered; zero systems connected
dpi.exchange--use-of-digital-id-in-other-systems,Movement,A [joint directive of February 2026](2026-02-16-liberia-fia-cbl-directive-additional-cdd-measures-non-resident) binds financial institutions to identity verification for non-resident customers.,"[Directive CBL/FIA/001/2025](2026-02-16-liberia-fia-cbl-directive-additional-cdd-measures-non-resident), signed jointly by the financial intelligence agency and the central bank on 16 February 2026 and effective immediately, requires additional customer due diligence for non-resident, non-Liberian customers, addressing a deficiency named in the 2023 regional mutual evaluation.

The general obligation is older: [Executive Order 147](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) requires every public and private institution to verify against the registry. What that dependency costs when the register stops was visible in July 2026, when the Senate [summoned the registry](2026-07-03-liberianobserver-national-id-crisis-resurfaces-on-senate-floor) over more than six months of suspended card issuance while regulated institutions refused expired cards for banking and mobile money.

The tax system was an earlier user: the revenue authority [linked its integrated tax administration system to the identity registry to verify national IDs during fiscal year 2023](2024-06-30-lra-2023-annual-report), before the executive order made verification general; no verification volume is published.",LBR-dpi.exchange-cdd-directive|LBR-dpi.id-eo147|LBR-dpi.mis-litas,3,LBR-dpi.mis-litas,,,,,,,2026-08-31,0,tax system verifies national ID on the revenue authority's account; no usage published
dpi.exchange--interoperability-of-health-systems,Movement,A [national sample referral framework](2026-07-01-liberia-moh-validates-integrated-sample-referral-system-framework) was validated in July 2026; the health information system is rated [early maturity](2026-05-01-who-liberia-annual-report-2025).,"A [World Health Organization-supported functionality assessment](2026-05-01-who-liberia-annual-report-2025) rates the health information system at overall early maturity, with harmonisation and interoperability named as work still to be done; 137 mobile phones and 31 laptops were supplied to strengthen electronic surveillance reporting.

In July 2026 the ministry [validated a framework](2026-07-01-liberia-moh-validates-integrated-sample-referral-system-framework) linking laboratory sample transport, results reporting and disease surveillance. It was validated, not adopted: the ministry states adoption and implementation remain prospective.",LBR-dpi.exchange-sample-referral,2,LBR-dpi.exchange-sample-referral,,,,,,,2026-08-31,0,sample referral framework validated; adoption and implementation prospective
dpi.exchange--interoperability-of-education-systems,Movement,A [costed roadmap](2025-09-10-liberia-moe-au-iped-emis-modernisation-roadmap) introduces national learner and teacher identifiers; the [2025/26 census](2026-03-30-liberia-moe-launches-2025-2026-national-school-census) moved to digital collection.,"The [peer review](2025-09-02-liberia-au-iped-emis-peer-review-report) records a stalled transition from a paper first-generation system to a digitised second, with limited integration across sub-sectors, weak legal frameworks, data gaps since 2022 and a proposed three-year US$4.5m action plan.

A [three-year modernisation roadmap](2025-09-10-liberia-moe-au-iped-emis-modernisation-roadmap) validated 1-5 September 2025 introduces national unique learner and teacher identifiers for integration and traceability, and the [2025/26 national school census](2026-03-30-liberia-moe-launches-2025-2026-national-school-census) ran on school-based digital collection across all 15 counties and 125 districts from 27 March 2026.",LBR-dpi.exchange-emis,2,LBR-dpi.exchange-emis,,,,,,,2026-08-31,0,EMIS roadmap introduces learner and teacher identifiers; no exchange in service
dpi.exchange--interoperability-of-social-protection-systems,No change,"[Registry integration with other national systems](2025-07-28-world-bank-realise-p174417-isr-seq9-liberia-household-social-registry) is recorded as ongoing, with no system named as connected.","The [implementation report of July 2025](2025-07-28-world-bank-realise-p174417-isr-seq9-liberia-household-social-registry) puts the household social registry at about 442,000 records and states that registry enhancements and integration with other national systems remain ongoing.

The [independent completion review](2024-09-09-world-bank-ieg-icr-review-liberia-social-safety-nets-p155293) of the earlier project describes what was built — the registry plus an integrated system with enrolment, payment, monitoring, grievance-redress and access-management modules, held by the gender and social protection ministry. No connection to the identity register or to any other national system is recorded as live.",LBR-dpi.registry-social-registry,3,LBR-dpi.registry-social-registry,,,,,,,2026-08-31,0,registry-backed transfers delivered through mobile money; no ID linkage on record
dpi.id--robustness-of-system,Regressed,Card issuance was [suspended for more than six months](2026-07-03-liberianobserver-national-id-crisis-resurfaces-on-senate-floor) while institutions continued to require the card.,"In [March 2026 the Senate referred](2026-03-05-liberia-senate-inquiry-national-id-card-suspension) the suspension of national identity card issuance to committee and summoned the registry's leadership, on the ground that banks and other institutions treat the card as mandatory identification.

Four months later the [Senate summoned the registry again](2026-07-03-liberianobserver-national-id-crisis-resurfaces-on-senate-floor), unanimously, on the contradiction that the state had suspended issuance for more than six months while its own regulated institutions refused expired cards for banking and mobile money. The registry had earlier put arrears of US$1.7m owed to its systems vendor [on the record](2025-06-06-gnnliberia-nir-milestones-challenges-executive-order-147).

2026-09-08 - the replacement of the system is signed and cannot start. A [US$54.7 million concession with an Austrian supplier is signed but implementation cannot begin until legislative ratification and other legal requirements are completed, the identification registry's executive director said](2026-09-08-lbr-nir-oesd-digital-id-concession). The project as described covers biometric enrolment and deduplication, digital and physical credentials and an integrated identity platform beyond cards. No signature date is stated, so no deal record was built, and no legislative timetable, concession term or data-custody arrangement is published.

2026-09-16 — the registry [appealed to the legislature to ratify the US$54.7m build-operate-transfer agreement with its Austrian supplier](2026-09-17-lbr-newdawn-nir-appeals-legislature-oesd-bot-ratification); nothing can start until it does.",LBR-dpi.id-nbis|LBR-dpi.id-national-identification-concession,2,LBR-dpi.id-nbis,,,,,,,2026-08-31,0,issuance suspended over a year; replacement sought at US$39m
dpi.id--registration-of-entire-population,Movement,"Mass enrolment has been [suspended since June 2025](2026-08-18-liberia-ppp-digital-id-osd) on coverage below 15 per cent, with a concession to enrol all 5.3m people now before Parliament.","The concession is with an Austrian firm to finance enrolment in 18 months, operate and transfer; consultations have concluded and the draft agreement has gone to Parliament, with selection and terms unpublished until legislative approval completes and the registry stating it will disclose the agreement only after ratification ([concession](2026-08-18-liberia-ppp-digital-id-osd), [firm](2026-08-17-liberia-biometric-id-austrian-firm-ppp), [restart](2026-05-28-osd-concession-issuance-restart-biometricupdate)).

About 740,000 had enrolled by the end of 2024 at a US$5 card fee, and about 640,000 prior registrants were locked out with issuance halted ([lockout](2026-03-20-national-id-rollout-held-up-1-7m-debt-fpa)); no updated enrolment figure has been published ([lockout](2026-03-20-national-id-rollout-held-up-1-7m-debt-fpa), [funding gap](2025-06-09 Liberia needs more funding to widen national ID coverage (NIR's Peters))).

Enrolment has been mandatory for citizens and 90-day residents since April 2025 under an executive order making the identification number the primary credential for banking, health, education and telecoms ([order](2025-04-30 Liberia makes biometric ID mandatory — Executive Order 147), [no identity, no transaction](2025-04-30-no-national-id-no-transaction-eo147-observer)).

So a mandatory credential has been unobtainable for more than a year, on a register the state cannot afford to run and is now handing to a concessionaire.

2026-09-16 — a presidential proclamation declaring National Identification Day [put enrolment at about 720,000](2026-09-16-lbr-apo-boakai-national-identification-day-proclamation), with issuance still suspended; the registry says [free cards under the pending US$54.7m agreement will go only to disadvantaged and unemployed citizens, others paying a fee](2026-09-17-lbr-allafrica-nir-free-id-cards-disadvantaged-only).",LBR-dpi.id-nbis|LBR-dpi.id-id-coverage|LBR-dpi.id-eo147,,,,,,,,,,,
dpi.id--national-maintenance-of-id-and-credentials-systems,Movement,The [driver licence and vehicle registry](2026-01-03-liberia-mot-adlvrs-driver-license-vehicle-registration-launch) moved onto a state-run platform rather than out to a concessionaire.,"The [transport ministry's launch of January 2026](2026-01-03-liberia-mot-adlvrs-driver-license-vehicle-registration-launch) covers licence management, card printing, dispatch, audit trails and compliance monitoring on a state-run platform, with an online renewal application and billing integration to the revenue authority.

The identity register runs the other way. The [2011 Act](2011-08-08-liberia-national-identification-registry-act-2011) vests the biometric system in an autonomous state agency, but the registry's [arrears to its systems vendor were reported at US$1.7m](2025-06-06-gnnliberia-nir-milestones-challenges-executive-order-147) in June 2025, and the identity-document contract named in the Senate's [July 2026 debate](2026-07-03-liberianobserver-national-id-crisis-resurfaces-on-senate-floor) is a foreign supplier's.

Some enrolment capacity came from inside government rather than a vendor: the elections commission [transferred more than 500 biometric kits to the registry in July 2025 to spare a new purchase, subject to licensing and technical modification](2025-07-03-nec-hands-over-biometric-kits-to-nir). No record shows them in service.",LBR-dpi.id-adlvrs|LBR-dpi.id-nec-biometric-kit-transfer,3,LBR-dpi.id-adlvrs,,,,,,,2026-08-31,0,state-run licence platform; contracts and funding model not on record
dpi.id--authentication,Movement,[Executive Order 147](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) mandates verification through an Identity Query Portal and an e-Verification platform.,"The [order](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) requires all public and private institutions to use the registry database, the Identity Query Portal and the e-Verification platform, with data handling bound to Part IX of the 2011 Act. It is the only general authentication mandate the repository holds.

What the repository does not hold is any measure of use: no query volume, no participating-institution count and no availability figure for either service. The [suspension of card issuance](2026-07-03-liberianobserver-national-id-crisis-resurfaces-on-senate-floor) through the first half of 2026 makes that absence material.",LBR-dpi.id-identity-query-portal,3,LBR-dpi.id-identity-query-portal,,,,,,,2026-08-31,0,e-verification portal mandated for all institutions; no usage on record
dpi.id--digital-id-from-birth,No change,"A [UNICEF-funded pilot](2025-01-21-liberianinvestigator-nir-national-id-documents-children-under-six) issues identity documents to under-sixes in three counties, free to parents.","The registry [changed its system in June 2023 to issue unique identification numbers to children under six](2025-01-21-liberianinvestigator-nir-national-id-documents-children-under-six), and a UNICEF-funded [pilot was inaugurated on 16 January 2025](2025-01-21-liberianinvestigator-nir-national-id-documents-children-under-six); by the registry's March 2025 account the pilot [dated from September 2023 and had enrolled 5,000 children in Montserrado, with Grand Bassa and Gbarpolu to follow](2025-03-11-fpa-nir-digital-transformation-partnerships-enrollment).

It [pilots in Montserrado, Grand Bassa and Gbarpolu, funded by UNICEF for an initial 5,000 children at no cost to parents, with the health ministry issuing free birth certificates alongside](2025-01-21-liberianinvestigator-nir-national-id-documents-children-under-six). The fee is the reason it exists: [ordinary enrolment carries a US$5 charge that put registration out of reach](2025-01-21-liberianinvestigator-nir-national-id-documents-children-under-six).

No national rollout, budget line or successor cohort is on the record.",LBR-dpi.id-child-id,2,LBR-dpi.id-child-id,,,,,,,2026-08-31,0,under-six identity numbers piloted in three counties
