slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2025-11-12-startup-act-advances-techafricanews,Djibouti Advances Startup Act to Boost Innovation and Youth Employment,TechAfrica News,,2025-11-12,day,DJI,tech.innovate; gov.legislate; gov.policy; finance.new,vision-djibouti-2035,,full,False,,305,2026-07-18,https://techafricanews.com/2025/11/12/djibouti-advances-startup-act-to-boost-innovation-and-youth-employment/
2025-11-12 Djibouti advances bill to create National Cybersecurity Authority,Djibouti advances bill to create a National Cybersecurity Authority (ANC),Ecofin Agency,,2025-11-12,day,DJI,infra.cybersec; gov.policy; gov.regional,national-cybersecurity-authority-djibouti; djibouti-digital-code; malabo-convention,sovereignty,full,False,,197,2026-07-15,https://www.ecofinagency.com/news-digital/1211-50395-djibouti-advances-bill-to-create-national-cybersecurity-authority
2025-11-08 Digital 2026 Djibouti (DataReportal),Digital 2026 — Djibouti (DataReportal),DataReportal / We Are Social / Meltwater,,2025-11-08,day,DJI,infra.connect; include.divides,datareportal,,full,False,,67,2026-07-15,https://datareportal.com/reports/digital-2026-djibouti
2025-11-05 Review of Djibouti Data Protection Law,Review of Djibouti's Data Protection Law (within the Digital Code),TechHive Advisory,,2025-11-05,day,DJI,gov.protect; dpi.exchange,cndp-djibouti; djibouti-digital-code,sovereignty,full,False,,263,2026-07-15,https://www.techhiveadvisory.africa/insights/review-of-djiboutis-data-protection-law
2025-10-22-dfn-damerjog-school-subprefecture-fibre-lanation,Damerjog entre dans l'ère du numérique grâce au Projet Djibouti Fondement du Numérique (DFN),La Nation (Djibouti),,2025-10-22,day,DJI,infra.connect; digital.rural; digital.localgov; include.divides; include.access; capacity.literacy,djibouti-digital-foundation-dfn; djibouti-telecom; world-bank,,full,False,,502,2026-07-18,https://www.lanation.dj/damerjog-entre-dans-lere-du-numerique-grace-au-projet-djibouti-fondement-du-numerique-dfn/
2025-10-20-ethio-djibouti-telecom-partnership-techafricanews,Ethio Telecom and Djibouti Telecom Deepen Strategic Partnership to Boost Regional Digital Connectivity,TechAfrica News,,2025-10-20,day,DJI; ETH,infra.connect; gov.regional; dpi.pay,djibouti-telecom; ethio-telecom; horizon-fiber,,full,False,,295,2026-07-18,https://techafricanews.com/2025/10/20/ethio-telecom-and-djibouti-telecom-deepen-strategic-partnership-to-boost-regional-digital-connectivity/
2025-09-23-djibouti-romania-digital-cooperation-wearetech,Djibouti et la Roumanie explorent une coopération numérique prometteuse,We Are Tech Africa,,2025-09-23,day,DJI,gov.regional; dpi.govtech; capacity.training; finance.mou,ministry-digital-transformation-djibouti; djibouti-digital-code,,full,False,,341,2026-07-18,https://www.wearetech.africa/fr/fils/actualites/tech/djibouti-et-la-roumanie-explorent-une-cooperation-numerique-prometteuse
2025-09-22-visa-tech5-smart-wallet-biometricupdate,"Djibouti engages Visa, Tech5 for national digital wallet rollout",Biometric Update,,2025-09-22,day,DJI,dpi.pay; finance.mou; dpi.id; geopol.usa,smart-wallet-djibouti; visa; tech5,sovereignty,full,False,,432,2026-07-18,https://www.biometricupdate.com/202509/djibouti-engages-visa-tech5-for-national-digital-wallet-rollout
2025-09-21-mdeni-visa-smart-wallet-mou-lanation,MDENI/Visa : Signature d'un protocole d'entente pour le déploiement d'un Smart Wallet national,La Nation (Djibouti),,2025-09-21,day,DJI,dpi.pay; finance.mou; dpi.id; dpi.govtech; include.access,smart-wallet-djibouti; visa; tech5; mariam-hamadou-ali; vision-djibouti-2035,sovereignty,excerpt,False,,644,2026-07-18,https://www.lanation.dj/mdeni-visa-signature-dun-protocole-dentente-pour-le-deploiement-dun-smart-wallet-national/
2025-09-19-visa-smart-wallet-mou-techafricanews,Djibouti Signs MoU with Visa to Launch National Digital Wallet,TechAfrica News,,2025-09-19,day,DJI,dpi.pay; finance.mou; dpi.id; geopol.usa,smart-wallet-djibouti; visa; tech5,,full,False,,212,2026-07-18,https://techafricanews.com/2025/09/19/djibouti-signs-mou-with-visa-to-launch-national-digital-wallet/
2025-09-19 Djibouti-Visa Smart Wallet national digital wallet MoU,"Djibouti–Visa ""Smart Wallet"" national digital wallet MoU",IDTechWire / Ecofin Agency,,2025-09-19,day,DJI,dpi.pay; dpi.id; finance.mou; include.access,smart-wallet-djibouti; visa; tech5; djibouti-telecom; djibouti-digital-code,sovereignty,full,False,,257,2026-07-15,https://idtechwire.com/djibouti-partners-with-visa-to-develop-national-digital-wallet
2025-09-04 DARE1 subsea cable expansion to boost internet capacity,DARE1 subsea cable expansion to boost internet capacity from Kenya to South Africa,SubTel Forum,Kieran Clark / George Kamau (TechTrendsKE),2025-09-04,day,SOM; DJI; KEN; XEA,infra.connect,hormuud-telecom; somtel; djibouti-telecom; dare1-cable,,full,False,,216,2026-07-16,https://subtelforum.com/dare1-subsea-cable-expansion-to-boost-internet-capacity
2025-09-01-dare1-extension-techafricanews,Djibouti Telecom Expands DARE1 Cable to Connect East and Southern Africa,TechAfrica News,,2025-09-01,day,DJI; KEN; ZAF; TZA; MOZ; MDG; SOM; XEA,infra.connect; gov.regional,djibouti-telecom; dare1-cable,,full,False,,258,2026-07-18,https://techafricanews.com/2025/09/01/djibouti-telecom-expands-dare1-cable-to-connect-east-and-southern-africa/
2025-09-01-dare1-extension-kenya-south-africa-itweb,Djibouti Telecom extends DARE1 subsea cable from Kenya to South Africa,ITWeb Africa,,2025-09-01,day,DJI; KEN; ZAF; TZA; MOZ; MDG; SOM; XEA,infra.connect; gov.regional,djibouti-telecom; dare1-cable,sovereignty,full,False,,249,2026-07-18,https://itweb.africa/article/djibouti-telecom-extends-dare1-subsea-cable-from-kenya-to-south-africa/Olx4z7kaW86q56km
2025-09-01-dare1-extension-kenya-south-africa-connectingafrica,DARE1 subsea cable to link Kenya to South Africa,Connecting Africa,,2025-09-01,day,DJI; KEN; ZAF; TZA; MOZ; MDG; SOM; XEA,infra.connect; gov.regional; infra.store,djibouti-telecom; dare1-cable,sovereignty,full,False,,393,2026-07-18,https://www.connectingafrica.com/connectivity/dare1-subsea-cable-to-link-kenya-to-south-africa
2025-07-30-dfn-eardip-stakeholder-grievance-workshop-lanation,Transition numérique : Les parties prenantes mobilisées autour des projets DFN et EARDIP,La Nation (Djibouti),,2025-07-30,day,DJI; XEA,infra.connect; gov.regional; include.divides; digital.rural; gov.policy; capacity.training,eardip; djibouti-digital-foundation-dfn; world-bank,,full,False,,564,2026-07-18,https://www.lanation.dj/transition-numerique-les-parties-prenantes-mobilisees-autour-des-projets-dfn-et-eardip/
2025-07-13-code-du-numerique-digital-code-explainer-lanation,"Le Code du numérique, un pas décisif pour la transformation digitale",La Nation (Djibouti),,2025-07-13,day,DJI,gov.legislate; gov.protect; infra.cybersec; gov.policy; dpi.govtech,djibouti-digital-code; cndp-djibouti; mariam-hamadou-ali,sovereignty,excerpt,False,,717,2026-07-18,https://www.lanation.dj/le-code-du-numerique-un-pas-decisif-pour-la-transformation-digitale/
2025-07-02-digital-code-enacted-techafricanews,A First for East Africa: Djibouti Enacts Comprehensive Digital Code,TechAfrica News,,2025-07-02,day,DJI,gov.legislate; gov.protect; infra.cybersec; gov.policy,djibouti-digital-code; vision-djibouti-2035,sovereignty,full,False,,330,2026-07-18,https://techafricanews.com/2025/07/02/a-first-for-east-africa-djibouti-enacts-comprehensive-digital-code/
2025-07-01 Djibouti Digital Code adopted by National Assembly,Djibouti Digital Code adopted by the National Assembly,Jones Day / Ecofin Agency,,2025-07-01,day,DJI,gov.protect; infra.cybersec; gov.policy; dpi.exchange,djibouti-digital-code; cndp-djibouti; national-cybersecurity-authority-djibouti; vision-djibouti-2035,sovereignty,full,False,,299,2026-07-15,https://www.jonesday.com/en/insights/2025/07/national-assembly-of-the-republic-of-djibouti-approves-digital-code
2025-06-25-dfn-ali-sabieh-regional-hospital-fibre-lanation,Ali Sabieh : Le DFN propulse l'hôpital régional dans une nouvelle ère numérique,La Nation (Djibouti),,2025-06-25,day,DJI,infra.connect; digital.rural; dpi.mis; include.divides; include.access,djibouti-digital-foundation-dfn; world-bank,,excerpt,False,,589,2026-07-18,https://www.lanation.dj/ali-sabieh-le-dfn-propulse-lhopital-regional-dans-une-nouvelle-ere-numerique/
2025-06-15-sgdd-a-imf-open-data-national-summary-page-lanation,Système Général de Diffusion des Données amélioré (SGDD-a) : Djibouti lance sa Page Nationale Récapitulative des données,La Nation (Djibouti),,2025-06-15,day,DJI,data.open; data.statistics; gov.standards,instad-djibouti; banque-centrale-djibouti; imf; african-development-bank,,excerpt,False,,485,2026-07-18,https://www.lanation.dj/systeme-general-de-diffusion-des-donnees-ameliore-sgdd-a-djibouti-lance-sa-page-nationale-recapitulative-des-donnees/
2025-06-06-wingu-60m-east-africa-expansion-connectingafrica,Wingu Africa secures $60M to fuel East Africa expansion,Connecting Africa,,2025-06-06,day,DJI; ETH; TZA,infra.store; finance.new; infra.connect,wingu-africa,sovereignty,full,False,,309,2026-07-18,https://www.connectingafrica.com/data-centers/wingu-africa-secures-60m-to-fuel-east-african-expansion
2025-06-05-wingu-60m-rmb-funding-biometricupdate,"$60M to speed up digital connectivity infrastructure in Ethiopia, Djibouti, Tanzania",Biometric Update,,2025-06-05,day,DJI; ETH; TZA,infra.store; finance.new; infra.connect,wingu-africa,sovereignty,full,False,,401,2026-07-18,https://www.biometricupdate.com/202506/60m-to-speed-up-digital-connectivity-infrastructure-in-ethiopia-djibouti-tanzania
2025-04-30-instad-snds3-national-statistics-strategy-lanation,INSTAD : Validation de la troisième stratégie nationale de développement de la statistique 2025-2029 (SNDS-3),La Nation (Djibouti),,2025-04-30,day,DJI,data.statistics; gov.policy; dpi.exchange; capacity.training; data.open,instad-djibouti; world-bank; ibrahim-abdi-hadi,,full,False,,859,2026-07-18,https://www.lanation.dj/instad-validation-de-la-troisieme-strategie-nationale-de-developpement-de-la-statistique-2025-2029-snds-3/
2025-04-03-djibouti-telecom-at-a-crossroads,"Djibouti Telecom, at a crossroads",African Business,,2025-04-03,day,DJI,infra.connect; tech.industry,djibouti-telecom; starlink; afrifiber; to7-network,sovereignty,full,False,,1179,2026-07-25,https://african.business/2025/04/long-reads/djibouti-telecom-at-a-crossroads
2025-04-03 Beneath the Waves Addressing Vulnerabilities in Africa's Undersea Digital Infrastructure,Beneath the Waves: Addressing Vulnerabilities in Africa's Undersea Digital Infrastructure,Carnegie Endowment for International Peace,Jane Munga,2025-04-03,day,XAF; EGY; ZAF; NGA; KEN; DJI,infra.connect; gov.regional; gov.standards; infra.cybersec; gov.policy; gov.discourse,carnegie-endowment; jane-munga; international-cable-protection-committee; african-union,sovereignty,full,False,,5379,2026-07-11,https://carnegieendowment.org/research/2025/04/
2025-02-24-digital-skills-program-govt-officials-wearetech,Djibouti Launches Digital Skills Program for Government Officials,We Are Tech Africa,,2025-02-24,day,DJI,capacity.training; dpi.govtech; tech.ai; infra.cybersec,vision-djibouti-2035,,full,False,,342,2026-07-18,https://www.wearetech.africa/en/fils-uk/news/public-management/djibouti-launches-digital-skills-program-for-government-officials
2025-01-01-wb-dji-001-djibouti-economic-and-financial-governance-project,Djibouti Economic and Financial Governance Project,"World Bank Group — IDA/IBRD (Digital Economy for Africa, DE4A)",,2025-01-01,year,DJI,dpi.govtech; finance.new,world-bank; government-of-djibouti,,excerpt,True,,339,2026-07-21,https://projects.worldbank.org/en/projects-operations/project-detail/P180696
2024-12-02 Djibouti National Cybersecurity Strategy 2024-2030,Djibouti National Cybersecurity Strategy 2024–2030,We Are Tech Africa,,2024-12-02,day,DJI,infra.cybersec; gov.policy,national-cybersecurity-authority-djibouti; vision-djibouti-2035,sovereignty,full,False,,150,2026-07-15,https://www.wearetech.africa/en/fils-uk/news/public-management/djibouti-unveils-2024-2030-national-cybersecurity-strategy
2024-11-25 Djibouti inaugurates Wingu TO7 Tier-3 data centre and cable landing station,Djibouti inaugurates Wingu TO7 Tier-3 data centre and cable landing station,Wingu Africa,,2024-11-25,day,DJI,infra.store; infra.connect,wingu-africa,sovereignty,full,False,,147,2026-07-15,https://www.wingu.africa/latest-news/djibouti-president-inaugurates-wingu-tier-3-carrier-neutral-data-centre
2024-05-15 PAIX-Djibouti Sovereign Fund data centre joint venture (JIB1),PAIX–Djibouti Sovereign Fund data-centre joint venture (JIB1),W.Media / Submarine Networks / CNBC Africa,,2024-05-15,day,DJI,infra.store; infra.connect,paix-data-centres; fonds-souverain-djibouti,sovereignty,full,False,,209,2026-07-15,https://w.media/paix-partners-with-djiboutis-sovereign-fund-to-build-data-centers
2024-01-01 WB GovTech Case Study - Djibouti Digital Customs ASYCUDAWorld,World Bank GovTech Case Study — Djibouti Digital Customs Administration (ASYCUDAWorld),"World Bank (GovTech Global Partnership — ""Solutions that Work"")",,2024-01-01,year,DJI,dpi.govtech; dpi.exchange,world-bank; asycuda; unctad,,full,False,,95,2026-07-15,https://documents.worldbank.org/curated/en/099020224094541999
2023-12-12 Djibouti Telecom extends D-Money mobile payments to ports,Djibouti Telecom extends D-Money mobile payments to ports,Developing Telecoms,,2023-12-12,day,DJI,dpi.pay; include.access,djibouti-telecom,,full,False,,268,2026-07-15,https://developingtelecoms.com/telecom-technology/financial-services/15938-digital-money-transfer-system-comes-to-djibouti-s-ports.html
2023-12-11-lanation-djibouti-lancement-premiere-plateforme-paiement-en-ligne-d-money,"Lancement de la première plateforme en ligne à Djibouti, développé par Djibouti Télécom à travers D-Money",La Nation (Djibouti),,2023-12-11,day,DJI,dpi.pay; dpi.govtech; tech.innovate; include.access,djibouti-telecom; d-money-djibouti; vision-djibouti-2035,,full,False,,1747,2026-07-20,https://www.lanation.dj/lancement-de-la-premiere-plateforme-en-ligne-a-djibouti-developpe-par-djibouti-telecom-a-travers-d-money/
2023-12-01 WB GovTech Operations in Djibouti - Digital Transformation Case Study,World Bank GovTech Operations in Djibouti — A Digital Transformation Case Study,"World Bank (Equitable Growth, Finance & Institutions / GovTech Global Partnership)",,2023-12-01,month,DJI,dpi.govtech; gov.policy; dpi.exchange,world-bank,,full,False,,73,2026-07-15,https://documents.worldbank.org/curated/en/099092923094511319
2020-01-01-afd-dji-001-djibouti-digitalisation-and-professionalisation-of-higher,Djibouti Digitalisation and Professionalisation of Higher Education,Agence Française de Développement (AFD),,2020-01-01,year,DJI,tech.innovate; finance.new,afd; government-of-djibouti,,excerpt,True,,243,2026-07-21,https://www.afd.fr/fr/carte-des-projets/numerisation-et-professionnalisation-de-lenseignement-superieur
2019-01-01-isdb-dji-dare-submarine-cable-2019-dare-regional-submarine-cable-project,DARE Regional Submarine Cable Project,Islamic Development Bank (IsDB),,2019-01-01,year,DJI,infra.connect; finance.new,islamic-development-bank; djibouti-telecom,,excerpt,True,,276,2026-07-21,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46025-DJI1004
2017-01-01-china-mofcom-dji-001-chinese-government-provides-20-million-usd,Chinese Government provides $20 million USD grant for Urban Security Monitoring System Project (Linked to Project ID#88678),China Ministry of Commerce,,2017-01-01,year,DJI,tech.industry; finance.new,china-ministry-of-commerce; government-of-djibouti,,excerpt,True,,514,2026-07-21,https://www.sohu.com/a/257932360_230289
2015-01-01-isdb-dji-submarine-telecom-2015-regional-submarine-telecommunications-project,Regional Submarine Telecommunications Project,Islamic Development Bank (IsDB),,2015-01-01,year,DJI,infra.connect; finance.new,islamic-development-bank; djibouti-telecom,,excerpt,True,,265,2026-07-21,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46025-DJI0071
